Sourceid,Title,SJR,field,octile
12878,Chemistry of Materials,4.675,15,8
13517,Ultrasonics Sonochemistry,1.412,15,8
15423,Bioresource Technology,2.029,15,8
15461,Biotechnology Advances,3.006,15,8
15477,Biotechnology and Bioengineering,1.372,15,8
15579,Current Opinion in Biotechnology,3.202,15,8
16088,Journal of Nanobiotechnology,1.38,15,8
16115,Nature Biotechnology,18.252,15,8
16146,Trends in Biotechnology,3.524,15,8
16313,Fuel,1.891,15,8
16315,Fuel Processing Technology,1.453,15,8
16322,Desalination,1.955,15,8
16339,Metabolic Engineering,3.337,15,8
16343,Applied Catalysis B: Environmental,3.152,15,8
16398,Chemical Engineering Journal,1.863,15,8
16876,Bioconjugate Chemistry,1.801,15,8
17853,Nano Letters,7.447,15,8
17987,International Journal of Robust and Nonlinear Control,2.028,15,8
18593,Microbial Cell Factories,1.443,15,8
20422,International Communications in Heat and Mass Transfer,1.553,15,8
20448,International Journal of Heat and Mass Transfer,1.498,15,8
22597,Food Hydrocolloids,1.991,15,8
22669,Advanced Synthesis and Catalysis,2.079,15,8
22680,Journal of the American Chemical Society,8.127,15,8
22687,Angewandte Chemie - International Edition,6.155,15,8
22781,Chemical Communications,2.555,15,8
22806,Chemical Record,1.814,15,8
23392,Chemistry - A European Journal,2.265,15,8
24738,Lab on a Chip - Miniaturisation for Chemistry and Biology,2.158,15,8
25181,Electrochimica Acta,1.439,15,8
25780,Biomacromolecules,1.95,15,8
26533,Advances in Colloid and Interface Science,1.977,15,8
26556,Catalysis Reviews - Science and Engineering,1.769,15,8
26880,Proceedings of the Combustion Institute,2.588,15,8
26884,Current Opinion in Colloid and Interface Science,2.07,15,8
26947,Journal of Catalysis,2.397,15,8
26953,Journal of Membrane Science,2.4,15,8
26968,Journal of Photochemistry and Photobiology C: Photochemistry Reviews,4.416,15,8
27476,Critical Reviews in Solid State and Materials Sciences,1.51,15,8
27538,Progress in Energy and Combustion Science,6.751,15,8
28200,Biomaterials,3.111,15,8
28623,Combustion and Flame,2.427,15,8
29476,Corrosion Science,1.846,15,8
130080,Journal of Chemical Information and Modeling,1.349,15,8
4000149101,"Nanomedicine: Nanotechnology, Biology, and Medicine",1.743,15,8
4000151907,Journal of the Royal Society Interface,1.723,15,8
4700152457,Nano Today,7.191,15,8
5200152704,Nature Nanotechnology,20.612,15,8
11700154648,Tissue Engineering - Part B: Reviews,1.593,15,8
12000154478,ChemSusChem,2.538,15,8
12000154482,Annual Review of Biophysics,8.79,15,8
18100156701,Nature Chemistry,13.235,15,8
19700166902,Wiley interdisciplinary reviews. Nanomedicine and nanobiotechnology,1.987,15,8
19700178100,"Nanotechnology, Science and Applications",2.723,15,8
19700182678,Polymer Chemistry,1.778,15,8
19700182917,Biofabrication,1.643,15,8
19700188320,ACS Catalysis,4.921,15,8
19700188418,Annual Review of Chemical and Biomolecular Engineering,2.64,15,8
19900191733,ChemCatChem,1.695,15,8
21100240500,Catalysis Science and Technology,1.797,15,8
