Sourceid,Title,SJR,field,octile
12229,Mass Spectrometry Reviews,2.293,31,8
12286,Surface Science Reports,6.425,31,8
12862,Optics Express,1.519,31,8
12863,Optics Letters,1.79,31,8
13017,Physics of Life Reviews,2.788,31,8
13030,Journal of Sound and Vibration,1.36,31,8
13184,Computer Physics Communications,1.729,31,8
13191,Journal of Computational Physics,2.047,31,8
13517,Ultrasonics Sonochemistry,1.412,31,8
13761,International Journal of Thermal Sciences,1.429,31,8
13839,Annual Review of Fluid Mechanics,5.943,31,8
13877,"European Journal of Mechanics, A/Solids",1.676,31,8
14423,Journal of Rheology,1.326,31,8
14428,Journal of the Mechanics and Physics of Solids,1.988,31,8
14621,Annual Review of Nuclear and Particle Science,3.011,31,8
17191,International Journal of Radiation Oncology Biology Physics,2.485,31,8
17337,IEEE Transactions on Antennas and Propagation,1.309,31,8
17811,"Materials Science & Engineering A: Structural Materials: Properties, Microstructure and Processing",1.694,31,8
17814,Materials Science and Engineering: R: Reports,8.408,31,8
17853,Nano Letters,7.447,31,8
17854,Nature Materials,18.263,31,8
18158,Computer Methods in Applied Mechanics and Engineering,2.883,31,8
18537,Journal of Fluid Mechanics,1.591,31,8
20422,International Communications in Heat and Mass Transfer,1.553,31,8
20448,International Journal of Heat and Mass Transfer,1.498,31,8
20541,Computational Materials Science,1.766,31,8
20941,Ultramicroscopy,1.824,31,8
21221,MRS Bulletin,1.974,31,8
22116,Tribology International,1.52,31,8
22156,Wear,1.386,31,8
24085,Progress in Nuclear Magnetic Resonance Spectroscopy,2.696,31,8
24769,Materials Today,7.111,31,8
25143,Advanced Functional Materials,5.617,31,8
25236,"Sensors and Actuators, B: Chemical",1.406,31,8
25696,Nonlinearity,1.587,31,8
26465,Progress in Polymer Science,7.261,31,8
26533,Advances in Colloid and Interface Science,1.977,31,8
26624,Acta Astronomica,1.746,31,8
26651,Annual Review of Astronomy and Astrophysics,18.046,31,8
26704,Astronomical Journal,2.23,31,8
26750,Astronomy and Astrophysics,2.265,31,8
26756,Astronomy and Astrophysics Review,3.385,31,8
26765,Astrophysical Journal,2.684,31,8
26769,"Astrophysical Journal, Supplement Series",4.66,31,8
26884,Current Opinion in Colloid and Interface Science,2.07,31,8
26978,Advances in Physics,11.279,31,8
26987,Langmuir,1.479,31,8
27011,Physical Chemistry Chemical Physics,1.686,31,8
27030,Applied Physics Letters,1.382,31,8
27035,Progress in Solid State Chemistry,2.144,31,8
27130,Progress in Quantum Electronics,3.999,31,8
27241,Icarus,2.037,31,8
27433,Classical and Quantum Gravity,1.809,31,8
27437,Communications in Mathematical Physics,1.682,31,8
27476,Critical Reviews in Solid State and Materials Sciences,1.51,31,8
27540,Progress in Photovoltaics: Research and Applications,1.772,31,8
27545,European Physical Journal C,2.022,31,8
27732,New Astronomy Reviews,3.198,31,8
27781,Publications of the Astronomical Society of the Pacific,1.902,31,8
27955,Fortschritte der Physik,1.371,31,8
28218,Monthly Notices of the Royal Astronomical Society,2.346,31,8
28245,Solar Physics,1.517,31,8
28261,Space Science Reviews,3.262,31,8
28379,Scripta Materialia,1.923,31,8
28542,Journal of Mathematical Fluid Mechanics,1.613,31,8
28623,Combustion and Flame,2.427,31,8
28677,Living Reviews in Relativity,8.322,31,8
28944,Atomic Data and Nuclear Data Tables,1.854,31,8
28968,Interfaces and Free Boundaries,1.311,31,8
29029,Journal of Physics G: Nuclear and Particle Physics,1.513,31,8
29030,Journal of Synchrotron Radiation,1.65,31,8
29047,New Journal of Physics,1.653,31,8
29079,Particle and Particle Systems Characterization,1.656,31,8
29086,Nuclear Physics B,1.744,31,8
29150,Physical Review Letters,3.622,31,8
29161,ISPRS Journal of Photogrammetry and Remote Sensing,3.169,31,8
29229,Physics Reports,6.452,31,8
29482,"Physics Letters, Section B: Nuclear, Elementary Particle and High-Energy Physics",2.336,31,8
29488,Progress in Particle and Nuclear Physics,6.093,31,8
29646,Progress in Surface Science,4.097,31,8
29709,Reports on Progress in Physics,5.64,31,8
29719,Reviews of Modern Physics,17.567,31,8
50170,International Journal of Mechanical Sciences,1.595,31,8
75561,Advanced Nonlinear Studies,1.588,31,8
110332,Zeitschfrift für Kristallographie,2.139,31,8
144980,Multiscale Modeling and Simulation,1.334,31,8
145691,Soft Matter,1.493,31,8
147234,"Selecta Mathematica, New Series",2.646,31,8
4000151822,Nature Physics,9.791,31,8
4800152302,LEUKOS - Journal of Illuminating Engineering Society of North America,1.628,31,8
5200152704,Nature Nanotechnology,20.612,31,8
5700165152,Nature Photonics,16.462,31,8
7500153133,Laser and Photonics Reviews,4.228,31,8
11000153773,Physical Review B - Condensed Matter and Materials Physics,1.604,31,8
11500153511,ACS Nano,7.203,31,8
15600154712,Chinese Physics C,1.967,31,8
19700173023,Living Reviews in Solar Physics,5.222,31,8
19700182758,Nature Communications,6.582,31,8
19700182906,Bulletin of the Astronomical Society of India,2.444,31,8
19700188417,Annual Review of Condensed Matter Physics,11.377,31,8
19700188421,Monthly Notices of the Royal Astronomical Society: Letters,2.372,31,8
19900192103,Astrophysical Journal Letters,3.186,31,8
21100197181,NPG Asia Materials,3.315,31,8
21100201772,Physical Review X,6.11,31,8
21100205908,Biomedical Optics Express,1.486,31,8
21100220161,Physics of the Dark Universe,2.475,31,8
21100228100,Advances in Optics and Photonics,9.187,31,8
21100237606,Photoacoustics,1.759,31,8
21100241218,Astronomy and Computing,1.597,31,8
21100246534,"Acta Crystallographica Section B: Structural Science, Crystal Engineering and Materials",1.654,31,8
21100255548,Advanced Optical Materials,3.121,31,8
21100269013,Nanophotonics,2.916,31,8
21100278313,Light: Science and Applications,5.245,31,8
21100338322,IEEE Geoscience and Remote Sensing Magazine,1.742,31,8
21100407174,Photonics Research,1.918,31,8
21100779241,Physical Review D,1.801,31,8
21100782672,Journal of Spectral Theory,1.481,31,8
21100829284,Physical Review C,1.443,31,8
12116,IEEE Photonics Technology Letters,0.961,31,7
12156,Journal of Biomedical Optics,0.918,31,7
12178,Journal of Lightwave Technology,1.166,31,7
12278,Superconductor Science and Technology,1.036,31,7
12341,Journal of the Optical Society of America B: Optical Physics,0.859,31,7
12348,Optics and Lasers in Engineering,1.018,31,7
12655,Nuclear Data Sheets,0.969,31,7
12998,"IEEE Transactions on Ultrasonics, Ferroelectrics, and Frequency Control",1.183,31,7
13516,Ultrasonics,0.973,31,7
13711,Combustion Theory and Modelling,1.175,31,7
13712,Continuum Mechanics and Thermodynamics,0.978,31,7
13759,International Journal of Heat and Fluid Flow,0.947,31,7
13886,Advanced Engineering Materials,0.924,31,7
14398,International Journal of Solids and Structures,1.295,31,7
14422,Journal of Non-Newtonian Fluid Mechanics,1.14,31,7
14588,Theoretical and Applied Fracture Mechanics,1.138,31,7
15361,IEEE Transactions on Instrumentation and Measurement,0.938,31,7
17366,IEEE Transactions on Microwave Theory and Techniques,1.0,31,7
17813,Materials Science and Engineering C,1.11,31,7
17815,Materials Science and Technology,0.889,31,7
17828,Mechanics of Materials,1.248,31,7
17852,NDT and E International,1.205,31,7
17882,Nuclear Engineering and Design,1.061,31,7
18380,Tribology Letters,1.204,31,7
18663,"Organic Electronics: physics, materials, applications",1.085,31,7
20327,Experiments in Fluids,1.281,31,7
20450,International Journal of Multiphase Flow,1.218,31,7
20949,"Journal of Applied Mechanics, Transactions ASME",1.133,31,7
21322,"Flow, Turbulence and Combustion",0.934,31,7
21578,Numerical Heat Transfer; Part A: Applications,1.168,31,7
21643,Probabilistic Engineering Mechanics,0.89,31,7
24064,Journal of Supercritical Fluids,1.015,31,7
24127,International Journal of Quantum Chemistry,1.003,31,7
24517,Solid State Nuclear Magnetic Resonance,1.068,31,7
24532,Spectrochimica Acta - Part B: Atomic Spectroscopy,0.96,31,7
24537,Surface and Coatings Technology,0.928,31,7
24644,Journal of Physical and Chemical Reference Data,1.046,31,7
24672,Crystal Growth & Design,1.154,31,7
24678,Crystallography Reviews,1.143,31,7
25122,Progress in Crystal Growth and Characterization of Materials,1.088,31,7
25169,Journal of the Electrochemical Society,1.267,31,7
25854,European Polymer Journal,0.996,31,7
26023,IEEE Journal on Selected Topics in Quantum Electronics,1.116,31,7
26444,Polymer Degradation and Stability,1.041,31,7
26531,Comptes Rendus Physique,0.922,31,7
26588,ChemPhysChem,1.28,31,7
26590,Colloids and Surfaces B: Biointerfaces,1.071,31,7
26764,Astroparticle Physics,1.242,31,7
26899,Fluid Phase Equilibria,0.95,31,7
26949,Journal of Chemical Thermodynamics,1.067,31,7
26989,Microporous and Mesoporous Materials,1.08,31,7
26991,International Journal of Hydrogen Energy,1.116,31,7
26998,Annalen der Physik,0.915,31,7
27000,Annales Henri Poincare,1.097,31,7
27002,Annals of Physics,0.987,31,7
27137,Celestial Mechanics and Dynamical Astronomy,1.092,31,7
27195,Experimental Astronomy,0.908,31,7
27289,Materials Characterization,1.291,31,7
27356,Metallurgical and Materials Transactions A: Physical Metallurgy and Materials Science,1.093,31,7
27424,Annales Geophysicae,0.91,31,7
27457,Contemporary Physics,1.213,31,7
27773,Planetary and Space Science,1.065,31,7
27778,Publication of the Astronomical Society of Japan,0.877,31,7
27854,Transactions of Nonferrous Metals Society of China (English Edition),0.908,31,7
28074,International Journal of Modern Physics D,1.079,31,7
28130,Journal of Adhesion,0.928,31,7
28134,Journal of Chemical Physics,1.252,31,7
28363,Science and Technology of Welding and Joining,1.03,31,7
28520,Journal of High Energy Physics,1.227,31,7
28525,Journal of Magnetic Resonance,1.182,31,7
28551,Physics of the Earth and Planetary Interiors,1.285,31,7
28567,Journal of Physics Condensed Matter,0.875,31,7
28574,Journal of Statistical Physics,0.93,31,7
28593,Journal of Turbulence,0.863,31,7
28663,Letters in Mathematical Physics,0.989,31,7
28969,European Physical Journal A,1.116,31,7
29021,Journal of Nuclear Materials,1.104,31,7
29083,Nuclear Physics A,0.938,31,7
29120,Physica D: Nonlinear Phenomena,0.861,31,7
29143,"Physical Review A - Atomic, Molecular, and Optical Physics",1.288,31,7
29210,Physics of Fluids,1.19,31,7
29515,Radiation Research,1.002,31,7
29614,Plasma Sources Science and Technology,1.015,31,7
29676,Quantum Information and Computation,0.904,31,7
29784,"Philosophical Transactions of the Royal Society A: Mathematical, Physical and Engineering Sciences",0.907,31,7
29805,ISA Transactions,1.115,31,7
29859,Smart Materials and Structures,1.152,31,7
