Sourceid,Title,SJR,field,octile
28930,Computational Statistics,0.803,18,5
29114,Engineering Optimization,0.576,18,5
145274,Journal of Statistical Mechanics: Theory and Experiment,0.614,18,5
6400153135,Source Code for Biology and Medicine,0.784,18,5
8600153118,Mathematics and Financial Economics,0.729,18,5
10900153330,Enterprise Information Systems,0.717,18,5
11400153310,International Journal of Logistics Research and Applications,0.771,18,5
11700154400,TOP,0.679,18,5
14500154733,Operational Research,0.566,18,5
17300154971,International Journal of Critical Infrastructure Protection,0.648,18,5
19400158510,Logistics Research,0.702,18,5
19700186711,Decision Analysis,0.571,18,5
20500195043,Research in Transportation Business and Management,0.776,18,5
21100195305,"Law, Probability and Risk",0.777,18,5
21100377744,International Journal of Lean Six Sigma,0.802,18,5
21100446510,Journal of Humanitarian Logistics and Supply Chain Management,0.756,18,5
