Sourceid,Title,SJR,field,octile
12202,Intermetallics,1.568,25,8
12286,Surface Science Reports,6.425,25,8
12349,International Journal of Engineering Science,2.82,25,8
12878,Chemistry of Materials,4.675,25,8
13332,Solar Energy Materials and Solar Cells,1.459,25,8
13333,Solar Energy,1.615,25,8
13877,"European Journal of Mechanics, A/Solids",1.676,25,8
14398,International Journal of Solids and Structures,1.295,25,8
14423,Journal of Rheology,1.326,25,8
15063,Composite Structures,1.905,25,8
15378,Current Opinion in Solid State and Materials Science,2.738,25,8
15437,Biosensors and Bioelectronics,2.373,25,8
15906,Geotextiles and Geomembranes,1.771,25,8
15995,Composites Science and Technology,1.702,25,8
16088,Journal of Nanobiotechnology,1.38,25,8
16214,International Journal for Numerical and Analytical Methods in Geomechanics,1.452,25,8
16259,Journal of Composites for Construction,1.84,25,8
16274,Journal of Constructional Steel Research,1.892,25,8
16305,Journal of Structural Engineering,1.74,25,8
16322,Desalination,1.955,25,8
17139,Materials and Structures/Materiaux et Constructions,1.383,25,8
17458,European Cells and Materials,1.345,25,8
17797,Materials and Design,1.82,25,8
17811,"Materials Science & Engineering A: Structural Materials: Properties, Microstructure and Processing",1.694,25,8
17814,Materials Science and Engineering: R: Reports,8.408,25,8
17853,Nano Letters,7.447,25,8
17854,Nature Materials,18.263,25,8
17899,Progress in Materials Science,9.148,25,8
18171,Computers and Structures,1.63,25,8
19881,Advanced Materials,10.579,25,8
20497,Annual Review of Materials Research,6.689,25,8
20540,Composites Part A: Applied Science and Manufacturing,1.539,25,8
20541,Computational Materials Science,1.766,25,8
20941,Ultramicroscopy,1.824,25,8
20972,Journal of Materials Processing Technology,1.695,25,8
21052,Marine Structures,2.049,25,8
21105,International Journal of Fatigue,1.402,25,8
21117,International Journal of Plasticity,3.395,25,8
21119,International Materials Reviews,4.27,25,8
21221,MRS Bulletin,1.974,25,8
22116,Tribology International,1.52,25,8
22156,Wear,1.386,25,8
22781,Chemical Communications,2.555,25,8
22806,Chemical Record,1.814,25,8
23470,Coordination Chemistry Reviews,4.342,25,8
23811,Cement and Concrete Composites,3.146,25,8
23833,Cement and Concrete Research,4.223,25,8
24085,Progress in Nuclear Magnetic Resonance Spectroscopy,2.696,25,8
24443,Construction and Building Materials,1.607,25,8
24738,Lab on a Chip - Miniaturisation for Chemistry and Biology,2.158,25,8
24769,Materials Today,7.111,25,8
24936,Dental Materials,2.106,25,8
25143,Advanced Functional Materials,5.617,25,8
25236,"Sensors and Actuators, B: Chemical",1.406,25,8
25780,Biomacromolecules,1.95,25,8
25801,Carbohydrate Polymers,1.428,25,8
25806,Carbon,2.226,25,8
25939,Macromolecular Rapid Communications,1.452,25,8
26005,IEEE Electron Device Letters,1.361,25,8
26465,Progress in Polymer Science,7.261,25,8
26884,Current Opinion in Colloid and Interface Science,2.07,25,8
26953,Journal of Membrane Science,2.4,25,8
26970,Journal of Physical Chemistry B,1.331,25,8
26987,Langmuir,1.479,25,8
27035,Progress in Solid State Chemistry,2.144,25,8
27130,Progress in Quantum Electronics,3.999,25,8
27289,Materials Characterization,1.291,25,8
27476,Critical Reviews in Solid State and Materials Sciences,1.51,25,8
27540,Progress in Photovoltaics: Research and Applications,1.772,25,8
28200,Biomaterials,3.111,25,8
28379,Scripta Materialia,1.923,25,8
28583,Acta Materialia,3.263,25,8
28635,Composites Part B: Engineering,2.039,25,8
29079,Particle and Particle Systems Characterization,1.656,25,8
29476,Corrosion Science,1.846,25,8
29646,Progress in Surface Science,4.097,25,8
50170,International Journal of Mechanical Sciences,1.595,25,8
110332,Zeitschfrift für Kristallographie,2.139,25,8
3200147828,Small,3.83,25,8
3300147809,Acta Biomaterialia,1.967,25,8
4000149101,"Nanomedicine: Nanotechnology, Biology, and Medicine",1.743,25,8
4000151907,Journal of the Royal Society Interface,1.723,25,8
4700152457,Nano Today,7.191,25,8
5200152704,Nature Nanotechnology,20.612,25,8
5200153123,Journal of Physical Chemistry C,2.135,25,8
5400152706,Nanotoxicology,1.63,25,8
5700165152,Nature Photonics,16.462,25,8
6100152802,Nanomedicine,1.302,25,8
7500153133,Laser and Photonics Reviews,4.228,25,8
9500153997,Polymer Reviews,1.787,25,8
11000153773,Physical Review B - Condensed Matter and Materials Physics,1.604,25,8
11500153511,ACS Nano,7.203,25,8
11700154648,Tissue Engineering - Part B: Reviews,1.593,25,8
12000154478,ChemSusChem,2.538,25,8
17500155020,Nano Research,3.064,25,8
19600166212,Journal of Physical Chemistry Letters,4.667,25,8
19700166902,Wiley interdisciplinary reviews. Nanomedicine and nanobiotechnology,1.987,25,8
19700171101,ACS Applied Materials & Interfaces,2.784,25,8
19700173215,Nanoscale,2.934,25,8
19700178100,"Nanotechnology, Science and Applications",2.723,25,8
19700182678,Polymer Chemistry,1.778,25,8
19700182917,Biofabrication,1.643,25,8
19700188417,Annual Review of Condensed Matter Physics,11.377,25,8
21100197181,NPG Asia Materials,3.315,25,8
21100197947,Nano Energy,5.185,25,8
21100199127,Advanced Energy Materials,8.23,25,8
21100200203,Wiley Interdisciplinary Reviews: Computational Molecular Science,5.698,25,8
21100203115,Nano-Micro Letters,1.554,25,8
21100209317,ACS Macro Letters,2.486,25,8
21100225611,Advanced healthcare materials,1.989,25,8
21100229202,Journal of Materials Chemistry B,1.561,25,8
21100229207,Journal of Materials Chemistry C,1.917,25,8
21100232403,Journal of Materials Chemistry A,3.488,25,8
21100246534,"Acta Crystallographica Section B: Structural Science, Crystal Engineering and Materials",1.654,25,8
21100247072,Biomaterials Science,1.604,25,8
21100255548,Advanced Optical Materials,3.121,25,8
21100261937,MRS Communications,1.443,25,8
21100269013,Nanophotonics,2.916,25,8
21100278313,Light: Science and Applications,5.245,25,8
21100310046,APL Materials,1.63,25,8
21100407174,Photonics Research,1.918,25,8
21100773739,Materials Research Letters,2.972,25,8
21100779404,Macromolecules,2.419,25,8
12116,IEEE Photonics Technology Letters,0.961,25,7
12133,Hydrometallurgy,1.208,25,7
12148,ISIJ International,0.961,25,7
12156,Journal of Biomedical Optics,0.918,25,7
12219,International Journal of Refractory Metals and Hard Materials,1.052,25,7
12278,Superconductor Science and Technology,1.036,25,7
12284,Surface Science,0.81,25,7
12302,JOM,1.054,25,7
12325,Journal of Alloys and Compounds,1.02,25,7
12330,Journal of Materials Science and Technology,1.138,25,7
12348,Optics and Lasers in Engineering,1.018,25,7
13261,Progress in Organic Coatings,0.844,25,7
13639,International Journal of Adhesion and Adhesives,0.926,25,7
13712,Continuum Mechanics and Thermodynamics,0.978,25,7
13790,Precision Engineering,0.98,25,7
13886,Advanced Engineering Materials,0.924,25,7
14127,Macromolecular Bioscience,1.017,25,7
14240,Reactive and Functional Polymers,0.834,25,7
14372,Tribology Transactions,0.836,25,7
14422,Journal of Non-Newtonian Fluid Mechanics,1.14,25,7
14588,Theoretical and Applied Fracture Mechanics,1.138,25,7
15759,Journal of Aerosol Science,0.828,25,7
16052,International Biodeterioration and Biodegradation,1.086,25,7
16299,Journal of Materials in Civil Engineering,1.034,25,7
16520,Journal of Advanced Concrete Technology,1.139,25,7
17096,Magazine of Concrete Research,0.858,25,7
17135,Materiales de Construccion,0.903,25,7
17442,Structural Concrete,1.031,25,7
17813,Materials Science and Engineering C,1.11,25,7
17815,Materials Science and Technology,0.889,25,7
17827,Mechanics of Advanced Materials and Structures,0.878,25,7
17828,Mechanics of Materials,1.248,25,7
17829,Mechanics Research Communications,0.814,25,7
17852,NDT and E International,1.205,25,7
17882,Nuclear Engineering and Design,1.061,25,7
17918,Science and Technology of Advanced Materials,1.252,25,7
18280,PCI Journal,0.897,25,7
18380,Tribology Letters,1.204,25,7
18663,"Organic Electronics: physics, materials, applications",1.085,25,7
20453,International Journal of Pressure Vessels and Piping,0.981,25,7
20593,Engineering Failure Analysis,0.933,25,7
20594,Engineering Fracture Mechanics,1.244,25,7
20982,Journal of the American Ceramic Society,0.95,25,7
21054,Materials and Manufacturing Processes,0.948,25,7
21098,International Journal of Damage Mechanics,0.872,25,7
21152,Journal of Elasticity,0.899,25,7
21157,Journal of Intelligent Material Systems and Structures,0.828,25,7
21162,Journal of Materials Science,0.807,25,7
21187,Journal of Sandwich Structures and Materials,0.998,25,7
21444,Polymer,1.097,25,7
21522,Ceramics International,0.784,25,7
21548,Journal of the European Ceramic Society,1.068,25,7
22367,Progress in Natural Science: Materials International,0.801,25,7
22670,Aerosol Science and Technology,0.875,25,7
24061,Journal of Raman Spectroscopy,0.888,25,7
24537,Surface and Coatings Technology,0.928,25,7
24672,Crystal Growth & Design,1.154,25,7
24678,Crystallography Reviews,1.143,25,7
24824,New Journal of Chemistry,0.864,25,7
25122,Progress in Crystal Growth and Characterization of Materials,1.088,25,7
25159,ACI Materials Journal,0.994,25,7
25169,Journal of the Electrochemical Society,1.267,25,7
25204,Advances in Cement Research,0.841,25,7
25762,Advances in Polymer Science,1.04,25,7
25799,Biopolymers,0.861,25,7
25810,Cellulose,1.047,25,7
25854,European Polymer Journal,0.996,25,7
25915,"Journal of Polymer Science, Part B: Polymer Physics",0.837,25,7
26052,IEEE Transactions on Electron Devices,0.839,25,7
26444,Polymer Degradation and Stability,1.041,25,7
26949,Journal of Chemical Thermodynamics,1.067,25,7
26950,Journal of Colloid and Interface Science,1.221,25,7
26965,Journal of Molecular Liquids,0.849,25,7
26989,Microporous and Mesoporous Materials,1.08,25,7
27356,Metallurgical and Materials Transactions A: Physical Metallurgy and Materials Science,1.093,25,7
27854,Transactions of Nonferrous Metals Society of China (English Edition),0.908,25,7
28130,Journal of Adhesion,0.928,25,7
28363,Science and Technology of Welding and Joining,1.03,25,7
28423,Steel and Composite Structures,1.141,25,7
28425,Fire Safety Journal,0.789,25,7
28526,Journal of Magnetism and Magnetic Materials,0.786,25,7
28567,Journal of Physics Condensed Matter,0.875,25,7
28704,Modelling and Simulation in Materials Science and Engineering,0.821,25,7
28983,Applied Surface Science,1.093,25,7
29021,Journal of Nuclear Materials,1.104,25,7
29222,Fatigue and Fracture of Engineering Materials and Structures,1.115,25,7
29651,Granular Matter,0.789,25,7
