Sourceid,Title,SJR,field,octile
13332,Solar Energy Materials and Solar Cells,1.459,21,8
13333,Solar Energy,1.615,21,8
13688,Applied Thermal Engineering,1.505,21,8
15423,Bioresource Technology,2.029,21,8
16313,Fuel,1.891,21,8
16315,Fuel Processing Technology,1.453,21,8
17370,IEEE Transactions on Power Delivery,1.814,21,8
18063,Journal of Power Sources,2.202,21,8
19167,Journal of Cleaner Production,1.467,21,8
19457,Shiyou Kantan Yu Kaifa/Petroleum Exploration and Development,2.029,21,8
27524,International Journal of Coal Geology,2.186,21,8
27538,Progress in Energy and Combustion Science,6.751,21,8
27540,Progress in Photovoltaics: Research and Applications,1.772,21,8
27567,Renewable and Sustainable Energy Reviews,3.036,21,8
27569,Renewable Energy,1.847,21,8
28623,Combustion and Flame,2.427,21,8
28801,Applied Energy,3.162,21,8
28824,IEEE Transactions on Energy Conversion,1.377,21,8
28825,IEEE Transactions on Power Systems,2.742,21,8
29348,Energy,1.99,21,8
29363,Annals of Nuclear Energy,1.41,21,8
29372,Energy Conversion and Management,2.537,21,8
29374,Energy Economics,1.916,21,8
29403,Energy Policy,1.994,21,8
30787,AAPG Bulletin,1.825,21,8
4900152303,Global Environmental Politics,2.2,21,8
5200152632,Environmental Research Letters,2.436,21,8
5200153123,Journal of Physical Chemistry C,2.135,21,8
6200180161,International Journal of Greenhouse Gas Control,1.458,21,8
9500153997,Polymer Reviews,1.787,21,8
11700154702,Biotechnology for Biofuels,1.899,21,8
12000154478,ChemSusChem,2.538,21,8
17500155114,Energy and Environmental Sciences,14.59,21,8
19700174711,SAE International Journal of Engines,1.455,21,8
19700177027,IEEE Transactions on Sustainable Energy,2.318,21,8
19700188418,Annual Review of Chemical and Biomolecular Engineering,2.64,21,8
19700201681,Environmental Innovation and Societal Transitions,2.14,21,8
21100197947,Nano Energy,5.185,21,8
21100199127,Advanced Energy Materials,8.23,21,8
21100216308,GCB Bioenergy,1.816,21,8
21100232403,Journal of Materials Chemistry A,3.488,21,8
21100248891,ACS Sustainable Chemistry & Engineering,1.657,21,8
21100338359,IEEE Journal of Emerging and Selected Topics in Power Electronics,1.657,21,8
13182,Progress in Nuclear Energy,1.239,21,7
13711,Combustion Theory and Modelling,1.175,21,7
13848,Wind Energy,1.051,21,7
16044,Electric Power Systems Research,1.048,21,7
17882,Nuclear Engineering and Design,1.061,21,7
17985,International Journal of Electrical Power and Energy Systems,1.276,21,7
19462,Shiyou Xuebao/Acta Petrolei Sinica,1.292,21,7
19559,Tianranqi Gongye/Natural Gas Industry,0.963,21,7
20985,Journal of Offshore Mechanics and Arctic Engineering,1.038,21,7
22645,Geothermics,1.263,21,7
25169,Journal of the Electrochemical Society,1.267,21,7
25874,Sustainable Development,0.992,21,7
26991,International Journal of Hydrogen Energy,1.116,21,7
27965,Geophysics,1.018,21,7
28027,IEEE Power and Energy Magazine,0.942,21,7
28810,Biomass and Bioenergy,1.235,21,7
29021,Journal of Nuclear Materials,1.104,21,7
29220,Experimental Thermal and Fluid Science,1.271,21,7
29364,Energy & Fuels,1.159,21,7
29391,Energy Journal,1.209,21,7
58130,Journal of the Energy Institute,1.179,21,7
110486,Journal of Wind Engineering and Industrial Aerodynamics,1.264,21,7
5600152809,IET Renewable Power Generation,0.979,21,7
12700154702,"Biofuels, Bioproducts and Biorefining",1.156,21,7
14700154701,Bioenergy Research,1.151,21,7
15300154827,SPE Journal,1.032,21,7
17600155126,Energy for Sustainable Development,1.065,21,7
19400158456,International Journal of Sustainable Transportation,1.058,21,7
19400158619,Journal of Natural Gas Science and Engineering,1.078,21,7
19700174712,SAE International Journal of Fuels and Lubricants,1.053,21,7
19700194105,Sustainable Cities and Society,1.047,21,7
20500195210,Current Opinion in Chemical Engineering,1.189,21,7
21100199818,Energy Strategy Reviews,1.009,21,7
21100201945,International Journal of Mining Science and Technology,1.323,21,7
21100227406,"Sustainability Accounting, Management and Policy Journal",0.965,21,7
21100232822,Environmental and Climate Technologies,1.045,21,7
21100239262,Sustainable Energy Technologies and Assessments,1.234,21,7
21100239615,Wiley Interdisciplinary Reviews: Energy and Environment,0.963,21,7
21100244836,Journal of Energy Chemistry,0.932,21,7
21100420330,Journal of Modern Power Systems and Clean Energy,1.076,21,7
21100423919,Energy Technology,0.952,21,7
21100786327,Economics of Energy and Environmental Policy,0.942,21,7
12677,Nuclear Science and Engineering,0.92,21,6
13321,"Journal of Solar Energy Engineering, Transactions of the ASME",0.615,21,6
13559,Journal of Loss Prevention in the Process Industries,0.808,21,6
14393,International Journal of Computational Fluid Dynamics,0.578,21,6
15530,Power System Technology,0.696,21,6
16083,Journal of Chemical Technology and Biotechnology,0.766,21,6
16392,Chemical Engineering and Processing - Process Intensification,0.872,21,6
16430,Meitan Xuebao/Journal of the China Coal Society,0.864,21,6
17012,Journal of Petroleum Geology,0.776,21,6
17013,Journal of Petroleum Science and Engineering,0.782,21,6
17368,IEEE Transactions on Nuclear Science,0.565,21,6
18909,SPE Reservoir Evaluation and Engineering,0.925,21,6
20344,Fusion Engineering and Design,0.61,21,6
20851,Environment,0.699,21,6
20962,Journal of Engineering for Gas Turbines and Power,0.686,21,6
21643,Probabilistic Engineering Mechanics,0.89,21,6
25397,Dianli Xitong Zidonghua/Automation of Electric Power Systems,0.758,21,6
26541,Fuel Cells,0.559,21,6
26676,International Journal of Energy Research,0.764,21,6
26881,Combustion Science and Technology,0.683,21,6
27019,"Journal of Energy Resources Technology, Transactions of the ASME",0.834,21,6
28802,Electricity Journal,0.632,21,6
29092,Nuclear Technology,0.828,21,6
29251,Plasma Physics and Controlled Fusion,0.69,21,6
29587,Journal of Propulsion and Power,0.665,21,6
62932,Energies,0.67,21,6
92266,Scientific Drilling,0.561,21,6
5400152713,"IET Generation, Transmission and Distribution",0.907,21,6
11700154337,Nuclear Engineering and Technology,0.854,21,6
11900154313,Energy Efficiency,0.715,21,6
12400154727,International Journal of Coal Preparation and Utilization,0.623,21,6
17300154720,Petroleum Exploration and Development,0.684,21,6
19500157074,Building Simulation,0.839,21,6
21100206268,Journal of Photonics for Energy,0.6,21,6
21100228041,International Journal of Energy and Environmental Engineering,0.602,21,6
21100286318,"Energy, Sustainability and Society",0.607,21,6
21100453600,Geothermal Energy,0.75,21,6
21100775662,Food and Energy Security,0.768,21,6
