year,field,multiaffsize,multiaffshare,foreignaffshare
1996,Pharmaceutics,67107,6.438970599192334,23.212219393658877
2015,Pharmaceutics,192651,11.10765062210941,18.318613019299967
1999,Pharmaceutics,71103,6.359787913308862,21.627598407784166
2016,Pharmaceutics,201671,11.130504633784728,18.28752171782421
2009,Pharmaceutics,135567,8.714510168403814,17.75859150160826
2014,Pharmaceutics,184964,10.812914945611038,18.17
2003,Pharmaceutics,88877,6.705896913712209,21.308724832214764
2008,Pharmaceutics,130942,8.70996318980923,16.492766330556773
2011,Pharmaceutics,156480,9.81978527607362,18.156969933619678
2013,Pharmaceutics,176949,10.50472169947273,18.372068000860768
2017,Pharmaceutics,209220,11.43533123028391,18.474399164054336
1997,Pharmaceutics,66479,6.198950044374915,23.65930599369085
2019,Pharmaceutics,256898,11.764202134699374,16.941301038978228
1998,Pharmaceutics,68876,6.025320866484697,22.915662650602407
2012,Pharmaceutics,169343,9.966753866413137,17.193980329422917
2001,Pharmaceutics,79651,5.529120789443949,22.116257947320616
2018,Pharmaceutics,230929,11.79669941843597,18.25857132369136
2005,Pharmaceutics,105198,7.510599060818647,19.655739779774713
2000,Pharmaceutics,74937,5.615383588881327,23.21768060836502
2010,Pharmaceutics,144959,9.150863347567244,18.13795702977761
2006,Pharmaceutics,113991,7.856760621452572,18.09959803483698
1998,Physics,164241,9.677242588634993,47.81049452623631
2008,Physics,267247,10.870842329380686,35.994079581440175
2016,Physics,405868,13.516463480737581,30.864580105361018
2009,Physics,274100,11.423203210507115,35.31027434447957
2017,Physics,430793,13.864663539101146,29.850321457272972
2001,Physics,181379,8.59526185501078,44.71456061577935
2015,Physics,392385,13.38175516393338,31.098118381960845
2002,Physics,190426,8.628548622562045,43.03450794230418
1997,Physics,156793,10.195608222305843,46.20292756161641
2000,Physics,176197,8.775404802578931,45.91902729271763
2003,Physics,197525,9.635742311099861,43.12509851310881
2013,Physics,354454,12.64085043475317,33.631656474579295
2010,Physics,287915,11.883715679974994,33.91787227824054
2004,Physics,214299,10.097107312679947,41.33931047231722
2007,Physics,256719,10.510714049213341,37.456917318311525
1999,Physics,165564,9.886811142518905,46.75911784470645
2005,Physics,226573,10.625714449647575,40.560747663551396
2014,Physics,381678,13.073847588805224,31.863727454909817
2018,Physics,466421,13.959277133748266,29.278594357154926
2006,Physics,243819,10.860925522621288,38.62014274385409
2019,Physics,490403,13.737477136151288,27.99655627959447
1996,Physics,150791,10.481394778202944,47.17494463777286
2011,Physics,314116,12.223509786193636,33.969684342118974
2012,Physics,331124,12.648131817687633,33.82679496669134
2011,Planetary Sci.,122465,13.180908831094598,33.66992937678106
2017,Planetary Sci.,172903,15.63362116331122,30.51311457215789
2018,Planetary Sci.,188821,16.192584511256694,30.99591169255928
2010,Planetary Sci.,114814,12.41573327294581,34.065240266573134
2006,Planetary Sci.,91878,11.280175885413266,35.48822848321112
1998,Planetary Sci.,52204,11.577656884529922,40.98279285241561
2000,Planetary Sci.,57389,9.355451393124117,41.627863661761964
2005,Planetary Sci.,83461,11.505972849594421,37.311256898885766
2003,Planetary Sci.,68684,8.584240871236387,39.55223880597015
2001,Planetary Sci.,61971,8.784754159203498,39.97060984570169
2004,Planetary Sci.,79187,9.650573957846616,35.959172991363516
2008,Planetary Sci.,100634,11.689886121986605,36.101666099965996
2013,Planetary Sci.,141323,13.68991600801002,33.266139453145186
1999,Planetary Sci.,53219,10.601476916138973,40.056717476072315
2007,Planetary Sci.,94649,11.524685944912255,35.35020168683535
2002,Planetary Sci.,64952,8.47856878925976,42.38242237152715
1997,Planetary Sci.,48164,12.226974503778756,39.565291220920365
2014,Planetary Sci.,151756,14.65115053111574,32.66168930466852
2019,Planetary Sci.,199489,16.150765205099027,30.075421335236975
2009,Planetary Sci.,107879,12.25354332168448,34.541190710341176
2015,Planetary Sci.,158796,15.007304969898486,31.45482774537367
1996,Planetary Sci.,45665,11.654439943063617,40.492296129274706
2012,Planetary Sci.,129626,13.669325598259608,33.83373779558666
2016,Planetary Sci.,167956,15.358784443544737,30.454334005272138
2018,Social Sci.,235789,7.626734071563983,33.22582438970139
2007,Social Sci.,95596,5.278463534039081,25.723345223939752
2016,Social Sci.,197039,6.913859692751181,32.59928062834911
1996,Social Sci.,42942,5.148805365376555,23.066485753052916
1997,Social Sci.,43365,4.787270840539605,24.61464354527938
1998,Social Sci.,45891,4.77871478067595,23.392612859097127
1999,Social Sci.,46324,4.079958552802003,26.137566137566136
2000,Social Sci.,52938,4.195473950659262,24.808644754615038
2001,Social Sci.,55202,4.229919205825876,25.69593147751606
2002,Social Sci.,61192,3.252059092691855,26.683417085427134
2003,Social Sci.,63959,4.218327365968824,25.315048183839885
2004,Social Sci.,71774,5.417003371694486,23.894032921810698
2005,Social Sci.,79452,6.047676584604541,24.661810613943807
2006,Social Sci.,88123,5.653461638845704,25.090325170614214
2008,Social Sci.,105840,5.379818594104308,26.800140498770634
2009,Social Sci.,116536,4.77019976659573,29.033998920669184
2010,Social Sci.,125723,4.596613189313013,30.731960546807407
2011,Social Sci.,138161,4.933374830813326,32.056924882629104
2012,Social Sci.,149074,5.221567811959161,31.680369989722507
2013,Social Sci.,162887,5.725441563783481,32.66137679605404
2014,Social Sci.,177015,6.303420614072254,34.531278006811256
2015,Social Sci.,183743,6.515078125425186,34.19931501127726
2017,Social Sci.,211629,7.208369363367025,33.31366764995084
2019,Social Sci.,277346,7.626935308243134,33.588616271923605
