,Argentina,Australia,Austria,Belgium,Canada,Chile,China,Czechia,Denmark,Estonia,Finland,France,Germany,Greece,Hungary,Ireland,Israel,Italy,Japan,Lithuania,Mexico,Netherlands,New Zealand,Norway,Poland,Portugal,Romania,Russia,Singapore,Slovakia,Slovenia,South Africa,South Korea,Spain,Sweden,Switzerland,Taiwan,Turkey,United Kingdom,United States
Argentina,4172.0,3.0,3.0,6.0,8.0,12.0,3,2.0,4.0,,1.0,24,35,,,,2.0,11,1.0,,10.0,2.0,3.0,,1.0,2.0,,2.0,,1.0,,3.0,,57,2,8.0,2.0,1.0,9,65
Australia,8.0,18064.0,22.0,36.0,131.0,18.0,1325,4.0,47.0,,26.0,99,191,3.0,6.0,29.0,16.0,48,87.0,1.0,5.0,96.0,105.0,27.0,16.0,10.0,1.0,13.0,69.0,,1.0,45.0,28.0,54,77,74.0,22.0,7.0,491,522
Austria,2.0,35.0,1991.0,13.0,20.0,6.0,48,16.0,12.0,1.0,19.0,24,296,4.0,17.0,8.0,4.0,50,12.0,,2.0,27.0,,5.0,7.0,8.0,3.0,10.0,2.0,11.0,8.0,4.0,6.0,21,30,65.0,2.0,,88,129
Belgium,4.0,29.0,26.0,4472.0,29.0,9.0,188,9.0,15.0,,9.0,185,97,12.0,4.0,4.0,7.0,96,16.0,2.0,3.0,222.0,6.0,13.0,14.0,19.0,8.0,12.0,4.0,3.0,,31.0,9.0,64,31,36.0,5.0,9.0,145,168
Canada,6.0,142.0,16.0,28.0,17273.0,10.0,1127,10.0,34.0,4.0,16.0,234,162,9.0,4.0,24.0,28.0,54,51.0,2.0,31.0,61.0,16.0,17.0,14.0,10.0,,15.0,25.0,1.0,2.0,27.0,50.0,45,43,103.0,13.0,15.0,242,928
Chile,8.0,22.0,7.0,12.0,18.0,1922.0,11,3.0,3.0,1.0,5.0,35,51,1.0,,3.0,4.0,12,3.0,,13.0,17.0,3.0,1.0,,5.0,,1.0,,,,1.0,2.0,124,2,8.0,1.0,,77,134
China,4.0,613.0,19.0,72.0,466.0,9.0,140748,10.0,112.0,5.0,53.0,209,523,3.0,3.0,28.0,26.0,66,422.0,1.0,13.0,190.0,28.0,37.0,10.0,10.0,4.0,32.0,326.0,,3.0,12.0,173.0,58,152,77.0,126.0,8.0,653,4804
Czechia,1.0,15.0,35.0,11.0,14.0,1.0,31,2683.0,7.0,2.0,9.0,50,88,3.0,9.0,2.0,4.0,30,8.0,1.0,3.0,10.0,3.0,6.0,31.0,5.0,1.0,19.0,,57.0,6.0,2.0,2.0,23,25,20.0,,5.0,56,81
Denmark,2.0,57.0,13.0,17.0,28.0,3.0,188,2.0,3569.0,4.0,25.0,34,138,9.0,5.0,8.0,5.0,41,14.0,3.0,3.0,55.0,6.0,50.0,6.0,10.0,,,4.0,,2.0,9.0,6.0,31,99,27.0,,4.0,130,175
Estonia,,5.0,3.0,7.0,4.0,,5,1.0,1.0,208.0,22.0,2,10,1.0,,1.0,1.0,3,,,,3.0,2.0,2.0,3.0,1.0,,6.0,,,,,,3,14,5.0,,,25,9
