,Argentina,Australia,Austria,Belgium,Canada,Chile,China,Czechia,Denmark,Estonia,Finland,France,Germany,Greece,Hungary,Ireland,Israel,Italy,Japan,Lithuania,Mexico,Netherlands,New Zealand,Norway,Poland,Portugal,Romania,Russia,Singapore,Slovakia,Slovenia,South Africa,South Korea,Spain,Sweden,Switzerland,Taiwan,Turkey,United Kingdom,United States
Russia,,12.0,15.0,19,15,2.0,14.0,15.0,10.0,6.0,27.0,106.0,218,2.0,,3.0,8.0,20,26.0,,3.0,15.0,1.0,12.0,19.0,7.0,1.0,3245.0,,7.0,,5.0,12.0,19,32,30,4.0,4.0,65,206
Singapore,,60.0,8.0,2,14,,223.0,3.0,6.0,,,13.0,18,2.0,,2.0,9.0,5,16.0,,1.0,16.0,13.0,,1.0,1.0,,8.0,1445.0,,,1.0,19.0,4,15,17,5.0,6.0,85,200
Slovakia,,2.0,21.0,3,3,,1.0,23.0,3.0,,2.0,1.0,18,,10.0,2.0,,3,3.0,,,,,2.0,,1.0,,4.0,,191.0,,,,4,2,5,1.0,,5,16
Slovenia,,,7.0,1,3,,5.0,,,,,4.0,12,,1.0,,,12,,,,5.0,1.0,,1.0,2.0,,1.0,1.0,,439.0,1.0,,3,3,5,,,11,29
South Africa,1.0,33.0,5.0,20,24,2.0,13.0,2.0,7.0,1.0,5.0,29.0,44,2.0,,9.0,,20,4.0,,1.0,48.0,10.0,3.0,5.0,5.0,,3.0,,,,889.0,1.0,8,10,27,2.0,1.0,116,110
South Korea,1.0,19.0,2.0,2,37,1.0,104.0,1.0,4.0,,5.0,19.0,49,,2.0,2.0,5.0,5,113.0,,,10.0,2.0,,3.0,2.0,1.0,9.0,15.0,,1.0,1.0,5674.0,5,10,18,10.0,3.0,48,1039
Spain,15.0,30.0,24.0,42,40,32.0,24.0,13.0,23.0,1.0,16.0,154.0,169,10.0,5.0,12.0,4.0,126,13.0,,41.0,68.0,1.0,14.0,15.0,91.0,7.0,11.0,5.0,,,10.0,2.0,9857,40,58,4.0,,260,344
Sweden,4.0,48.0,24.0,23,51,5.0,110.0,12.0,85.0,6.0,83.0,42.0,148,11.0,6.0,10.0,5.0,52,13.0,2.0,1.0,39.0,10.0,79.0,16.0,13.0,,21.0,8.0,,3.0,17.0,6.0,50,3609,43,2.0,2.0,166,237
Switzerland,9.0,50.0,39.0,42,52,2.0,53.0,13.0,22.0,4.0,18.0,164.0,483,12.0,8.0,4.0,7.0,153,22.0,,2.0,54.0,12.0,12.0,17.0,20.0,1.0,13.0,11.0,2.0,2.0,13.0,7.0,62,46,2960,2.0,8.0,187,387
Taiwan,,9.0,3.0,2,12,1.0,77.0,2.0,,,2.0,11.0,8,,1.0,1.0,1.0,1,36.0,,,1.0,,,,1.0,1.0,1.0,9.0,,,,2.0,2,1,3,6637.0,2.0,31,292
Turkey,,2.0,5.0,13,23,1.0,,1.0,3.0,,2.0,13.0,35,2.0,,1.0,,7,10.0,1.0,,21.0,1.0,2.0,,3.0,3.0,1.0,4.0,,,2.0,,10,10,7,1.0,603.0,34,202
United Kingdom,16.0,337.0,38.0,102,169,31.0,466.0,20.0,80.0,4.0,48.0,240.0,520,98.0,25.0,109.0,42.0,291,98.0,1.0,20.0,242.0,45.0,41.0,39.0,83.0,6.0,29.0,50.0,6.0,8.0,78.0,35.0,271,108,206,16.0,27.0,11092,950
United States,55.0,400.0,94.0,120,795,67.0,3447.0,44.0,148.0,12.0,79.0,462.0,1048,91.0,51.0,77.0,224.0,526,500.0,2.0,114.0,329.0,65.0,62.0,78.0,67.0,16.0,97.0,158.0,8.0,9.0,99.0,485.0,342,201,448,190.0,92.0,1044,71812
