,Argentina,Australia,Austria,Belgium,Canada,Chile,China,Czechia,Denmark,Estonia,Finland,France,Germany,Greece,Hungary,Ireland,Israel,Italy,Japan,Lithuania,Mexico,Netherlands,New Zealand,Norway,Poland,Portugal,Romania,Russia,Singapore,Slovakia,Slovenia,South Africa,South Korea,Spain,Sweden,Switzerland,Taiwan,Turkey,United Kingdom,United States
Argentina,2613.0,4.0,1.0,5,11,10.0,1.0,1.0,2.0,,1.0,26.0,27,,,,1.0,10,4.0,,5.0,5.0,2.0,2.0,1.0,3.0,1.0,,,,1.0,,1.0,47,1,13,,,11,88
Australia,3.0,11161.0,33.0,30,134,10.0,473.0,6.0,36.0,1.0,20.0,82.0,170,2.0,4.0,24.0,13.0,35,45.0,,2.0,69.0,103.0,17.0,6.0,11.0,2.0,16.0,47.0,2.0,2.0,43.0,20.0,50,58,65,15.0,1.0,463,503
Austria,,14.0,1151.0,17,23,2.0,22.0,11.0,5.0,,9.0,22.0,208,7.0,7.0,3.0,2.0,32,16.0,2.0,,21.0,2.0,4.0,4.0,3.0,3.0,10.0,4.0,8.0,7.0,,2.0,28,22,65,,5.0,89,124
Belgium,1.0,18.0,11.0,3075,29,4.0,48.0,5.0,9.0,3.0,8.0,112.0,88,10.0,8.0,10.0,5.0,55,22.0,1.0,2.0,178.0,,3.0,9.0,10.0,10.0,4.0,4.0,,2.0,17.0,4.0,54,25,122,4.0,1.0,104,122
Canada,3.0,92.0,8.0,34,11890,8.0,437.0,2.0,27.0,1.0,11.0,202.0,130,14.0,3.0,19.0,11.0,42,55.0,,19.0,56.0,22.0,8.0,12.0,12.0,2.0,10.0,6.0,3.0,2.0,17.0,23.0,76,29,54,6.0,9.0,208,825
Chile,7.0,13.0,4.0,4,25,697.0,2.0,,3.0,,1.0,31.0,38,2.0,,1.0,2.0,18,9.0,,5.0,3.0,3.0,2.0,5.0,4.0,,3.0,1.0,,,1.0,1.0,52,1,3,1.0,1.0,29,110
China,,280.0,13.0,42,328,2.0,46949.0,2.0,60.0,4.0,24.0,168.0,348,3.0,3.0,11.0,13.0,42,451.0,1.0,1.0,91.0,11.0,21.0,5.0,13.0,,5.0,179.0,1.0,1.0,5.0,147.0,18,112,43,71.0,,302,3441
Czechia,,10.0,17.0,9,18,,5.0,1457.0,9.0,2.0,6.0,27.0,38,4.0,3.0,4.0,2.0,28,11.0,2.0,2.0,10.0,1.0,4.0,11.0,3.0,1.0,11.0,,48.0,1.0,,,22,10,22,,1.0,39,68
Denmark,1.0,34.0,4.0,5,29,3.0,88.0,4.0,1942.0,2.0,11.0,33.0,83,10.0,3.0,7.0,1.0,19,10.0,2.0,,23.0,9.0,33.0,4.0,17.0,,4.0,2.0,,2.0,2.0,4.0,25,79,21,,1.0,90,163
Estonia,,,1.0,3,2,,2.0,,3.0,236.0,15.0,,8,,,,1.0,2,1.0,,,2.0,,2.0,,,,6.0,1.0,,,,,2,13,2,1.0,,5,9
Finland,1.0,12.0,7.0,9,9,1.0,42.0,5.0,3.0,7.0,2044.0,13.0,43,3.0,3.0,6.0,1.0,15,13.0,3.0,2.0,22.0,4.0,6.0,1.0,5.0,4.0,20.0,1.0,,,4.0,5.0,14,61,24,2.0,3.0,65,100
France,16.0,81.0,30.0,169,187,27.0,238.0,31.0,31.0,3.0,26.0,28582.0,333,22.0,15.0,26.0,15.0,237,81.0,4.0,18.0,103.0,14.0,16.0,41.0,35.0,30.0,58.0,19.0,5.0,9.0,34.0,11.0,145,60,191,14.0,13.0,364,646
Germany,21.0,140.0,224.0,69,143,24.0,371.0,27.0,75.0,4.0,41.0,258.0,13017,49.0,29.0,35.0,31.0,212,80.0,5.0,16.0,249.0,25.0,35.0,61.0,38.0,24.0,139.0,30.0,8.0,6.0,31.0,28.0,179,124,407,12.0,22.0,549,1130
Greece,,2.0,5.0,9,6,,6.0,3.0,4.0,1.0,,11.0,30,1053.0,,2.0,,11,,1.0,,9.0,,,2.0,2.0,,2.0,1.0,,2.0,7.0,,5,14,8,,2.0,79,85
Hungary,,3.0,18.0,6,3,1.0,1.0,6.0,1.0,1.0,4.0,19.0,53,,687.0,2.0,,8,6.0,,,6.0,1.0,3.0,1.0,1.0,10.0,4.0,1.0,2.0,,4.0,,4,8,19,,,28,75
Ireland,,21.0,,1,20,,19.0,1.0,3.0,,,14.0,30,,2.0,883.0,1.0,17,10.0,,,10.0,,2.0,2.0,3.0,2.0,4.0,4.0,,1.0,,1.0,7,3,7,,1.0,92,65
Israel,,12.0,3.0,2,24,1.0,9.0,1.0,4.0,1.0,1.0,12.0,29,1.0,1.0,3.0,2487.0,6,5.0,,1.0,3.0,1.0,3.0,,,,5.0,11.0,,,2.0,1.0,5,5,14,1.0,,31,235
Italy,8.0,32.0,30.0,65,60,7.0,51.0,11.0,25.0,1.0,15.0,187.0,174,24.0,2.0,16.0,6.0,9459,17.0,1.0,11.0,79.0,4.0,12.0,9.0,18.0,6.0,13.0,2.0,2.0,7.0,1.0,5.0,133,50,147,4.0,8.0,370,519
Japan,,64.0,4.0,15,61,5.0,396.0,8.0,12.0,,11.0,76.0,146,1.0,4.0,9.0,3.0,34,14030.0,,1.0,24.0,9.0,8.0,12.0,4.0,,13.0,21.0,1.0,,1.0,66.0,16,45,38,49.0,7.0,132,865
Lithuania,,3.0,3.0,3,1,,,1.0,,,1.0,1.0,8,,,1.0,,2,1.0,121.0,,1.0,,1.0,,1.0,,,,,,,,1,5,3,,,7,15
Mexico,4.0,6.0,,6,20,3.0,6.0,2.0,3.0,,,28.0,27,1.0,1.0,,,7,4.0,,895.0,15.0,,,1.0,1.0,,1.0,2.0,,,,1.0,66,2,8,1.0,1.0,25,151
Netherlands,2.0,80.0,21.0,149,59,4.0,107.0,3.0,21.0,2.0,20.0,79.0,296,12.0,3.0,10.0,12.0,119,7.0,2.0,7.0,6144.0,7.0,14.0,15.0,21.0,3.0,15.0,9.0,1.0,1.0,27.0,6.0,39,39,68,4.0,14.0,226,362
New Zealand,,71.0,3.0,3,23,1.0,22.0,2.0,3.0,,1.0,10.0,21,,,3.0,,5,12.0,,2.0,10.0,735.0,4.0,,,,,1.0,,,4.0,3.0,6,7,11,2.0,1.0,57,60
Norway,2.0,7.0,7.0,11,20,,30.0,4.0,37.0,,27.0,27.0,40,3.0,2.0,9.0,,24,6.0,1.0,1.0,26.0,3.0,2884.0,4.0,12.0,2.0,7.0,1.0,1.0,1.0,8.0,,13,80,18,,1.0,88,91
Other,31.0,555.0,121.0,293,517,37.0,1110.0,35.0,106.0,4.0,77.0,1138.0,891,62.0,27.0,49.0,39.0,253,674.0,7.0,55.0,356.0,59.0,91.0,31.0,134.0,27.0,73.0,113.0,10.0,15.0,159.0,309.0,378,279,165,93.0,60.0,1265,2971
Poland,,9.0,5.0,13,18,4.0,7.0,6.0,8.0,,8.0,51.0,111,2.0,1.0,2.0,2.0,17,13.0,,,21.0,1.0,9.0,1311.0,4.0,1.0,16.0,5.0,1.0,,2.0,3.0,36,25,29,2.0,3.0,51,162
Portugal,2.0,6.0,9.0,16,8,1.0,10.0,2.0,5.0,,5.0,40.0,30,1.0,9.0,8.0,2.0,26,3.0,1.0,2.0,30.0,2.0,4.0,5.0,3160.0,2.0,3.0,6.0,2.0,3.0,3.0,2.0,93,19,12,,1.0,100,83
Romania,,3.0,6.0,19,10,,,1.0,4.0,1.0,2.0,53.0,50,1.0,8.0,1.0,,19,3.0,,,6.0,,,,7.0,454.0,1.0,1.0,,,1.0,,14,4,7,,4.0,13,38
