,Argentina,Australia,Austria,Belgium,Canada,Chile,China,Czechia,Denmark,Estonia,Finland,France,Germany,Greece,Hungary,Ireland,Israel,Italy,Japan,Lithuania,Mexico,Netherlands,New Zealand,Norway,Poland,Portugal,Romania,Russia,Singapore,Slovakia,Slovenia,South Africa,South Korea,Spain,Sweden,Switzerland,Taiwan,Turkey,United Kingdom,United States
Argentina,2893.0,9,2,4,11.0,7.0,,1.0,4.0,,1.0,27,31,,,,1.0,16,2.0,,11.0,4.0,1.0,,1.0,9.0,,,1.0,,,,,53.0,,3,,,13,81
Australia,8.0,13153,16,32,112.0,13.0,668.0,7.0,39.0,2.0,16.0,75,149,7.0,6.0,27.0,11.0,45,59.0,1.0,3.0,81.0,123.0,20.0,8.0,9.0,1.0,10.0,61.0,,,55.0,20.0,65.0,62.0,67,18.0,3.0,438,542
Austria,1.0,25,1526,11,25.0,,27.0,14.0,5.0,1.0,11.0,25,246,2.0,21.0,6.0,3.0,51,7.0,1.0,2.0,32.0,5.0,15.0,7.0,6.0,2.0,6.0,4.0,11.0,7.0,2.0,5.0,25.0,17.0,49,1.0,11.0,60,126
Belgium,3.0,29,17,3400,23.0,6.0,69.0,12.0,9.0,2.0,9.0,119,104,16.0,7.0,4.0,3.0,69,13.0,,3.0,192.0,3.0,1.0,15.0,13.0,4.0,12.0,5.0,2.0,4.0,14.0,3.0,52.0,19.0,50,4.0,4.0,113,155
Canada,7.0,109,20,31,14199.0,13.0,601.0,9.0,24.0,,12.0,187,124,3.0,7.0,13.0,21.0,44,53.0,1.0,20.0,62.0,21.0,19.0,11.0,7.0,,17.0,11.0,1.0,2.0,23.0,27.0,41.0,25.0,72,12.0,13.0,163,757
Chile,13.0,29,4,15,17.0,1103.0,3.0,,3.0,,3.0,34,42,,2.0,,1.0,17,4.0,,5.0,9.0,6.0,2.0,4.0,3.0,,3.0,,,,5.0,1.0,103.0,3.0,5,1.0,1.0,45,126
China,2.0,382,16,59,333.0,5.0,67024.0,7.0,87.0,4.0,29.0,196,344,3.0,2.0,12.0,23.0,39,441.0,,5.0,112.0,28.0,23.0,7.0,12.0,,6.0,239.0,,4.0,9.0,119.0,20.0,110.0,53,80.0,3.0,382,3997
Czechia,1.0,11,20,17,14.0,,16.0,1901.0,5.0,2.0,10.0,40,39,1.0,3.0,6.0,,26,17.0,,1.0,7.0,1.0,9.0,21.0,3.0,2.0,11.0,1.0,53.0,2.0,1.0,4.0,20.0,20.0,18,1.0,2.0,43,67
Denmark,1.0,49,11,15,26.0,5.0,92.0,3.0,2456.0,3.0,17.0,21,86,4.0,3.0,11.0,1.0,40,8.0,,,29.0,7.0,32.0,2.0,18.0,3.0,1.0,4.0,,1.0,2.0,4.0,35.0,82.0,28,,1.0,107,199
Estonia,2.0,1,1,4,2.0,,,1.0,2.0,285.0,23.0,1,3,,,2.0,,2,,,,2.0,1.0,1.0,2.0,,1.0,2.0,,,,,,,13.0,6,,,14,7
Finland,,19,6,6,16.0,,58.0,3.0,20.0,11.0,2238.0,25,43,4.0,4.0,6.0,4.0,17,12.0,2.0,3.0,22.0,7.0,17.0,5.0,3.0,1.0,21.0,2.0,,,1.0,2.0,16.0,51.0,27,3.0,4.0,72,82
France,22.0,88,24,159,178.0,38.0,256.0,24.0,28.0,1.0,25.0,31551,308,20.0,14.0,27.0,20.0,239,71.0,2.0,24.0,107.0,16.0,14.0,38.0,42.0,21.0,70.0,24.0,1.0,7.0,26.0,18.0,189.0,64.0,201,7.0,16.0,363,647
Germany,21.0,175,241,85,147.0,33.0,471.0,29.0,87.0,7.0,32.0,273,15469,36.0,29.0,29.0,36.0,229,97.0,3.0,16.0,313.0,27.0,44.0,87.0,49.0,22.0,119.0,18.0,5.0,11.0,35.0,38.0,198.0,131.0,439,15.0,28.0,618,1151
Greece,1.0,2,8,10,1.0,2.0,,1.0,5.0,3.0,4.0,25,32,1008.0,3.0,,,18,3.0,,1.0,10.0,,3.0,1.0,3.0,,2.0,1.0,,2.0,,2.0,10.0,13.0,22,,1.0,86,51
Hungary,,1,15,8,5.0,,3.0,6.0,,,1.0,16,54,4.0,814.0,2.0,,5,8.0,,1.0,8.0,,,,2.0,15.0,1.0,1.0,1.0,,4.0,1.0,3.0,8.0,15,,1.0,36,74
Ireland,,19,6,8,14.0,,29.0,2.0,1.0,,4.0,13,30,,,1060.0,,25,5.0,,,12.0,4.0,3.0,,1.0,1.0,2.0,4.0,1.0,2.0,2.0,1.0,16.0,5.0,8,,1.0,81,58
Israel,,7,4,7,28.0,,11.0,,3.0,,1.0,17,31,,1.0,1.0,2750.0,19,4.0,,4.0,9.0,,,3.0,1.0,1.0,4.0,7.0,,,2.0,3.0,6.0,10.0,12,2.0,,35,254
Italy,6.0,42,44,86,52.0,10.0,55.0,6.0,21.0,1.0,17.0,203,187,19.0,4.0,11.0,25.0,10967,16.0,1.0,8.0,105.0,9.0,11.0,13.0,21.0,8.0,20.0,8.0,1.0,7.0,3.0,3.0,124.0,54.0,116,3.0,8.0,334,531
Japan,2.0,64,12,22,66.0,7.0,433.0,6.0,10.0,,17.0,98,139,1.0,6.0,6.0,7.0,39,14694.0,1.0,1.0,20.0,8.0,8.0,13.0,4.0,,18.0,29.0,1.0,3.0,,63.0,26.0,39.0,40,40.0,2.0,160,872
Lithuania,,3,3,3,,,,,1.0,,3.0,1,12,,,,,1,1.0,162.0,,,,2.0,1.0,,,,,,,,,,7.0,7,,3.0,3,6
Mexico,1.0,8,1,6,28.0,6.0,8.0,2.0,1.0,,1.0,23,22,1.0,2.0,1.0,1.0,16,7.0,,1209.0,10.0,,1.0,1.0,10.0,,1.0,1.0,1.0,,3.0,,86.0,8.0,5,,,29,206
Netherlands,2.0,64,13,192,48.0,8.0,156.0,12.0,23.0,3.0,26.0,67,272,15.0,8.0,10.0,7.0,111,11.0,2.0,6.0,6632.0,9.0,23.0,11.0,27.0,,13.0,14.0,3.0,3.0,40.0,3.0,73.0,40.0,63,4.0,15.0,261,429
New Zealand,1.0,92,6,2,21.0,2.0,36.0,1.0,4.0,1.0,1.0,6,24,,3.0,2.0,1.0,5,7.0,1.0,1.0,11.0,912.0,4.0,1.0,1.0,,,4.0,,,3.0,4.0,2.0,8.0,12,1.0,1.0,64,62
Norway,2.0,13,6,11,22.0,3.0,31.0,4.0,52.0,1.0,23.0,21,56,5.0,3.0,,,29,10.0,1.0,,30.0,6.0,3252.0,6.0,8.0,,9.0,1.0,1.0,,12.0,1.0,22.0,101.0,18,1.0,1.0,93,110
Other,50.0,776,143,347,607.0,67.0,1682.0,50.0,140.0,9.0,103.0,1313,1130,54.0,45.0,58.0,36.0,396,711.0,6.0,68.0,437.0,71.0,96.0,64.0,179.0,43.0,99.0,104.0,9.0,9.0,223.0,371.0,539.0,345.0,179,129.0,83.0,1572,3440
Poland,,18,17,12,17.0,2.0,12.0,15.0,7.0,1.0,7.0,51,121,2.0,4.0,3.0,5.0,25,23.0,,,15.0,1.0,6.0,1640.0,8.0,3.0,24.0,3.0,6.0,2.0,5.0,2.0,28.0,31.0,25,,2.0,75,131
Portugal,2.0,4,8,8,9.0,,22.0,4.0,6.0,,5.0,41,29,5.0,,4.0,3.0,17,5.0,,2.0,36.0,2.0,2.0,1.0,3854.0,,6.0,3.0,,2.0,5.0,3.0,133.0,12.0,12,,1.0,94,94
Romania,,1,1,10,3.0,,1.0,,4.0,,2.0,53,47,3.0,13.0,,1.0,15,1.0,,,6.0,,,,6.0,668.0,6.0,,1.0,,,1.0,7.0,6.0,14,,3.0,20,38
Russia,,17,21,17,22.0,1.0,27.0,14.0,14.0,7.0,50.0,99,292,7.0,2.0,5.0,13.0,48,42.0,,4.0,37.0,1.0,17.0,22.0,16.0,1.0,5296.0,3.0,7.0,,7.0,4.0,27.0,44.0,28,7.0,4.0,88,236
Singapore,1.0,70,6,5,13.0,,290.0,1.0,6.0,1.0,3.0,20,28,3.0,1.0,5.0,8.0,9,20.0,,2.0,23.0,8.0,2.0,4.0,2.0,,3.0,1929.0,,,3.0,16.0,5.0,13.0,18,11.0,5.0,125,196
Slovakia,,1,16,1,2.0,,1.0,45.0,,,,7,16,,4.0,1.0,,2,2.0,,,3.0,3.0,2.0,1.0,2.0,,9.0,,242.0,2.0,,1.0,2.0,3.0,4,1.0,,7,19
Slovenia,,3,3,3,3.0,,5.0,,1.0,,,6,10,,,1.0,,8,,,,1.0,1.0,,1.0,2.0,,1.0,,,392.0,,1.0,1.0,5.0,1,,,6,15
South Africa,3.0,48,6,34,37.0,1.0,11.0,3.0,7.0,,12.0,46,37,3.0,,7.0,2.0,37,5.0,,3.0,61.0,8.0,10.0,5.0,4.0,,8.0,1.0,,,1176.0,1.0,9.0,29.0,25,,2.0,156,156
South Korea,,25,2,4,30.0,1.0,122.0,,3.0,,5.0,20,39,,,2.0,4.0,7,78.0,,4.0,4.0,2.0,,3.0,2.0,,2.0,15.0,,,,7220.0,6.0,8.0,13,9.0,1.0,37,1005
Spain,18.0,37,20,38,36.0,34.0,39.0,7.0,19.0,1.0,28.0,135,149,11.0,4.0,9.0,7.0,128,10.0,,46.0,67.0,6.0,10.0,13.0,104.0,4.0,10.0,,1.0,1.0,6.0,2.0,11730.0,54.0,60,1.0,5.0,266,321
Sweden,,61,31,33,54.0,4.0,166.0,11.0,121.0,12.0,94.0,65,166,17.0,8.0,10.0,4.0,64,20.0,4.0,6.0,61.0,9.0,76.0,16.0,14.0,3.0,23.0,9.0,1.0,3.0,18.0,5.0,66.0,3975.0,40,,3.0,168,260
Switzerland,10.0,54,65,40,50.0,3.0,54.0,12.0,25.0,,15.0,185,463,18.0,12.0,10.0,6.0,200,33.0,2.0,4.0,78.0,12.0,7.0,20.0,18.0,6.0,24.0,9.0,12.0,3.0,19.0,11.0,63.0,46.0,3537,3.0,3.0,220,421
