,Argentina,Australia,Austria,Belgium,Canada,Chile,China,Czechia,Denmark,Estonia,Finland,France,Germany,Greece,Hungary,Ireland,Israel,Italy,Japan,Lithuania,Mexico,Netherlands,New Zealand,Norway,Poland,Portugal,Romania,Russia,Singapore,Slovakia,Slovenia,South Africa,South Korea,Spain,Sweden,Switzerland,Taiwan,Turkey,United Kingdom,United States
Argentina,2151.0,3.0,1.0,1,11.0,4.0,,,1.0,,1.0,19,19,,,,,8.0,1.0,,13.0,1.0,2.0,1.0,,2.0,,,,,,1.0,,35.0,1,9.0,,,6,77
Australia,4.0,8602.0,21.0,13,107.0,8.0,313.0,1.0,28.0,,10.0,62,129,5.0,4.0,18.0,8.0,23.0,33.0,,4.0,48.0,88.0,17.0,5.0,7.0,,6.0,36.0,,1.0,31.0,17.0,22.0,39,43.0,11.0,6.0,356,391
Austria,1.0,6.0,925.0,5,19.0,2.0,13.0,3.0,3.0,,5.0,23,206,4.0,11.0,4.0,3.0,24.0,7.0,,1.0,18.0,4.0,6.0,4.0,2.0,5.0,13.0,1.0,13.0,,,3.0,15.0,9,53.0,1.0,3.0,57,111
Belgium,5.0,14.0,4.0,2235,15.0,2.0,38.0,5.0,4.0,3.0,6.0,133,93,10.0,5.0,6.0,,41.0,10.0,,3.0,142.0,1.0,5.0,11.0,10.0,5.0,4.0,3.0,,1.0,6.0,3.0,38.0,12,32.0,1.0,3.0,91,117
Canada,5.0,90.0,7.0,19,10468.0,2.0,298.0,7.0,19.0,,19.0,144,122,5.0,5.0,16.0,16.0,48.0,39.0,,17.0,58.0,14.0,8.0,5.0,8.0,,3.0,12.0,2.0,3.0,16.0,26.0,32.0,30,54.0,8.0,2.0,163,742
Chile,9.0,9.0,,7,11.0,532.0,1.0,,2.0,,1.0,22,25,,1.0,,2.0,9.0,2.0,,4.0,4.0,2.0,2.0,4.0,,,1.0,1.0,,,1.0,,51.0,5,5.0,1.0,,12,105
China,,198.0,20.0,36,264.0,4.0,31701.0,4.0,46.0,,26.0,149,289,2.0,2.0,11.0,7.0,23.0,476.0,1.0,,91.0,21.0,18.0,1.0,7.0,,16.0,107.0,,2.0,3.0,145.0,22.0,116,40.0,59.0,,258,2674
Czechia,,7.0,8.0,6,11.0,1.0,7.0,1117.0,5.0,,11.0,31,38,1.0,2.0,2.0,1.0,6.0,14.0,,3.0,5.0,,5.0,5.0,3.0,,10.0,1.0,21.0,1.0,,1.0,7.0,11,10.0,,,32,45
Denmark,,28.0,3.0,6,21.0,1.0,32.0,2.0,1496.0,1.0,7.0,12,82,6.0,2.0,2.0,4.0,16.0,10.0,1.0,,19.0,4.0,30.0,1.0,7.0,3.0,5.0,3.0,,1.0,4.0,1.0,19.0,61,16.0,,2.0,68,131
Estonia,,1.0,,1,,,1.0,1.0,2.0,204.0,12.0,1,6,,,,1.0,1.0,,,,,,3.0,,,,3.0,,,,,,2.0,8,,,,7,5
Finland,2.0,14.0,7.0,7,10.0,2.0,22.0,3.0,9.0,7.0,1793.0,12,50,,2.0,8.0,1.0,6.0,8.0,1.0,,15.0,2.0,13.0,7.0,2.0,1.0,15.0,1.0,,1.0,3.0,1.0,10.0,48,10.0,1.0,2.0,53,114
France,14.0,85.0,34.0,105,203.0,22.0,202.0,27.0,24.0,1.0,18.0,23253,295,26.0,8.0,15.0,15.0,176.0,67.0,1.0,24.0,95.0,9.0,24.0,42.0,29.0,24.0,51.0,11.0,2.0,3.0,15.0,12.0,135.0,49,158.0,17.0,5.0,316,558
Germany,17.0,109.0,174.0,74,135.0,11.0,275.0,21.0,53.0,2.0,34.0,214,10030,34.0,26.0,31.0,44.0,151.0,100.0,2.0,14.0,225.0,20.0,25.0,55.0,34.0,21.0,115.0,21.0,9.0,6.0,29.0,21.0,126.0,85,328.0,12.0,15.0,449,1045
Greece,,3.0,3.0,3,,,2.0,1.0,2.0,,3.0,19,41,971.0,1.0,,,16.0,1.0,,,8.0,,,,2.0,,,,,1.0,1.0,,9.0,10,12.0,,5.0,66,90
Hungary,,,15.0,7,6.0,,,2.0,5.0,1.0,6.0,19,51,1.0,455.0,3.0,,9.0,8.0,,,7.0,1.0,1.0,,2.0,8.0,4.0,,1.0,2.0,,2.0,6.0,16,4.0,,,26,87
Ireland,,11.0,5.0,5,13.0,2.0,7.0,,4.0,,1.0,12,27,,1.0,646.0,,14.0,,1.0,,4.0,1.0,1.0,1.0,2.0,,1.0,,,,2.0,1.0,8.0,10,7.0,,2.0,85,69
Israel,,6.0,6.0,2,28.0,1.0,4.0,3.0,,1.0,,13,26,1.0,3.0,,2035.0,1.0,3.0,,,11.0,1.0,1.0,1.0,1.0,,5.0,1.0,,,1.0,,6.0,3,7.0,1.0,,15,217
Italy,3.0,25.0,43.0,61,40.0,5.0,39.0,8.0,17.0,,10.0,168,166,9.0,4.0,9.0,9.0,7864.0,9.0,,5.0,62.0,2.0,8.0,10.0,13.0,4.0,14.0,2.0,1.0,5.0,7.0,5.0,124.0,43,105.0,2.0,2.0,242,523
Japan,,56.0,19.0,21,68.0,3.0,362.0,7.0,3.0,1.0,17.0,71,96,2.0,6.0,8.0,2.0,27.0,13068.0,1.0,2.0,26.0,9.0,8.0,7.0,2.0,,14.0,12.0,3.0,2.0,1.0,64.0,8.0,23,32.0,23.0,2.0,131,843
Lithuania,,,3.0,3,,,,,1.0,,3.0,4,8,,,,,2.0,,81.0,,,,,,1.0,,,,,,,,1.0,4,,1.0,1.0,2,5
Mexico,6.0,10.0,2.0,2,18.0,3.0,7.0,4.0,5.0,,1.0,24,20,1.0,,,,6.0,1.0,,742.0,6.0,,,1.0,,,2.0,1.0,,,1.0,,69.0,2,2.0,1.0,1.0,26,152
