,Argentina,Australia,Austria,Belgium,Canada,Chile,China,Czechia,Denmark,Estonia,Finland,France,Germany,Greece,Hungary,Ireland,Israel,Italy,Japan,Lithuania,Mexico,Netherlands,New Zealand,Norway,Poland,Portugal,Romania,Russia,Singapore,Slovakia,Slovenia,South Africa,South Korea,Spain,Sweden,Switzerland,Taiwan,Turkey,United Kingdom,United States
Argentina,3979.0,5.0,6.0,3,15,10.0,1.0,1.0,2.0,,1.0,31,36,,,,1.0,12,3.0,,6.0,2.0,1.0,,,1.0,,,1.0,,,,,49,4.0,9,,,13,66
Australia,6.0,16615.0,30.0,36,144,11.0,1206.0,4.0,47.0,2.0,15.0,78,182,10.0,7.0,24.0,12.0,63,69.0,,8.0,99.0,133.0,19.0,18.0,15.0,3.0,16.0,56.0,,3.0,41.0,33.0,53,65.0,64,18.0,6.0,490,524
Austria,3.0,25.0,1749.0,14,24,5.0,42.0,17.0,7.0,,15.0,20,305,4.0,12.0,7.0,1.0,64,17.0,1.0,1.0,30.0,1.0,10.0,17.0,6.0,6.0,12.0,7.0,12.0,13.0,6.0,4.0,20,28.0,49,3.0,5.0,62,123
Belgium,2.0,31.0,16.0,4158,27,8.0,145.0,4.0,18.0,2.0,9.0,165,122,14.0,12.0,7.0,6.0,94,8.0,3.0,4.0,208.0,8.0,8.0,10.0,25.0,8.0,15.0,3.0,,4.0,28.0,6.0,57,21.0,70,4.0,9.0,169,167
Canada,7.0,108.0,14.0,33,16236,7.0,999.0,10.0,24.0,,16.0,229,160,6.0,6.0,24.0,23.0,48,33.0,,24.0,49.0,20.0,22.0,15.0,10.0,,14.0,22.0,1.0,2.0,39.0,28.0,47,30.0,80,13.0,11.0,224,908
Chile,13.0,31.0,7.0,13,21,1553.0,11.0,2.0,2.0,,2.0,47,40,2.0,,,1.0,15,5.0,,9.0,14.0,4.0,2.0,4.0,10.0,,4.0,,,,2.0,1.0,119,1.0,7,,,52,153
China,1.0,520.0,23.0,49,468,7.0,114033.0,4.0,88.0,4.0,46.0,224,432,3.0,2.0,29.0,30.0,54,399.0,,6.0,163.0,32.0,24.0,4.0,11.0,2.0,26.0,287.0,,2.0,14.0,177.0,53,135.0,64,93.0,5.0,525,4820
Czechia,1.0,14.0,36.0,13,12,2.0,27.0,2446.0,1.0,2.0,9.0,42,84,3.0,14.0,2.0,2.0,32,13.0,,2.0,12.0,,5.0,29.0,2.0,3.0,34.0,3.0,53.0,2.0,2.0,3.0,7,29.0,19,1.0,1.0,47,82
Denmark,2.0,55.0,11.0,16,31,4.0,159.0,5.0,3122.0,,24.0,42,109,4.0,3.0,6.0,7.0,59,11.0,2.0,3.0,44.0,7.0,53.0,6.0,12.0,2.0,4.0,5.0,,,4.0,10.0,28,96.0,42,3.0,3.0,118,171
Estonia,,2.0,,4,3,,3.0,2.0,2.0,203.0,18.0,1,4,1.0,,2.0,1.0,2,,1.0,,5.0,,1.0,2.0,1.0,,7.0,,,,,,3,11.0,7,,,15,14
