,Argentina,Australia,Austria,Belgium,Canada,Chile,China,Czechia,Denmark,Estonia,Finland,France,Germany,Greece,Hungary,Ireland,Israel,Italy,Japan,Lithuania,Mexico,Netherlands,New Zealand,Norway,Poland,Portugal,Romania,Russia,Singapore,Slovakia,Slovenia,South Africa,South Korea,Spain,Sweden,Switzerland,Taiwan,Turkey,United Kingdom,United States
Argentina,1791.0,9.0,,1.0,11.0,5.0,,,1.0,,1.0,19,16,,,,,10.0,1.0,,3.0,2.0,,,,1.0,,,,,,,,41.0,5.0,5,,,7,60
Australia,7.0,7233.0,10.0,19.0,80.0,3.0,229.0,5.0,15.0,2.0,16.0,46,111,2.0,4.0,24.0,9.0,19.0,32.0,,6.0,54.0,72.0,16.0,3.0,6.0,1.0,4.0,36.0,,,29.0,10.0,15.0,26.0,33,12.0,1.0,322,400
Austria,,17.0,819.0,5.0,13.0,,9.0,5.0,5.0,,5.0,15,176,3.0,12.0,4.0,,20.0,4.0,,2.0,12.0,2.0,5.0,4.0,3.0,,9.0,,13.0,,,,21.0,11.0,37,1.0,1.0,58,101
Belgium,3.0,15.0,12.0,1975.0,16.0,3.0,34.0,4.0,9.0,2.0,2.0,115,72,4.0,5.0,6.0,2.0,29.0,8.0,1.0,,114.0,2.0,1.0,11.0,4.0,2.0,5.0,3.0,1.0,,4.0,2.0,35.0,10.0,20,2.0,1.0,70,93
Canada,5.0,68.0,13.0,18.0,9010.0,6.0,263.0,5.0,8.0,,14.0,153,133,4.0,8.0,7.0,17.0,33.0,39.0,,9.0,62.0,18.0,4.0,10.0,3.0,4.0,5.0,7.0,1.0,,13.0,16.0,27.0,32.0,43,6.0,7.0,140,779
Chile,8.0,7.0,1.0,6.0,13.0,488.0,2.0,1.0,,,,23,28,,,1.0,,10.0,3.0,,3.0,2.0,2.0,2.0,6.0,1.0,1.0,2.0,,,,2.0,,41.0,6.0,4,1.0,,18,79
China,,158.0,19.0,28.0,194.0,1.0,26612.0,2.0,28.0,,22.0,150,263,,1.0,11.0,9.0,34.0,449.0,,,65.0,11.0,18.0,,5.0,,2.0,112.0,,,11.0,120.0,20.0,113.0,34,39.0,2.0,221,2189
Czechia,1.0,5.0,11.0,5.0,13.0,2.0,3.0,1054.0,10.0,,4.0,42,42,4.0,2.0,4.0,6.0,3.0,11.0,,1.0,7.0,,4.0,6.0,4.0,,4.0,2.0,19.0,1.0,,1.0,6.0,13.0,19,,,27,55
Denmark,,26.0,2.0,3.0,21.0,2.0,32.0,1.0,1270.0,,10.0,23,82,3.0,1.0,2.0,2.0,10.0,5.0,,,18.0,2.0,25.0,4.0,7.0,2.0,2.0,6.0,4.0,1.0,4.0,2.0,29.0,66.0,14,1.0,2.0,57,126
Estonia,,1.0,,1.0,2.0,,,,1.0,158.0,15.0,1,6,,,,1.0,,,,,,,2.0,,,,1.0,,,,,,6.0,14.0,3,,,7,5
Finland,,9.0,6.0,2.0,7.0,,15.0,7.0,7.0,7.0,1628.0,16,38,3.0,4.0,3.0,1.0,11.0,13.0,2.0,2.0,24.0,3.0,11.0,3.0,5.0,1.0,11.0,,,,,,11.0,40.0,7,,,39,92
France,27.0,69.0,19.0,123.0,153.0,15.0,188.0,16.0,35.0,1.0,15.0,19750,241,13.0,15.0,12.0,12.0,181.0,69.0,1.0,13.0,86.0,12.0,16.0,22.0,41.0,18.0,70.0,17.0,1.0,6.0,10.0,15.0,137.0,43.0,155,8.0,12.0,277,507
Germany,27.0,102.0,162.0,40.0,123.0,14.0,251.0,31.0,65.0,1.0,37.0,196,8810,33.0,24.0,26.0,34.0,114.0,78.0,3.0,16.0,191.0,15.0,33.0,61.0,18.0,18.0,123.0,20.0,7.0,3.0,14.0,16.0,102.0,91.0,292,20.0,12.0,386,1004
Greece,,,3.0,6.0,1.0,,2.0,,4.0,,,22,29,906.0,,2.0,1.0,12.0,2.0,,,14.0,1.0,,1.0,,4.0,3.0,2.0,1.0,,,,6.0,3.0,8,,1.0,57,89
Hungary,,3.0,15.0,9.0,4.0,,2.0,1.0,2.0,,3.0,16,47,1.0,403.0,1.0,,8.0,3.0,,,5.0,1.0,1.0,2.0,,5.0,,,2.0,1.0,1.0,1.0,1.0,9.0,13,,,19,69
Ireland,,19.0,3.0,19.0,15.0,1.0,7.0,1.0,3.0,,3.0,17,25,7.0,2.0,589.0,11.0,10.0,4.0,,,5.0,,,2.0,5.0,,1.0,1.0,,,,,14.0,18.0,10,,,100,71
Israel,,5.0,2.0,1.0,17.0,2.0,7.0,1.0,,,,8,22,,,13.0,1853.0,10.0,7.0,,,4.0,1.0,,2.0,1.0,,9.0,2.0,1.0,,,,3.0,2.0,8,,,24,204
Italy,15.0,21.0,25.0,33.0,37.0,3.0,29.0,6.0,12.0,,16.0,152,129,10.0,4.0,10.0,7.0,7285.0,17.0,,5.0,55.0,2.0,10.0,8.0,12.0,2.0,12.0,1.0,,5.0,1.0,3.0,80.0,25.0,113,1.0,6.0,241,461
Japan,2.0,47.0,7.0,13.0,53.0,,313.0,11.0,9.0,,10.0,83,121,,5.0,10.0,4.0,19.0,12298.0,,5.0,21.0,7.0,5.0,3.0,1.0,,28.0,13.0,1.0,2.0,,62.0,11.0,35.0,31,27.0,5.0,122,801
Lithuania,,,2.0,1.0,,,,1.0,1.0,1.0,1.0,2,2,,,,1.0,,,56.0,,2.0,,1.0,,,,,,,,,,,2.0,1,,,3,5
Mexico,7.0,7.0,,4.0,22.0,5.0,2.0,4.0,1.0,,1.0,26,20,1.0,,,2.0,10.0,,,615.0,2.0,,,1.0,,,2.0,,,,,,50.0,2.0,2,,,23,132
Netherlands,5.0,50.0,17.0,120.0,46.0,2.0,71.0,5.0,16.0,,5.0,65,233,13.0,4.0,7.0,3.0,58.0,10.0,,8.0,4504.0,4.0,15.0,9.0,12.0,,9.0,3.0,1.0,1.0,17.0,2.0,52.0,26.0,42,2.0,11.0,164,310
New Zealand,,68.0,2.0,2.0,19.0,1.0,12.0,,5.0,,4.0,9,25,1.0,1.0,7.0,1.0,2.0,5.0,,,9.0,528.0,,,,,,5.0,,,2.0,,4.0,7.0,6,3.0,1.0,60,77
Norway,,13.0,3.0,4.0,11.0,,21.0,1.0,25.0,2.0,10.0,21,34,2.0,1.0,,3.0,12.0,7.0,2.0,1.0,16.0,5.0,2148.0,3.0,6.0,,24.0,2.0,,,5.0,3.0,8.0,76.0,13,2.0,1.0,53,74
