,Argentina,Australia,Austria,Belgium,Canada,Chile,China,Czechia,Denmark,Estonia,Finland,France,Germany,Greece,Hungary,Ireland,Israel,Italy,Japan,Lithuania,Mexico,Netherlands,New Zealand,Norway,Poland,Portugal,Romania,Russia,Singapore,Slovakia,Slovenia,South Africa,South Korea,Spain,Sweden,Switzerland,Taiwan,Turkey,United Kingdom,United States
Other,61.0,323.0,80.0,188.0,362.0,25.0,741.0,18.0,72.0,5.0,40.0,949,682,43.0,8.0,37.0,32.0,211.0,580.0,,49.0,246.0,26.0,65.0,32.0,79.0,20.0,70.0,54.0,6.0,7.0,91.0,163.0,270.0,203.0,106,74.0,45.0,832,2138
Poland,1.0,10.0,6.0,9.0,14.0,4.0,3.0,7.0,11.0,,8.0,55,121,2.0,,6.0,2.0,14.0,19.0,,1.0,22.0,2.0,2.0,839.0,6.0,1.0,21.0,,1.0,3.0,3.0,2.0,24.0,21.0,17,1.0,,45,162
Portugal,5.0,5.0,4.0,14.0,6.0,4.0,14.0,2.0,12.0,,7.0,35,22,2.0,1.0,3.0,10.0,15.0,2.0,,,23.0,3.0,3.0,3.0,1694.0,,3.0,1.0,,2.0,1.0,,68.0,10.0,14,,,67,75
Romania,,1.0,7.0,11.0,4.0,,1.0,,3.0,,,43,40,1.0,10.0,,,11.0,2.0,,,7.0,,2.0,,2.0,167.0,2.0,,,2.0,1.0,1.0,7.0,2.0,3,,2.0,6,22
Russia,1.0,9.0,11.0,22.0,14.0,3.0,12.0,6.0,13.0,4.0,31.0,103,214,2.0,,2.0,3.0,28.0,30.0,,3.0,28.0,,17.0,5.0,6.0,6.0,1572.0,2.0,2.0,2.0,,4.0,14.0,22.0,21,9.0,1.0,48,141
Singapore,,36.0,2.0,1.0,10.0,,152.0,,,,3.0,20,22,,2.0,4.0,,6.0,21.0,,1.0,5.0,4.0,,3.0,,,1.0,747.0,,,1.0,14.0,4.0,9.0,10,7.0,1.0,50,159
Slovakia,,1.0,16.0,4.0,5.0,,,23.0,,1.0,3.0,11,25,,1.0,4.0,,2.0,2.0,,,2.0,,1.0,1.0,,,6.0,,130.0,,,,4.0,3.0,2,2.0,,6,21
Slovenia,1.0,2.0,12.0,3.0,2.0,,,1.0,1.0,,1.0,4,10,2.0,3.0,,,10.0,2.0,,,,,,2.0,2.0,,,,,199.0,,,2.0,2.0,2,,,4,14
South Africa,,14.0,1.0,16.0,25.0,,7.0,,6.0,,3.0,25,24,2.0,,3.0,1.0,12.0,1.0,,,20.0,4.0,5.0,6.0,2.0,,2.0,,,,585.0,,1.0,8.0,20,1.0,2.0,72,85
South Korea,,14.0,3.0,4.0,35.0,,95.0,,2.0,,1.0,21,44,,,,1.0,4.0,84.0,,1.0,5.0,2.0,,,2.0,,4.0,3.0,,,,3655.0,10.0,6.0,7,4.0,,32,714
Spain,34.0,14.0,19.0,30.0,37.0,11.0,13.0,5.0,17.0,1.0,20.0,133,139,5.0,5.0,11.0,11.0,72.0,9.0,,35.0,49.0,3.0,12.0,4.0,68.0,5.0,8.0,3.0,2.0,1.0,5.0,1.0,6226.0,35.0,35,1.0,1.0,208,296
Sweden,2.0,35.0,13.0,12.0,38.0,1.0,89.0,7.0,64.0,7.0,42.0,43,117,4.0,5.0,10.0,4.0,24.0,20.0,5.0,2.0,37.0,11.0,57.0,16.0,15.0,,11.0,4.0,1.0,1.0,12.0,5.0,26.0,2533.0,28,4.0,2.0,126,208
Switzerland,5.0,44.0,46.0,28.0,56.0,2.0,33.0,7.0,12.0,,14.0,126,421,10.0,10.0,2.0,5.0,97.0,26.0,,4.0,63.0,6.0,4.0,8.0,11.0,2.0,12.0,6.0,1.0,1.0,6.0,6.0,28.0,14.0,1871,,4.0,198,335
Taiwan,,10.0,,,13.0,,55.0,1.0,,,,17,13,,,1.0,2.0,,42.0,,,2.0,4.0,1.0,,,1.0,2.0,8.0,,,1.0,4.0,,,2,5058.0,2.0,27,285
Turkey,,3.0,3.0,9.0,11.0,1.0,,1.0,4.0,,6.0,15,23,2.0,,,,2.0,9.0,1.0,,7.0,,1.0,,2.0,,1.0,,1.0,,3.0,1.0,5.0,3.0,9,1.0,442.0,17,152
United Kingdom,7.0,181.0,36.0,49.0,154.0,16.0,280.0,19.0,55.0,4.0,31.0,240,406,47.0,21.0,71.0,33.0,209.0,109.0,3.0,20.0,185.0,52.0,28.0,14.0,69.0,2.0,39.0,29.0,7.0,3.0,58.0,23.0,161.0,93.0,135,15.0,16.0,7252,835
United States,82.0,332.0,89.0,95.0,686.0,47.0,1860.0,41.0,104.0,8.0,67.0,444,946,62.0,45.0,53.0,202.0,429.0,441.0,9.0,77.0,268.0,57.0,62.0,54.0,57.0,12.0,93.0,120.0,9.0,10.0,72.0,368.0,278.0,160.0,277,151.0,71.0,752,55455
