,Argentina,Australia,Austria,Belgium,Canada,Chile,China,Czechia,Denmark,Estonia,Finland,France,Germany,Greece,Hungary,Ireland,Israel,Italy,Japan,Lithuania,Mexico,Netherlands,New Zealand,Norway,Poland,Portugal,Romania,Russia,Singapore,Slovakia,Slovenia,South Africa,South Korea,Spain,Sweden,Switzerland,Taiwan,Turkey,United Kingdom,United States
Argentina,3106.0,6.0,3.0,2,12,6.0,1,1.0,3,,1.0,18,37,,,,1.0,17.0,3.0,,4.0,3.0,2.0,,,2.0,,1.0,,,,,,45.0,1.0,5,,,8,67
Australia,4.0,14114.0,30.0,19,121,18.0,812,7.0,52,2.0,17.0,98,169,9.0,4.0,28.0,12.0,54.0,66.0,1.0,9.0,75.0,107.0,19.0,10.0,10.0,7.0,18.0,58.0,,3.0,51.0,24.0,41.0,58.0,56,11.0,5.0,464,529
Austria,1.0,31.0,1554.0,14,19,2.0,25,12.0,7,1.0,10.0,18,260,2.0,19.0,2.0,3.0,58.0,13.0,,1.0,35.0,2.0,10.0,7.0,12.0,1.0,6.0,,11.0,3.0,2.0,4.0,24.0,35.0,57,,5.0,73,135
Belgium,2.0,36.0,12.0,3689,34,6.0,92,12.0,12,2.0,6.0,142,105,18.0,4.0,6.0,,85.0,22.0,1.0,5.0,189.0,4.0,5.0,7.0,32.0,8.0,9.0,3.0,2.0,2.0,20.0,3.0,62.0,23.0,56,,8.0,121,141
Canada,4.0,94.0,12.0,30,14494,7.0,675,8.0,28,2.0,22.0,178,131,1.0,3.0,16.0,26.0,61.0,27.0,2.0,31.0,44.0,28.0,12.0,19.0,8.0,,10.0,14.0,,3.0,22.0,27.0,34.0,43.0,76,12.0,11.0,190,753
Chile,16.0,17.0,3.0,14,12,1161.0,4,3.0,4,,3.0,47,48,2.0,,,1.0,14.0,2.0,,10.0,11.0,2.0,2.0,2.0,2.0,3.0,4.0,,,,2.0,3.0,120.0,2.0,7,,,45,135
China,1.0,409.0,23.0,61,373,6.0,79128,3.0,92,2.0,32.0,185,376,2.0,1.0,13.0,18.0,41.0,378.0,,7.0,115.0,20.0,32.0,6.0,6.0,1.0,7.0,262.0,1.0,6.0,10.0,139.0,43.0,108.0,64,86.0,4.0,419,4116
Czechia,,9.0,19.0,8,13,1.0,15,2103.0,7,2.0,9.0,33,62,7.0,10.0,4.0,2.0,16.0,9.0,,1.0,8.0,,7.0,21.0,1.0,2.0,18.0,1.0,51.0,3.0,1.0,1.0,22.0,22.0,27,2.0,2.0,33,78
Denmark,,41.0,10.0,14,30,4.0,96,3.0,2683,4.0,20.0,28,106,6.0,3.0,1.0,5.0,35.0,8.0,1.0,,38.0,7.0,38.0,4.0,9.0,2.0,3.0,3.0,,,4.0,5.0,39.0,106.0,38,,3.0,136,192
Estonia,,2.0,,4,1,,1,5.0,2,206.0,20.0,2,7,,,2.0,1.0,3.0,2.0,,,2.0,,,1.0,1.0,,4.0,,,,,,1.0,13.0,1,,,6,11
Finland,,20.0,7.0,5,20,,43,6.0,21,12.0,2427.0,27,53,1.0,6.0,1.0,5.0,20.0,17.0,,,23.0,7.0,11.0,7.0,3.0,3.0,34.0,2.0,,,5.0,5.0,23.0,80.0,14,1.0,1.0,63,94
France,13.0,96.0,26.0,154,176,42.0,268,30.0,43,3.0,24.0,30118,308,32.0,13.0,20.0,16.0,239.0,89.0,3.0,20.0,105.0,7.0,20.0,43.0,39.0,20.0,65.0,20.0,4.0,8.0,23.0,18.0,186.0,50.0,196,9.0,9.0,329,635
Germany,18.0,194.0,206.0,131,138,30.0,481,44.0,87,8.0,62.0,242,16696,41.0,40.0,48.0,61.0,242.0,100.0,3.0,30.0,352.0,40.0,45.0,84.0,56.0,22.0,116.0,24.0,15.0,4.0,18.0,37.0,182.0,166.0,384,23.0,38.0,555,1041
Greece,1.0,6.0,6.0,14,2,2.0,2,2.0,4,2.0,6.0,22,25,1139.0,1.0,1.0,,18.0,3.0,,,12.0,2.0,,2.0,4.0,1.0,4.0,3.0,,2.0,1.0,,8.0,20.0,19,5.0,3.0,85,68
Hungary,,4.0,23.0,9,5,,3,4.0,1,,4.0,19,37,3.0,1032.0,,2.0,4.0,6.0,,1.0,12.0,,5.0,,2.0,15.0,2.0,1.0,3.0,,3.0,2.0,11.0,5.0,14,,,37,57
Ireland,1.0,16.0,2.0,3,22,,34,2.0,2,,5.0,8,28,4.0,1.0,1042.0,4.0,18.0,7.0,1.0,,4.0,8.0,1.0,,4.0,2.0,2.0,3.0,,,5.0,1.0,12.0,11.0,12,,2.0,109,66
Israel,2.0,14.0,2.0,8,19,,17,,1,,,15,32,2.0,1.0,2.0,3037.0,8.0,2.0,2.0,1.0,6.0,2.0,2.0,1.0,,,11.0,9.0,,4.0,3.0,1.0,12.0,6.0,10,1.0,2.0,36,238
Italy,6.0,45.0,62.0,77,57,8.0,55,19.0,26,,14.0,228,199,16.0,9.0,16.0,12.0,11647.0,25.0,3.0,14.0,112.0,1.0,18.0,17.0,28.0,10.0,19.0,11.0,1.0,9.0,9.0,,134.0,55.0,140,2.0,9.0,365,471
Japan,4.0,66.0,11.0,18,78,7.0,473,12.0,9,,22.0,81,128,3.0,5.0,2.0,5.0,73.0,15031.0,1.0,,30.0,8.0,4.0,16.0,2.0,1.0,11.0,24.0,1.0,5.0,1.0,61.0,14.0,39.0,57,46.0,7.0,132,845
Lithuania,,1.0,4.0,2,1,,1,1.0,1,,5.0,5,12,,,,,2.0,1.0,163.0,,,1.0,,2.0,,,1.0,,,,,,2.0,13.0,7,,1.0,8,6
Mexico,10.0,7.0,2.0,7,34,8.0,10,3.0,4,,1.0,31,20,,2.0,1.0,,10.0,4.0,,1220.0,9.0,2.0,,3.0,7.0,,3.0,,,,2.0,,85.0,8.0,2,,2.0,30,191
Netherlands,2.0,94.0,20.0,213,52,6.0,187,2.0,28,3.0,21.0,76,283,15.0,6.0,21.0,18.0,96.0,17.0,1.0,8.0,6951.0,9.0,24.0,6.0,19.0,1.0,13.0,16.0,3.0,5.0,29.0,7.0,48.0,66.0,83,5.0,13.0,271,412
New Zealand,1.0,95.0,5.0,5,19,5.0,37,2.0,1,,4.0,13,17,,1.0,7.0,2.0,3.0,4.0,,3.0,3.0,943.0,3.0,1.0,1.0,,,6.0,,,5.0,4.0,3.0,5.0,10,,1.0,68,57
Norway,1.0,20.0,8.0,13,27,1.0,42,1.0,58,3.0,25.0,35,81,11.0,4.0,1.0,,23.0,4.0,,1.0,34.0,8.0,3463.0,7.0,8.0,,1.0,2.0,,2.0,9.0,2.0,15.0,115.0,30,1.0,,84,110
Other,52.0,898.0,131.0,351,635,88.0,1996,50.0,167,18.0,100.0,1498,1184,64.0,27.0,60.0,39.0,414.0,825.0,5.0,75.0,410.0,85.0,122.0,69.0,224.0,59.0,138.0,115.0,10.0,18.0,293.0,367.0,556.0,354.0,213,156.0,114.0,1656,3648
Poland,,15.0,16.0,11,25,1.0,9,17.0,9,,12.0,49,100,1.0,4.0,2.0,4.0,20.0,24.0,,2.0,14.0,,7.0,1679.0,8.0,1.0,23.0,4.0,5.0,1.0,5.0,3.0,25.0,32.0,28,1.0,2.0,68,133
Portugal,1.0,8.0,2.0,16,5,3.0,17,4.0,9,1.0,6.0,53,35,,1.0,7.0,,24.0,3.0,1.0,1.0,32.0,1.0,4.0,5.0,4149.0,3.0,3.0,1.0,1.0,,6.0,1.0,119.0,6.0,31,1.0,4.0,107,85
Romania,,2.0,5.0,15,2,,4,4.0,4,1.0,1.0,54,40,7.0,20.0,2.0,1.0,23.0,1.0,,,4.0,,,,5.0,704.0,10.0,1.0,,2.0,,,14.0,4.0,15,,3.0,13,38
