,Argentina,Australia,Austria,Belgium,Canada,Chile,China,Czechia,Denmark,Estonia,Finland,France,Germany,Greece,Hungary,Ireland,Israel,Italy,Japan,Lithuania,Mexico,Netherlands,New Zealand,Norway,Poland,Portugal,Romania,Russia,Singapore,Slovakia,Slovenia,South Africa,South Korea,Spain,Sweden,Switzerland,Taiwan,Turkey,United Kingdom,United States
Russia,,15.0,21.0,20,21,4.0,30,21.0,10,10.0,50.0,131,254,6.0,,9.0,14.0,62.0,37.0,2.0,6.0,32.0,1.0,23.0,32.0,13.0,4.0,5880.0,5.0,9.0,,4.0,11.0,24.0,31.0,27,6.0,3.0,94,265
Singapore,,66.0,5.0,5,23,,315,,5,,3.0,24,30,2.0,,3.0,8.0,5.0,28.0,,,24.0,5.0,,7.0,1.0,,3.0,2062.0,,1.0,2.0,12.0,2.0,17.0,13,5.0,4.0,109,184
Slovakia,,,17.0,3,2,,4,39.0,2,1.0,,3,15,1.0,5.0,3.0,,,3.0,,,6.0,1.0,1.0,2.0,2.0,,10.0,,244.0,,,,1.0,1.0,6,,,3,19
Slovenia,,3.0,9.0,2,1,,3,2.0,2,,,3,12,1.0,1.0,,1.0,11.0,,,,5.0,,,3.0,1.0,2.0,3.0,,2.0,428.0,1.0,,,2.0,2,,,9,18
South Africa,2.0,56.0,11.0,33,39,2.0,10,3.0,9,,9.0,56,50,2.0,1.0,8.0,2.0,30.0,3.0,,3.0,82.0,13.0,12.0,7.0,6.0,,2.0,3.0,,,1408.0,1.0,7.0,40.0,30,1.0,3.0,167,189
South Korea,,27.0,2.0,8,22,3.0,113,2.0,4,,2.0,23,52,1.0,2.0,1.0,,10.0,91.0,,1.0,9.0,2.0,1.0,2.0,2.0,,3.0,14.0,,,1.0,7895.0,6.0,13.0,10,8.0,1.0,47,874
Spain,24.0,59.0,21.0,46,45,52.0,58,19.0,24,2.0,19.0,157,167,10.0,6.0,10.0,9.0,138.0,31.0,1.0,45.0,68.0,5.0,16.0,16.0,132.0,4.0,13.0,1.0,,1.0,5.0,1.0,12658.0,42.0,85,1.0,7.0,264,302
Sweden,,55.0,27.0,22,45,3.0,167,7.0,114,13.0,84.0,60,167,19.0,7.0,13.0,4.0,61.0,19.0,2.0,5.0,79.0,11.0,85.0,20.0,13.0,,13.0,10.0,1.0,4.0,14.0,9.0,71.0,4301.0,62,3.0,6.0,167,233
Switzerland,4.0,69.0,63.0,50,72,3.0,61,12.0,33,6.0,23.0,192,457,15.0,6.0,7.0,13.0,150.0,23.0,5.0,2.0,78.0,11.0,18.0,27.0,18.0,11.0,11.0,19.0,3.0,3.0,21.0,5.0,69.0,40.0,3636,4.0,11.0,257,440
Taiwan,,14.0,,1,13,,111,3.0,2,,1.0,21,23,,1.0,1.0,1.0,4.0,35.0,,,2.0,1.0,,2.0,,,,8.0,1.0,,1.0,6.0,5.0,,8,7085.0,2.0,26,251
Turkey,,15.0,3.0,16,18,1.0,5,5.0,6,1.0,7.0,19,48,6.0,3.0,4.0,,10.0,6.0,1.0,1.0,24.0,2.0,2.0,1.0,3.0,,2.0,3.0,,1.0,1.0,1.0,11.0,8.0,10,5.0,826.0,59,264
United Kingdom,14.0,413.0,71.0,140,220,32.0,746,37.0,112,7.0,56.0,287,658,117.0,31.0,128.0,48.0,354.0,113.0,5.0,22.0,281.0,59.0,63.0,56.0,91.0,9.0,47.0,70.0,2.0,9.0,88.0,49.0,317.0,198.0,208,24.0,36.0,14169,1116
United States,76.0,480.0,152.0,148,937,80.0,4943,36.0,158,12.0,100.0,522,1052,82.0,47.0,76.0,274.0,486.0,528.0,3.0,142.0,337.0,86.0,82.0,98.0,54.0,16.0,118.0,155.0,4.0,12.0,126.0,499.0,350.0,264.0,389,190.0,133.0,1192,81068
