Rank;Sourceid;Title;Type;Issn;SJR;SJR Best Quartile;H index;Total Docs. (2017);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Publisher;Coverage;Categories
1;21100812243;"Nature Reviews Materials";journal;"20588437";28,630;Q1;61;91;104;7110;2823;58;48,67;78,13;United Kingdom;"Nature Publishing Group";"2016-ongoing";"Biomaterials (Q1); Electronic, Optical and Magnetic Materials (Q1); Energy (miscellaneous) (Q1); Materials Chemistry (Q1); Surfaces, Coatings and Films (Q1)"
2;21100812579;"Nature Energy";journal;"20587546";17,765;Q1;61;175;138;4444;3669;107;34,29;25,39;United States;"Springer Nature";"2016-ongoing";"Electronic, Optical and Magnetic Materials (Q1); Energy Engineering and Power Technology (Q1); Fuel Technology (Q1); Renewable Energy, Sustainability and the Environment (Q1)"
3;17500155114;"Energy and Environmental Sciences";journal;"17545692";14,590;Q1;279;246;1037;15494;33224;1020;30,38;62,98;United Kingdom;"Royal Society of Chemistry";"2008-ongoing";"Environmental Chemistry (Q1); Nuclear Energy and Engineering (Q1); Pollution (Q1); Renewable Energy, Sustainability and the Environment (Q1)"
4;21100199127;"Advanced Energy Materials";journal;"16146832, 16146840";8,230;Q1;156;552;1161;41920;21271;1116;20,29;75,94;Germany;"Wiley-VCH Verlag";"2011-ongoing";"Materials Science (miscellaneous) (Q1); Renewable Energy, Sustainability and the Environment (Q1)"
5;27538;"Progress in Energy and Combustion Science";journal;"03601285";6,751;Q1;161;29;57;9551;1458;54;29,09;329,34;United Kingdom;"Elsevier Ltd.";"1975-ongoing";"Chemical Engineering (miscellaneous) (Q1); Energy Engineering and Power Technology (Q1); Fuel Technology (Q1)"
6;21100832985;"ACS Energy Letters";journal;"23808195";5,991;Q1;49;411;203;17806;2123;185;11,48;43,32;United States;"American Chemical Society";"2016-ongoing";"Chemistry (miscellaneous) (Q1); Energy Engineering and Power Technology (Q1); Fuel Technology (Q1); Materials Chemistry (Q1); Renewable Energy, Sustainability and the Environment (Q1)"
7;21100420314;"Energy Storage Materials";journal;"24058297";5,208;Q1;35;96;81;6274;1127;73;15,44;65,35;Netherlands;"Elsevier BV";"2015-ongoing";"Energy Engineering and Power Technology (Q1); Materials Science (miscellaneous) (Q1); Renewable Energy, Sustainability and the Environment (Q1)"
8;21100197947;"Nano Energy";journal;"22112855";5,185;Q1;112;718;1304;37335;17544;1302;13,22;52,00;Netherlands;"Elsevier BV";"2012-ongoing";"Electrical and Electronic Engineering (Q1); Materials Science (miscellaneous) (Q1); Renewable Energy, Sustainability and the Environment (Q1)"
9;21100232403;"Journal of Materials Chemistry A";journal;"20507488";3,488;Q1;152;2685;7479;153577;73900;7401;10,11;57,20;United Kingdom;"Royal Society of Chemistry";"2013-ongoing";"Chemistry (miscellaneous) (Q1); Materials Science (miscellaneous) (Q1); Renewable Energy, Sustainability and the Environment (Q1)"
10;28801;"Applied Energy";journal;"03062619";3,162;Q1;162;1692;4111;87291;35740;4063;8,61;51,59;United Kingdom;"Elsevier Ltd.";"1975-ongoing";"Building and Construction (Q1); Civil and Structural Engineering (Q1); Energy Engineering and Power Technology (Q1); Energy (miscellaneous) (Q1); Fuel Technology (Q1); Management, Monitoring, Policy and Law (Q1); Mechanical Engineering (Q1); Nuclear Energy and Engineering (Q1)"
11;27567;"Renewable and Sustainable Energy Reviews";journal;"13640321";3,036;Q1;222;1437;3339;152050;36527;3292;10,49;105,81;Netherlands;"Elsevier BV";"1997-ongoing";"Renewable Energy, Sustainability and the Environment (Q1)"
12;28825;"IEEE Transactions on Power Systems";journal;"08858950";2,742;Q1;221;504;1240;14988;8423;1217;6,12;29,74;United States;"Institute of Electrical and Electronics Engineers";"1985-ongoing";"Electrical and Electronic Engineering (Q1); Energy Engineering and Power Technology (Q1)"
13;19700188418;"Annual Review of Chemical and Biomolecular Engineering";journal;"19475438, 19475446";2,640;Q1;47;26;72;3358;540;71;7,95;129,15;United States;"Annual Reviews Inc.";"2010-ongoing";"Chemical Engineering (miscellaneous) (Q1); Chemistry (miscellaneous) (Q1); Renewable Energy, Sustainability and the Environment (Q1)"
14;12000154478;"ChemSusChem";journal;"1864564X, 18645631";2,538;Q1;130;588;1398;33527;9898;1344;7,05;57,02;Germany;"Wiley - V C H Verlag GmbbH & Co.";"2008-ongoing";"Chemical Engineering (miscellaneous) (Q1); Energy (miscellaneous) (Q1); Environmental Chemistry (Q1); Materials Science (miscellaneous) (Q1)"
15;29372;"Energy Conversion and Management";journal;"01968904";2,537;Q1;163;1076;3124;49900;21871;3059;7,05;46,38;United Kingdom;"Elsevier Ltd.";"1979-ongoing";"Energy Engineering and Power Technology (Q1); Fuel Technology (Q1); Nuclear Energy and Engineering (Q1); Renewable Energy, Sustainability and the Environment (Q1)"
