aff_id,occurrence
60000905,7034
60027363,5515
60015682,4867
60002746,4113
60016849,3959
60014232,2796
60008134,2737
60025272,2652
60016782,2244
60026553,2115
60015481,2084
60019499,2050
60029929,1884
60025038,1689
60010365,1684
60025709,1589
60023691,1587
60001422,1523
60005037,1513
60012311,1465
60123796,1430
60022195,1426
60011001,1382
60030612,1348
60005247,1345
60025778,1317
60027550,1313
60002494,1284
60032499,1197
60006297,1191
60031004,1177
60022148,1164
60012708,1159
60015543,1156
60024322,1146
60026851,1144
60014439,1124
60010348,1122
60007174,1119
60031101,1115
60032350,1103
60032179,1101
60015150,1081
60030162,1080
60009507,1073
60082678,1053
60005248,1049
60002952,1044
60025858,1043
60028333,1043
60025063,1042
60069716,1037
60024621,1026
60003500,1019
60008435,1015
60002441,1010
60021199,1006
60003970,1001
60001604,982
60023578,979
60013959,979
60017161,969
60010884,966
60029445,953
60013682,952
60019578,945
60009982,941
60004518,924
60001117,920
60013314,906
60009512,905
60028717,892
60030318,890
60030835,869
60017994,863
60032838,859
60019295,854
60029622,853
60113147,851
60000745,848
60014334,843
60005429,836
60025111,835
60010065,833
60030319,829
60106017,817
60013227,812
60025084,797
60005455,796
60030521,785
60001576,777
60016908,767
60000305,760
60007363,746
60029170,741
60007776,733
60016648,726
60003625,721
60014966,720
60001439,719
60029278,719
60000264,715
60033316,707
60011520,707
60016605,704
60001255,701
60008724,701
60003771,690
60003858,689
60004156,688
60019674,687
60028897,685
60003711,678
60025278,676
60000221,674
60011605,673
60002306,672
60026245,667
60032114,666
60021600,665
60020547,656
60000928,649
60014652,642
60031806,637
60025488,635
60006183,633
60007249,625
60027245,624
60017293,620
60013141,619
60027631,618
60006577,617
60001997,615
60000481,611
60020304,610
60031581,610
60102125,605
60007997,602
60030840,600
60009860,597
60013409,594
60019118,594
60028218,591
60015023,591
60009866,590
60018869,584
60007278,575
60023020,569
60001361,567
60012614,562
60102126,556
60002483,554
60029311,554
60108488,552
60014256,550
60007774,547
60032619,546
60028186,544
60022756,544
60027086,543
60027509,542
60031126,540
60005681,539
60013372,537
60009408,536
60027561,536
60103801,535
60009697,534
60006385,534
60073385,533
60031707,532
60104653,531
60018573,530
60016987,525
60002388,525
60016733,525
60031913,523
60002339,520
60033100,515
60007493,514
60015574,513
60029616,513
60006337,511
60001563,511
60030118,511
60011047,509
60031828,508
60019647,508
60020650,502
60021182,502
60015622,500
60006876,499
60024324,499
60009254,499
60021947,497
60009470,497
60017246,496
60003915,492
60012981,491
60027272,491
60032724,490
60024266,487
60000656,486
60019793,485
60008950,485
60003269,484
60021918,478
60001157,476
60008734,471
60021859,466
60029306,465
60021160,464
60012259,463
60014739,458
60007989,458
60015618,457
60028950,456
60026601,456
60032083,456
60019702,455
60028548,455
60004828,451
60031031,449
60021523,447
60026695,447
60012256,447
60027565,445
60001772,445
60000401,438
60103673,437
60021116,436
60025761,435
60002014,434
60031514,432
60020486,431
60015913,429
60014468,429
60002414,428
60030058,428
60006173,427
60015742,427
60021658,426
60019778,425
60012937,423
60029358,423
60019722,423
60024007,423
60004538,422
60007711,422
60079887,422
60026415,421
60032882,420
60016521,420
60011766,418
60007457,417
60024541,413
60005558,411
60021784,409
60011394,409
60028868,409
60027161,408
60019616,405
60001881,405
60003892,404
60013551,403
60017059,403
60025641,402
60009839,401
60007103,401
60004923,399
60104546,398
60014416,396
60104665,392
60015941,391
60024025,390
60028421,389
60119141,388
60015849,388
60015138,388
60015183,388
60025370,386
60030440,386
60002573,386
60004354,384
60105856,382
60008760,382
60006164,381
60001490,381
60029747,379
60033182,379
60027314,379
60004718,378
60000765,377
60026108,376
60012957,375
60007903,374
60025225,374
60014982,373
60030280,373
60011373,372
60017412,371
60073387,371
60017060,370
60029428,370
60026796,370
60017777,370
60012070,368
60006027,368
60009343,368
60031331,366
60021567,365
60014653,364
60030769,363
60029507,363
60020351,362
60031216,360
60009226,360
60025988,357
60021119,356
60025152,356
60032442,356
60029241,354
60000964,351
60003525,350
60024885,350
60018308,349
60003303,349
60010261,349
60002194,349
60016529,346
60014171,343
60000356,343
60027716,342
60010023,341
60027282,340
60082964,336
60007267,335
60020661,335
60026829,334
60070034,334
60028609,332
60030718,331
60019595,330
60008042,330
60017134,329
60022119,328
60006288,327
60002173,326
60015658,324
60025153,323
60016912,323
60012689,323
60001524,322
60025997,322
60026489,322
60031594,322
60005322,321
60021519,321
60018353,320
60026877,320
60011460,318
60018363,318
60012954,317
60012370,317
60033021,317
60009796,315
60028378,313
60022778,312
60016437,312
60012306,312
60017018,311
60006475,310
60022659,310
60023998,309
60021121,305
60025310,305
60000874,305
60022403,304
60020680,301
60019905,301
60026810,300
60026906,299
60006894,299
60027165,299
60023053,298
60013791,298
60021255,297
60103368,296
60027386,295
60005273,295
60028265,294
60012553,294
60029896,294
60011549,293
60010401,293
60029150,293
60026680,292
60019619,292
60000239,292
60007740,292
60013402,291
60013243,291
60031040,290
60008870,290
60027811,287
60015197,287
60033129,287
60102127,287
60027090,285
60020469,285
60024609,285
60026748,285
60017622,285
60018150,284
60016653,284
60000762,283
60018029,282
60023009,281
60011149,281
60005686,281
60015765,280
60012018,279
60023222,279
60031155,278
60006564,278
60002092,278
60019615,277
60104660,276
60023813,275
60019984,275
60026175,274
60007762,274
60010146,274
60006762,274
60028084,273
60002058,272
60023955,272
60006222,272
60023237,271
60027817,271
60024652,270
60016005,270
