aff_id,occurrence
60015682,4797
60027363,4134
60002746,4068
60000905,3828
60016849,3614
60014232,2690
60025272,2386
60016782,2070
60015481,1958
60008134,1897
60029929,1879
60025038,1860
60026553,1799
60019499,1766
60010365,1637
60023691,1548
60005247,1386
60025778,1383
60025709,1374
60012708,1362
60005037,1355
60027550,1347
60030612,1336
60002494,1274
60006297,1263
60022195,1261
60007174,1252
60011001,1205
60024322,1177
60012311,1150
60032179,1147
60014439,1141
60015543,1138
60032499,1133
60032350,1131
60026851,1125
60069716,1110
60031101,1109
60005248,1090
60030162,1075
60015150,1037
60002952,1035
60013959,1016
60001422,1014
60013682,1010
60031004,1005
60022148,1002
60024621,973
60013314,969
60025858,963
60002441,959
60029445,957
60028333,947
60008435,946
60003500,936
60025063,933
60017161,918
60021199,898
60009507,894
60082678,874
60001117,856
60003970,853
60010884,850
60017994,849
60030318,846
60030319,845
60000745,833
60025111,826
60005455,825
60010065,821
60032838,814
60001439,811
60009982,807
60028717,805
60007776,803
60010348,798
60019578,793
60123796,791
60113147,786
60030835,762
60030521,760
60003858,753
60004518,747
60016908,741
60014966,721
60009512,720
60025084,719
60000221,700
60005429,691
60011605,675
60016648,673
60019674,663
60031126,658
60025278,657
60001576,652
60020304,645
60029622,644
60000305,644
60002306,643
60014334,643
60003771,637
60011520,634
60008724,629
60006183,627
60026245,626
60028897,623
60029278,622
60003625,620
60014652,615
60031806,613
60019118,613
60028218,610
60021600,610
60029170,609
60020547,608
60013409,589
60007278,589
60001604,588
60007363,587
60007249,587
60017293,581
60015574,580
60000481,578
60003711,576
60007493,576
60004156,573
60025488,571
60027086,570
60009860,565
60000928,562
60002483,562
60009866,559
60028868,556
60006577,554
60019295,551
60000264,550
60032114,549
60033100,548
60031581,546
60011047,545
60019647,540
60016605,537
60003915,537
60016733,537
60027561,535
60032619,533
60013227,533
60013372,532
60012614,531
60024266,529
60020650,523
60001997,521
60009254,520
60029311,519
60002414,518
60005681,516
60016987,514
60031707,513
60023578,513
60022756,508
60015023,504
60014256,500
60030058,500
60008950,497
60028186,495
60003269,490
60021918,489
60031828,484
60002339,482
60007774,482
60012981,479
60018869,479
60021947,478
60007997,477
60021160,474
60002388,471
60019702,470
60019778,470
60029616,469
60006337,466
60010401,466
60009408,459
60027272,459
60007103,456
60024324,456
60032724,455
60021658,454
60028548,452
60009839,451
60023020,450
60027509,450
60021116,448
60006876,447
60006385,445
60008734,445
60029358,442
60030118,441
60007989,441
60073385,441
60013141,440
60012937,439
60026601,436
60015618,436
60001563,436
60015941,435
60021784,433
60009697,433
60031514,432
60014739,430
60017246,429
60009470,429
60021859,429
60021523,428
60102125,423
60029747,422
60031913,421
60027565,420
60033316,416
60007457,415
60000401,414
60005558,414
60015183,413
60025225,413
60018573,413
60015622,412
60014653,410
60021119,410
60028421,408
60026695,408
60079887,404
60003892,403
60004354,403
60004718,401
60024541,401
60029241,397
60032882,397
60001255,396
60015138,396
60002014,396
60026415,393
60119141,392
60026175,390
60001881,390
60015913,390
60001157,388
60030718,388
60012689,387
60011766,386
60025153,385
60021182,384
60000765,384
60007903,383
60019722,383
60024007,382
60012259,381
60024025,380
60020486,380
60004923,380
60030769,380
60000656,380
60001361,378
60009226,377
60025641,376
60015658,374
60010261,373
60003525,373
60029306,372
60027161,368
60033182,367
60026796,366
60011394,366
60023053,365
60006173,365
60032083,362
60105856,361
60015742,361
60030840,361
60016437,360
60012070,360
60017059,357
60007711,356
60015849,355
60019616,355
60027245,353
60022659,351
60001490,350
60012553,350
60027716,350
60016529,349
60017412,349
60104665,348
60031031,348
60018363,346
60025152,343
60005273,343
60010023,341
60104546,341
60022403,340
60011460,340
60012957,339
60009796,338
60002573,337
60022778,337
60001772,335
60018308,335
60032442,334
60014982,331
60017622,331
60016521,329
60004956,328
60015197,327
60020351,325
60014171,325
60104660,324
60029428,324
60106017,324
60070034,323
60026829,323
60025997,323
60031040,323
60012820,322
60000762,322
60020337,322
60009343,322
60022119,321
60024885,321
60108488,319
60020661,318
60031331,316
60013402,315
60014468,314
60031216,314
60006164,313
60008042,312
60008760,312
60027314,309
60028609,309
60033021,308
60000356,308
60002194,308
60025761,307
60012256,307
60103673,306
60027282,306
60016005,305
60021121,305
60007762,304
60028950,304
60017777,303
60006027,303
60019984,303
60006762,303
60006288,302
60030280,302
60012954,302
60029150,300
60031866,299
60025988,299
60001524,298
60019533,297
60002787,296
60000964,295
60028265,294
60017018,293
60007200,292
60024609,292
60004538,292
60105857,291
60011373,291
60026877,290
60026489,289
60005322,288
60028084,288
60028378,288
60023222,287
60006989,287
60018038,283
60018353,283
60027811,283
60000297,282
60009358,281
60016912,280
60104653,280
60011264,280
60027165,278
60007267,278
60019595,277
60007566,277
60006222,276
60020633,274
60019615,274
60013551,274
60023998,274
60089931,273
60020680,272
60002644,272
60012370,271
60029526,271
60006475,271
60027090,271
60019953,270
60030788,269
60025370,269
60024052,268
60014313,266
60030440,266
60000239,264
60029507,264
60021519,264
60012306,263
60012018,262
60014416,262
60016653,262
60009788,262
60003303,262
60029251,261
60012464,260
60002173,259
60103653,259
60018491,258
60105915,258
60007740,257
60082964,256
60032356,255
60002476,254
60026748,254
60029896,252
60013756,252
60005141,251
60028900,250
60030931,250
60006894,249
60019619,248
60021567,247
60013243,246
60016173,246
60004828,246
60032702,245
60026108,245
60002092,244
60015186,244
60009923,243
60015765,243
60003003,242
60020469,242
60029991,241
60019160,241
60023143,241
60023955,240
60031155,240
60018029,240
60019905,239
60102127,239
60027271,238
60016418,238
60113665,238
60073387,238
60001861,237
60015881,236
60003443,236
60015815,236
60008745,235
60017060,235
60010586,235
60091945,235
60014569,235
60020195,234
60008870,234
60001989,234
60005036,233
60021361,233
60024941,233
100368513,232
60023009,232
60031106,232
60027950,232
60121686,231
60015277,230
60028229,229
60018691,229
60000986,229
60015875,227
60020044,227
60025141,227
60011149,226
60026827,226
60021578,226
60013791,226
60001555,226
60005510,224
60000291,224
60025310,224
60022095,224
60005686,224
60007511,222
60003088,221
60018429,220
60023695,220
60031699,218
60014077,218
60018208,218
60033125,218
60029738,218
60016728,218
60002634,217
60008768,217
60000874,217
60023882,216
60000445,216
60073652,215
60023813,214
60023147,214
60032144,213
60026306,213
60002838,212
60025553,212
60022020,211
60023588,211
60027152,210
60030846,210
60011418,210
60018150,209
60007995,208
60007324,208
60021508,207
60030398,206
60019544,206
60011549,206
60015457,206
60006558,205
60010146,205
60013625,205
60027485,205
60006564,205
60000990,205
60000145,204
60009037,204
60023237,204
60007061,204
60029608,204
60016261,203
60021331,203
60015527,203
60000179,203
60021660,202
60005286,201
60001801,200
60011447,200
60023561,199
60005837,199
60029961,198
60022175,197
60103368,197
60022132,197
60006221,197
60110201,197
60014773,197
60005208,197
60015670,197
60007895,197
60025160,196
60030857,196
60003122,196
60028970,195
60029238,195
60004853,195
60017134,195
60024542,194
60031984,194
60023012,193
60015216,193
60023004,192
60025960,192
60026571,192
60011604,192
60005610,190
60000689,190
60011226,190
60006121,189
60018704,189
60023681,189
60026906,189
60012704,189
60020599,188
60004591,188
60019207,188
60023462,188
60031594,188
60007514,187
60023256,187
60017724,186
60019870,186
60029701,186
60030807,186
60012804,186
60012556,186
60008222,185
60027675,185
60027512,185
60029881,184
60024890,184
60011641,184
60009963,184
60008155,183
60023052,182
60008693,182
60023970,181
60026777,181
60012197,181
60022144,180
60024746,180
60027016,179
60014205,179
60019816,178
60027817,178
60033420,178
60015331,178
60018179,177
60002058,176
60008438,176
60017563,176
60019793,175
60012227,175
60024252,175
60023022,175
60012345,175
60084278,175
60015356,175
60029242,174
60017705,174
60030442,174
60017336,173
60001344,173
60011069,173
60078684,173
60012662,173
60011846,172
60021255,172
60029833,172
60020745,171
60025340,171
60022015,171
60024690,171
60024997,170
60018273,170
60023075,170
60025352,169
60009852,169
60033235,169
60031069,169
60010571,169
60032259,169
60027631,168
60023927,168
60018926,168
60026810,167
60068856,167
60007746,167
60105315,167
60025017,167
60113231,166
60023064,166
60010719,166
60027767,165
60018319,165
60011666,165
60026680,165
60020828,164
60013780,164
60001565,164
60021763,164
60006130,163
60032006,163
60024812,163
60025555,163
60005245,163
60029857,162
60030315,161
60027863,161
60175967,161
60005281,161
60027856,161
60011754,160
60004346,160
60007567,160
60006925,160
60025066,160
60030222,160
60016416,159
60007828,159
60009500,159
60024399,159
60029270,159
60016218,159
60068729,159
60011576,158
60009622,158
60003873,158
60018362,158
60019163,157
60010073,157
60024805,157
60011832,157
60028965,156
60025534,156
60021143,156
60020416,156
60024978,156
60104289,156
60009415,156
60017697,155
60001097,155
60031150,155
60103529,155
60021568,155
60021561,155
60022422,155
60009102,155
60012162,154
60029950,154
60013430,153
60014264,153
60032057,153
60005708,153
60014059,153
60023091,153
60014090,153
60032907,152
60006404,151
60017829,151
60017954,151
60008772,150
60011357,150
60021902,150
60000112,150
60005667,150
60020585,150
60016340,150
60026135,150
60005244,150
60032530,149
60010037,149
60031888,149
60005711,149
60029411,149
60012754,149
60008107,149
60031226,149
60024784,148
60009424,148
60016924,148
60012831,148
60015595,148
60008023,147
60027416,147
60007008,147
60014754,147
60032942,147
60000666,147
60002049,146
60005035,146
60011339,146
60002769,146
60007067,145
60028419,145
60105859,145
60028287,145
60022165,145
60105937,145
60021212,145
60032633,145
60028925,145
60027009,145
60008578,144
60022109,144
60032991,144
60012284,144
60017592,144
60006754,144
60014454,144
60027332,143
60028311,143
60025525,143
60009657,143
60017483,143
60008088,143
60114755,142
60003044,142
60031745,142
60011125,142
60017317,141
60006541,141
60017866,141
60031863,141
60006490,141
60000854,141
60031041,141
60008293,141
60001769,141
60024872,141
60003214,141
60067083,140
60027337,140
60023868,140
60009647,140
60011664,139
60097308,139
60002765,139
60031810,139
60029418,139
60025765,139
60029543,139
60022386,139
60022134,138
60022286,138
60009999,138
60011976,138
60017252,138
60027671,138
60018701,138
60033010,138
60005038,137
60011347,137
60025685,137
60003615,137
60027470,137
60030929,137
60003828,137
60000809,136
60033129,136
60032398,136
60006832,136
60025029,136
60025187,135
60011170,135
60016464,135
60013983,135
60032987,135
60019356,135
60006514,134
60022653,134
60021311,134
60009907,134
60103900,134
60025702,134
60070172,134
60014277,134
60004965,133
60016081,133
60006463,133
60022417,133
60030035,133
60002773,133
60023380,133
60031706,133
60012317,132
60032256,132
60017311,132
60014070,132
60007592,132
60030480,132
60001212,132
60004764,132
60015986,132
60001001,131
