aff_id1,aff_id2,occurrence
60002746,60029929,3041
60001422,60008134,2928
60000905,60001422,2532
60013314,60069716,2521
60000905,60008134,2452
60007174,60025038,2377
60019499,60027363,2365
60002746,60016782,2279
60002746,60030521,2036
60006988,60031941,1880
60016849,60030319,1692
60020351,60031913,1587
60009860,60108904,1563
60012256,60073387,1516
60001255,60027363,1504
60026553,60027468,1490
60008134,60104653,1453
60029622,60030280,1370
60010348,60105037,1323
60012311,60019295,1287
60002746,60014334,1262
60019793,60033316,1240
60023146,60023588,1180
60003044,60011125,1177
60000905,60123796,1157
60016782,60032499,1106
60011447,60104653,1105
60001422,60015622,1094
60025063,60031069,1053
60003625,60015481,1047
60015682,60025272,1031
60005247,60027550,993
60027767,60073390,988
60008134,60102124,985
60000905,60028950,955
60026553,60033129,942
60015765,60016849,936
60010348,60026108,916
60021182,60026383,910
60000905,60104653,892
60023578,60102126,869
60009102,60026553,869
60005037,60011766,861
60000905,60005711,852
60001772,60008134,852
60025370,60073385,851
60000656,60021119,849
60002173,60028897,828
60013141,60023052,815
60008134,60102125,814
60026489,60026553,801
60015742,60027363,770
60006297,60030118,752
60014468,60016849,747
60006894,60016849,729
60000905,60015622,722
60027245,60123782,722
60001563,60004518,710
60030612,60079887,710
60006988,60072429,707
60066010,60108904,706
60024252,60103673,705
60008768,60016849,701
60017705,60087826,692
60008134,60027245,683
60015574,60024266,683
60016849,60029150,679
60005037,60022119,679
60002441,60008978,660
60001001,60029929,657
60000905,60104665,645
60014334,60016782,641
60022773,60028333,639
60007997,60009343,634
60019793,60025063,631
60011001,60015682,618
60025761,60087294,615
60019722,60024007,608
60002952,60016987,603
60005429,60073385,594
60019118,60089931,585
60014416,60027509,579
60002049,60023579,579
60005479,60032942,572
60016849,60021600,561
60000905,60102125,559
60008134,60103368,559
60001001,60002746,559
60001576,60010814,557
60002746,60030058,557
60017060,60082821,553
60017724,60104665,547
60019578,60026553,547
60009507,60009657,541
60018150,60025709,540
60000656,60013682,538
60012954,60016622,537
60023691,60105915,534
60015682,60024322,528
60002441,60011641,525
60016648,60025272,521
60016908,60017059,520
60025709,60026571,518
60008134,60123796,517
60009860,60066010,516
60016849,60085801,516
60025063,60070034,515
60003711,60006297,508
60008134,60031594,504
60015591,60019160,502
60018910,60027363,500
60021255,60105391,498
60004828,60027363,497
60008134,60102127,497
60000905,60001772,497
60011339,60015023,494
60027363,60027470,494
60013682,60021119,493
60004346,60007249,492
60003915,60030769,486
60016849,60017829,485
60025960,60104012,485
60021564,60102125,484
60012708,60032838,483
60005518,60011520,482
60008724,60113147,482
60000656,60098516,481
60000928,60002339,477
60014205,60019499,475
60016782,60022195,475
60017994,60105857,471
60008134,60028950,468
60005851,60104653,462
60005037,60008870,462
60002058,60003500,458
60001117,60006183,457
60000905,60103368,457
60028084,60032838,455
60002952,60104546,455
60003711,60030118,455
60003525,60013314,452
60025778,60033182,452
60000221,60027716,449
60002746,60032499,440
60007249,60013435,440
60000076,60003500,439
60026877,60028950,435
60005455,60017994,435
60012708,60025590,434
60017483,60027363,434
60031913,60073391,430
60007067,60030318,429
60009622,60082964,429
60010365,60028379,428
60002494,60022165,426
60007774,60016653,425
60000905,60021567,425
60025029,60031004,423
60068693,60104012,423
60023882,60029616,423
60020469,60025111,420
