aff_id1,aff_id2,occurrence
60007174,60025038,712
60002746,60029929,618
60015682,60025272,601
60013314,60069716,595
60016849,60030319,484
60002746,60016782,450
60015574,60024266,436
60016782,60032499,381
60002746,60014334,381
60003625,60015481,355
60005247,60027550,352
60002746,60030521,350
60015682,60024322,344
60005037,60011766,327
60002746,60030058,322
60012311,60019295,302
60015682,60024621,283
60014739,60026695,281
60030612,60079887,280
60002194,60019905,251
60016849,60021600,248
60003711,60006297,246
60011001,60015682,246
60005037,60022119,243
60003525,60013314,243
60006894,60016849,241
60010884,60029991,240
60028084,60032838,222
60017994,60105857,218
60009866,60028421,217
60008760,60014090,214
60016849,60029150,213
60008768,60016849,206
60015765,60016849,206
60000291,60028717,205
60015682,60023462,205
60025153,60107402,199
60007363,60013227,193
60000656,60021119,190
60025063,60070034,189
60015682,60031126,188
60024621,60025272,187
60025778,60033182,186
60016849,60023022,185
60014334,60016782,183
60023691,60105915,182
60025370,60073385,173
60000221,60027716,172
60016733,60032702,170
60011605,60030162,170
60010365,60015670,166
60002494,60022165,165
60014416,60027509,162
60003711,60030118,161
60008724,60113147,159
60005247,60016173,156
60010971,60011666,154
60014232,60015543,152
60024252,60103673,149
60018150,60025709,149
60029358,60030162,148
60002058,60003500,148
60002746,60032499,147
60002441,60011641,146
60015481,60031866,146
60024007,60028717,146
60002952,60016987,145
60023955,60031106,142
60000762,60026245,139
60012553,60105860,139
60025709,60026571,138
60023773,60032350,138
60011605,60029358,138
60002952,60104546,138
60015481,60028548,136
60026601,60027363,135
60005248,60006183,135
60020469,60025111,135
60025272,60103895,135
60010884,60030222,134
60007567,60013959,132
60000305,60021578,132
60016849,60027016,130
60006130,60006762,130
60014468,60016849,126
60002173,60028897,125
60026489,60026553,124
60023681,60113147,124
60006297,60023009,122
60016782,60030521,121
60001117,60005248,120
60014652,60015682,119
60000483,60028421,117
60012708,60032838,116
60005429,60025340,116
60011047,60015682,115
60025063,60031069,114
60004156,60084278,114
60014232,60024399,114
60010884,60026135,114
60008435,60015682,114
60006337,60024997,114
60008693,60016733,113
60026553,60110201,113
60012937,60080790,113
60007103,60030612,113
60005610,60009507,113
60002746,60015527,112
60011264,60032350,112
60018573,60105859,111
60005037,60008870,110
60020351,60031913,109
60019722,60024007,108
60012981,60014232,108
60001117,60006183,107
60016849,60017018,107
60023064,60029896,106
60012708,60028084,106
60015682,60016648,106
60015639,60032619,105
60015682,60019207,105
60014439,60026175,104
60013682,60021119,103
60002441,60009295,103
60001801,60028333,103
60015658,60024322,103
60001576,60030315,103
60006321,60028116,102
60005037,60022851,101
60000291,60024007,100
60029622,60030280,100
60001344,60015849,100
60004437,60025709,100
60016648,60025272,99
60014232,60028421,98
60006886,60015481,97
60001563,60004518,97
60000264,60015682,97
60021947,60024609,96
60032350,60070410,96
60021600,60030319,95
60030929,60031806,95
60001117,60001555,95
60018363,60025965,95
60001524,60029857,95
60000656,60013682,95
60005037,60015234,94
60015682,60030788,94
60006795,60020852,94
60019356,60022195,93
60001421,60023222,93
60019953,60030943,93
60029411,60030318,92
60002339,60105810,92
60010758,60012937,92
60023691,60029881,92
60015103,60016326,91
60006027,60010023,91
60001212,60015481,91
60008760,60011170,90
60025988,60026929,90
60003526,60006385,89
60007200,60033182,89
60011394,60025988,89
