aff_id,occurrence
60002746,1838
60016849,1771
60014232,1664
60015481,1342
60025038,1338
60025272,1115
60008134,1101
60023691,1092
60025778,1062
60027550,1047
60022195,989
60032179,937
60030612,876
60026851,863
60031101,858
60005248,851
60012708,833
60006297,817
60029445,817
60000745,789
60014439,786
60029929,779
60002494,769
60016782,759
60007776,749
60010365,740
60005455,733
60022148,724
60011001,724
60006577,721
60104660,706
60013959,673
60015543,647
60000221,645
60000905,627
60005247,623
60010065,609
60003500,607
60001439,603
60030162,601
60020304,600
60025111,594
60021199,581
60030318,578
60024322,545
60032838,539
60009982,537
60005037,528
60002441,518
60020547,513
60082678,498
60013372,494
60000305,492
60015150,486
60029278,485
60013409,461
60030835,461
60032499,460
60009507,454
60026415,452
60031581,451
60113147,450
60009254,449
60003269,449
60032350,447
60031707,446
60022756,446
60029311,446
60011605,441
60011520,439
60021378,439
60003771,439
60025858,426
60007174,420
60007363,419
60026553,410
60028717,410
60027561,410
60007278,406
60012311,406
60025709,398
60030521,389
60019778,389
60024324,389
60002483,387
60019674,387
60017994,385
60024266,384
60005681,382
60030058,381
60004923,381
60010884,376
60008724,375
60000264,367
60002388,364
60003915,362
60006989,362
60029241,361
60006337,360
60016908,359
60027086,357
60014652,357
60009408,355
60020650,352
60030319,352
60016733,349
60002952,349
60008435,346
60027272,345
60015574,344
60028548,341
60025488,340
60019702,338
60033182,338
60031828,337
60021918,336
60025063,334
60031126,332
60004156,332
60011047,329
60003625,328
60003858,328
60000928,327
60032619,326
60029747,325
60014653,324
60008950,323
60008745,322
60027165,321
60001117,321
60029170,320
60009866,317
60002194,317
60023053,314
60009343,312
60021116,311
60009470,309
60019295,308
60014256,301
60028333,301
60011460,299
60001490,299
60032083,297
60028421,293
60010261,291
60031004,289
60119141,284
60025988,284
60002306,283
60012070,282
60006164,282
60005558,281
60023143,280
60015941,279
60026175,279
60026796,278
60001881,275
60001576,272
60030840,272
60028609,272
60007103,270
60023022,269
60014334,269
60012689,269
60009697,267
60021784,267
60014739,266
60019905,266
60031216,265
60006173,265
60009839,264
60000762,263
60007903,262
60022265,262
60000481,259
60012981,258
60025555,257
60025152,256
60019722,254
60029251,252
60028897,252
60017246,251
60026827,250
60021658,250
60009226,249
60007989,248
60020661,247
60016437,245
60015913,242
60001422,242
60022659,241
60017293,240
60027271,239
60007457,237
60014171,237
60015138,235
60015023,235
60013682,235
60005429,233
60010348,233
60033021,232
60013402,232
60026695,232
60022403,231
60021121,231
60027090,229
60027716,229
60016005,229
60025225,229
60002339,227
60007997,225
60012259,225
60019647,224
60024609,224
60032442,223
60007493,222
60019578,221
60012553,221
60008734,220
60015183,220
60082727,219
60004354,218
60028218,218
60000765,217
60003892,217
60002014,216
60014313,216
60029738,216
60000874,213
60015849,209
60018573,209
60007774,209
60033125,208
60013227,208
60001772,208
60028868,208
60008438,207
60007995,207
60027950,206
60030718,204
60033100,204
60012197,202
60025641,202
60011373,202
60025997,202
60022890,199
60009512,199
60024025,199
60032105,196
60015875,196
60007566,195
60001563,195
60031514,194
60006221,194
60006222,194
60000401,193
60021947,193
60024652,191
60021160,191
60023009,190
60012614,190
60069716,189
60019816,189
60031806,189
60018208,188
60003711,188
60028084,187
60024885,187
60006183,187
60020649,187
60001555,186
60026306,186
60027161,185
60007200,185
60013791,184
60017563,184
60001157,182
60020486,182
60010023,181
60020416,181
60000689,181
60012937,181
60027509,180
60032114,180
60027282,179
60017777,179
60019499,178
60001344,178
60001989,177
60006385,177
60006288,177
60006762,177
60017161,176
60023020,176
60003381,175
60020680,174
60023004,173
60000145,172
60015277,171
60097093,171
60017336,171
60030931,169
60005281,169
60012556,167
60004718,167
60082964,166
60012317,165
60021600,163
60030118,163
60006876,162
60010586,162
60005322,162
60002092,162
60021519,161
60010374,160
60016529,160
60015618,160
60029616,160
60027053,160
60016653,160
60079887,159
60005837,159
60028186,159
60007257,159
60009500,158
60009037,158
60005518,157
60014569,157
60025153,156
60105915,156
60011666,155
60012345,155
60012018,155
60008158,155
60030551,154
60019615,154
60012754,154
60015815,153
60011766,153
60027512,153
60018179,153
60032420,153
60029428,152
60010850,152
60029418,152
60015216,152
60000239,151
60009788,151
60018029,150
60003088,150
60031970,150
60000291,150
60015186,149
60029526,149
60104653,149
60023222,148
60030623,147
60030398,147
60025534,147
60015881,146
60026245,146
60023578,146
60016987,146
60102125,145
60020469,144
60011604,144
60024941,144
60013314,143
60029150,143
60010910,142
60032144,142
60028378,142
60005286,141
60007740,141
60000483,140
60007843,140
60016261,140
60023695,140
60013829,140
60020315,139
60015197,139
60008323,139
60032882,139
60016561,139
60000964,139
60032445,138
60033316,137
60015615,137
60026748,137
60018735,137
60017366,136
60013756,136
60003443,136
60023588,135
60009415,135
60018363,134
60018491,134
60028229,134
60017134,133
60005208,133
60021578,133
60021859,133
60031437,133
60020329,132
60013141,132
60007567,132
60031745,132
60013780,132
60016173,131
60017059,131
60028900,131
60025553,131
60021508,131
60007762,130
60018861,130
60016418,130
60017317,130
60000986,129
60012957,129
60025371,129
60019953,129
60097094,129
60030846,129
60002162,128
60009968,128
60025278,128
60014077,128
60001524,128
60029358,128
60023927,127
60022175,127
60026906,126
60012954,126
60001361,126
60002644,126
60016605,126
60015765,126
60024007,126
60000209,125
60023868,125
60006564,125
60031040,123
60000990,123
60011264,123
60022119,123
60033235,123
60017488,123
60006455,122
60020337,122
60025310,122
60000297,122
60001512,121
60019595,121
60019000,120
112494260,120
60015527,120
60011418,119
60022020,119
60005745,119
60020413,119
60006475,119
60025576,119
60009796,119
60030222,119
60002717,118
60032256,118
60012831,118
60014054,118
60029622,118
60019118,117
60019868,116
60019984,116
60021561,116
60103673,116
60023998,116
60011754,115
60000635,115
60014966,115
60030480,115
60006894,114
60032724,114
60024724,114
60007267,114
60024099,114
60010146,114
60105857,113
60028970,113
60016924,113
60021361,113
60022109,113
60029470,112
60028590,112
60027245,112
60030788,112
60006130,112
60004518,112
60104546,111
60010237,111
60024629,111
60000356,111
60015457,111
60001673,111
60011149,110
60017311,110
60003158,110
60015658,110
60002573,109
60006027,109
60015622,109
60028950,109
60023471,109
60000087,109
60028652,109
60008693,109
60021568,109
60021191,109
60009358,108
60021097,108
60033420,108
60004179,108
60021331,108
60008088,108
60023681,107
60011226,106
60012804,106
60023477,106
60004935,105
60108488,105
60006514,105
60008772,105
60025843,105
60023462,105
60031699,105
60103681,104
60024978,104
60000179,104
60016416,104
60017592,104
60003212,104
60009114,104
60007033,103
60016218,103
60004591,103
60031069,103
60023018,103
60024399,103
60030807,102
60019619,102
60025685,102
60103368,102
60001681,101
60031701,101
60097308,101
60020633,101
60029411,101
60017672,101
60020599,101
60003545,100
60121115,100
60028628,100
60004437,100
60024784,100
60030315,100
60029833,100
60029507,99
60003303,99
60031293,99
60021143,99
60000764,99
60012820,98
60015879,98
60006925,98
60014982,98
60005036,97
60030635,97
60024746,97
60011447,97
60023882,97
60106017,96
60022068,96
60107402,96
60012227,96
60003122,96
60002442,96
60021439,96
60026108,95
60014300,95
60005711,94
60020943,94
60022132,94
60029950,94
60020536,94
60008578,93
60021285,93
60023456,93
60008644,93
60004219,93
60023247,93
60032057,93
60027016,93
60026638,92
60010971,92
60005245,92
60030769,92
60025525,92
60068629,91
60019207,91
60001769,91
60017412,91
60029961,91
60014264,91
60003828,91
60009999,91
60000112,91
60012370,91
60030569,90
60029644,90
60022778,90
60103695,90
60085312,90
60003526,90
60018163,89
60009963,89
60003214,89
60006929,89
60005686,89
60006832,89
60010806,89
60024052,88
60031984,88
60032333,88
60025141,88
60033387,88
60007828,88
60000945,88
60018150,88
60000854,88
60005141,87
60011394,87
60008827,87
60002787,87
60001997,87
60023254,87
60000060,87
60004091,87
60016081,87
60017866,87
60015356,87
60022313,86
60010651,86
60008155,86
60029010,86
60005099,86
60072445,86
60017724,86
60026610,86
60103653,85
60015205,85
60030816,85
60018691,85
60020195,85
60015595,85
60027152,85
60031331,85
60023208,84
60011951,84
60003003,84
60020565,84
60032328,84
60019356,84
60008592,84
60012786,83
60014754,83
60024690,83
60103898,83
60028419,83
60003674,83
60031888,83
60019012,82
60008221,82
60029896,82
60028673,82
60091945,82
60085927,82
60022871,82
60008870,82
60016667,82
60006404,82
60024613,82
60010307,82
60010818,81
60019970,81
60114686,81
60008877,81
60024623,81
60104289,80
60002476,80
60029329,80
60023091,80
60024805,80
60013609,80
60019141,80
60027314,80
60018246,80
60021243,80
60008293,79
60015331,79
60001359,79
60009253,79
60018783,79
60011832,79
60023256,79
60101699,79
60007977,78
60021435,78
60011641,78
60014662,78
60005038,78
60027386,78
60010491,77
60073598,77
60019160,77
60031706,77
60022577,77
60009860,77
60024541,77
60021814,76
60019598,76
60008760,76
60031376,76
60016912,76
60027485,76
60014221,76
60008279,76
60027671,75
60030440,75
60010758,75
60005610,75
60032280,75
60020828,75
60020152,75
60016648,74
60000891,74
60029472,74
60026209,74
60030288,74
60006263,74
60025960,74
60028131,74
60030637,74
60105315,74
60018926,74
60022785,73
60026678,73
60105861,73
60024590,73
60004862,73
60068683,73
60022522,73
60030210,73
60005667,73
60024621,73
60018306,73
60011092,73
60114755,73
60021120,73
60028236,73
60004969,72
60020595,72
60008042,72
60016247,72
60023064,72
60033241,72
60021523,72
60018869,72
60017041,72
60008107,71
60029857,71
60024610,71
60020739,71
60017697,71
60013936,71
60073757,71
60022165,71
60005708,71
60004762,71
60021722,71
60025879,71
60019909,71
60006070,70
60032895,70
60002634,70
60012464,70
60007971,70
60114260,70
60014211,70
60009941,70
60025370,70
60015112,70
60019544,69
60019870,69
60033389,69
60027863,69
60004803,69
60021293,69
60033284,69
60010337,69
60020745,69
60022457,69
60093234,68
60019967,68
60000731,68
60026810,68
60073385,68
60019656,68
60022286,68
60007249,68
60001526,67
60002838,67
60009885,67
60012408,67
60028088,67
60014756,67
60004708,67
60026479,67
60026405,66
60008201,66
60010499,66
60023561,66
60025187,66
60017216,66
60029652,66
60033011,66
60010719,66
60013346,66
60023643,65
60010756,65
60033154,65
60006681,65
60018922,65
60008743,65
60004956,65
60009852,65
60031106,65
60018741,65
60032702,64
60113483,64
60026489,64
60024728,64
60001293,64
60010987,64
60010803,64
60013999,64
60008032,64
60113231,64
60027213,64
60002975,64
60026717,64
60072454,64
60025528,64
60028556,63
60007798,63
60033010,63
60027673,63
60030469,63
60007474,63
60020583,63
60031624,63
60010853,62
60003531,62
60025702,62
60119937,62
60026877,62
60021763,62
60017252,62
60005723,62
60003970,62
60105860,62
60015916,62
60004333,62
60025597,61
60014416,61
60010571,61
60005469,61
60027919,61
60023599,61
60007902,61
60029607,61
60012284,61
60029346,60
60021660,60
60006321,60
60026125,60
60032259,60
60011840,60
60001805,60
60027970,60
60006866,60
60015272,60
60004853,60
60014090,60
60032633,60
60010269,60
60004764,60
60021895,60
60030616,60
60017018,60
60001212,60
60029627,59
60003280,59
60002765,59
60018353,59
60013671,59
60094746,59
60028586,59
60005935,59
60000661,59
60121686,59
60003878,59
60012113,59
60004109,59
60002561,59
60013871,59
60000445,59
60025765,59
60027486,58
60007067,58
60022144,58
60020273,58
60008780,58
60027844,58
60019473,58
60013425,58
60018319,58
60023147,58
60102128,58
60024252,58
60018429,58
60000673,57
60012162,57
60023392,57
60015891,57
60030640,57
60022653,57
60016576,57
60004572,57
60023653,57
60105810,57
60020908,57
60027576,57
60002414,57
60018873,57
60008023,57
60024997,57
60029685,57
60028458,57
60014789,57
60004305,57
60029991,57
60015165,56
60004093,56
60021624,56
60005398,56
60015670,56
60012413,56
60007677,56
60007056,56
60001970,56
60027811,56
60102127,56
60000460,55
60004638,55
60018043,55
60010088,55
60017323,55
60002959,55
60012387,55
60003410,55
60005892,55
60028925,55
60030742,55
60003261,55
60004017,55
60023242,55
60023317,55
60009389,54
60002900,54
60011765,54
60073745,54
60026559,54
60018644,54
60031155,54
60000948,54
60103899,54
60003873,54
60012219,54
60068575,54
60000514,54
60024438,54
60012286,53
60030035,53
60013430,53
60026273,53
60002873,53
60030372,53
60076515,53
60006541,53
60013223,53
60011125,53
60059987,53
60021902,53
60014551,53
60020301,53
60018425,53
60025029,53
60020418,53
60018020,52
60020261,52
60007896,52
60007541,52
60023621,52
60011044,52
60068856,52
60023008,52
60032023,52
60015300,52
60012281,52
60030619,52
60012662,52
60006793,52
60014036,52
60010062,52
60000809,52
60001754,52
60002947,52
60032143,52
60025856,52
60032890,52
60028502,52
60013722,52
60010266,52
60031913,52
60003872,52
60005510,51
60026227,51
60019230,51
60017031,51
60007904,51
60027155,51
60016621,51
60006583,51
60001649,51
60024334,51
60008768,51
60016809,51
60020468,50
60013881,50
60026712,50
60024492,50
60000461,50
60008492,50
60032270,50
60002798,50
60033012,50
60121438,50
60033293,50
60000666,50
60105856,50
60004339,50
60026929,49
60010426,49
60023131,49
60009831,49
60022746,49
60016296,49
60020852,49
60138417,49
60013369,49
60032515,49
60013530,49
60030495,49
60003675,48
60028599,48
60011576,48
60015206,48
60016983,48
60009009,48
60007951,48
60002878,48
60009550,48
60005035,48
60018008,48
60010574,48
60006179,48
60020454,48
60105859,48
60000036,48
60009165,48
60033252,48
60016744,48
60032572,48
60003218,47
60000383,47
60017511,47
60017622,47
60012028,47
60003780,47
60024973,47
60024353,47
60028476,47
60103680,47
60017344,47
60025779,47
60080790,47
60023403,47
60016686,47
60014059,47
60011173,47
60030813,47
60032330,47
60006899,47
60014582,46
60105917,46
60014521,46
60029025,46
60005076,46
60030834,46
60011347,46
60003615,46
60014925,46
60084305,46
60108318,46
60002783,46
60011132,46
60123796,46
60031979,46
60018988,46
60025163,46
60006433,46
60006089,46
60018916,46
60106782,46
60009647,46
60028263,46
60028842,46
60028124,45
60019163,45
60023955,45
60029931,45
60016691,45
60007711,45
60014311,45
60029830,45
60105938,45
60023890,45
60025149,45
60018395,45
60017837,45
60024433,45
60072523,45
60011019,45
60011779,45
60015639,45
60029570,45
60029158,45
60006974,45
60002391,45
60032116,45
60007816,44
60020484,44
60056249,44
60015682,44
60021255,44
60005415,44
60032211,44
60015900,44
60023359,44
60004716,44
60025200,44
60026838,44
60012191,44
60015153,44
60006795,44
60020585,44
60104819,44
60028287,44
60020623,44
60026473,44
60012558,44
60030514,44
60001097,44
60003160,44
60030674,44
60009189,44
60014168,44
60015986,44
60024666,44
60010861,43
60107334,43
60008978,43
60025639,43
60018279,43
60008905,43
60016240,43
60007554,43
60028629,43
60068680,43
60003742,43
60033199,43
60032151,43
60024779,43
60001844,43
60003579,43
60027631,43
60025028,43
60012445,43
60105919,43
60032991,43
60027142,43
60018140,43
60029653,43
60012542,43
60028381,43
60030522,43
60029230,43
60016417,43
60001565,43
60006424,42
60067083,42
60032655,42
60019226,42
60013629,42
60028311,42
60031564,42
60008308,42
60026571,42
60020562,42
60011664,42
60016969,42
60031576,42
60059360,42
60019463,42
60008197,42
60029701,42
60027800,42
60030236,42
60120610,41
60086312,41
60000758,41
60027057,41
60022944,41
60023970,41
60009225,41
60018917,41
60015159,41
60007974,41
60025965,41
60031804,41
60022821,41
60032610,41
60002793,41
60030966,41
60021478,41
60070034,41
60026530,41
60030184,41
60011993,41
60109235,41
60003498,41
60009016,41
60022015,41
60011976,41
60032706,41
60005890,41
60009657,40
60031135,40
60000705,40
60107350,40
60022851,40
60022355,40
60016726,40
60020167,40
60008524,40
60010869,40
60027009,40
60031115,40
60024240,40
60030451,40
60018058,40
60032651,40
60068815,40
60005246,40
60031636,40
60016622,40
60002794,40
60070183,40
60023517,40
60024695,40
60025066,40
60022002,40
60009175,40
60108337,40
60016379,40
60011170,40
60014965,40
60027766,39
60016421,39
60010578,39
60026829,39
60025016,39
60010414,39
60069636,39
60005200,39
60023428,39
60014349,39
60032215,39
60103484,39
60106220,39
60110965,39
60001522,39
60015859,39
60110942,39
60014441,39
60002354,39
60009780,39
60013703,39
60007061,39
60014383,39
60026777,39
60006679,39
60025340,39
60012468,39
60002775,39
60003342,39
60006830,39
60008250,38
60020492,38
60070174,38
60007514,38
60018710,38
60017536,38
60007651,38
60030588,38
60103459,38
116437658,38
60027004,38
60026556,38
60021931,38
60024614,38
60016372,38
60103639,38
60007988,38
60001972,38
60002058,38
60030553,38
60022904,38
