aff_id,occurrence
60000905,9629
60027363,9320
60008134,8331
60002746,7275
60016849,6359
60015682,5056
60026553,4312
60019499,4033
60016782,3915
60029929,3834
60001422,3814
60123796,3680
60014232,3608
60001604,3179
60025272,2813
60015481,2805
60010348,2665
60025038,2655
60069716,2631
60010365,2607
60031004,2549
60102125,2545
60025709,2489
60023691,2447
60027245,2348
60026851,2344
60019578,2243
60022195,2232
60025063,2163
60031101,2160
60013314,2136
60028333,2127
60012311,2116
60001576,2115
60005037,2086
60025858,2064
60025778,2063
60032499,2035
60030612,2022
60007174,1993
60022148,1978
60019778,1977
60004518,1968
60104665,1964
60002494,1952
60031806,1922
60015150,1920
60009507,1875
60033316,1860
60015543,1860
60012708,1858
60017161,1844
60030521,1837
60102126,1821
60027550,1818
60005247,1811
60009860,1781
60023578,1769
60013682,1762
60006297,1732
60002952,1730
60014966,1710
60003970,1700
60030318,1696
60028717,1645
60029622,1642
60106017,1635
60025084,1630
60009982,1619
60025278,1618
60011520,1606
60024322,1589
60016648,1577
60023020,1556
60014439,1550
60003500,1520
60002441,1516
60011001,1514
60007249,1474
60025111,1473
60005248,1472
60021199,1465
60032350,1454
60005429,1448
60016908,1446
60030162,1441
60030840,1422
60032114,1416
60021182,1392
60009512,1389
60003771,1367
60004156,1357
60005455,1346
60001117,1344
60032838,1341
60006988,1338
60032179,1337
60030835,1329
60017994,1319
60012614,1317
60014334,1289
60001255,1273
60028897,1262
60029170,1236
60018869,1232
60102127,1230
60003711,1225
60032724,1207
60023588,1202
60030319,1197
60029445,1196
60007363,1192
60013959,1184
60001602,1182
60026245,1178
60019793,1178
60025761,1175
60013141,1171
60104653,1171
60008724,1167
60010884,1160
60002573,1140
60015023,1137
60000656,1128
60017293,1113
60102124,1109
60029278,1102
60000481,1089
60020304,1088
60000221,1084
60019118,1080
60113147,1079
60031913,1071
60007774,1067
60019295,1057
60033100,1051
60032619,1051
60031031,1046
60012981,1042
60021600,1041
60027509,1030
60008734,1022
60008435,1019
60029616,1013
60015622,1008
60085099,1004
60002306,996
60020351,996
60001772,995
60028186,994
60019616,992
60007493,989
60016605,987
60103368,982
60007776,968
60002414,966
60001563,965
60003858,963
60108488,962
60000745,960
60012937,959
60002483,957
60001997,946
60031941,945
60029306,938
60007711,935
60017060,934
60000305,932
60003915,931
60003625,926
60073385,923
60018308,919
60006183,915
60007997,907
60029507,907
60010065,901
60007457,900
60000928,898
60001439,898
60017705,896
60012256,896
60019722,892
60138276,887
60025488,881
60019702,874
60017246,872
60015618,872
60014256,870
60016521,863
60001001,861
60024007,851
60025641,851
60030280,849
60024266,847
60030769,846
60030118,844
60009343,842
60073471,840
60022756,838
60103673,836
60105037,835
60027272,834
60006577,830
60006027,829
60007278,827
60017059,825
60024621,824
60016529,823
60019674,823
60028950,821
60028218,821
60018353,818
60000765,816
60011047,814
60020486,811
60014982,809
60026695,804
60016653,801
60020547,801
60009470,798
60005244,798
60019647,795
60030718,793
60031707,792
60027565,791
60003269,789
60009697,788
60002014,786
60027282,785
60006876,784
60001157,784
60085101,782
60007989,779
60021160,778
60026810,775
60013551,771
60013372,770
60014652,770
60011394,767
60027386,765
60002049,764
60031581,763
60002339,762
60015574,761
60012259,759
60016733,758
60073387,754
60004538,749
60011605,744
60073652,742
60031514,741
60029311,741
60031828,737
60032907,734
60026796,733
60027086,732
60004718,731
60006337,725
60003044,722
60009254,716
60026108,716
60030058,714
60021567,710
60087826,709
60013227,703
60027767,702
60009358,701
60019533,698
60021255,697
60005510,692
60000264,692
60025988,689
60026680,684
60016987,683
60025370,679
60024542,675
60023146,675
60104012,674
60026489,673
60028548,671
60009839,671
60011460,671
60000356,670
60020650,670
60024025,666
60005681,664
60002388,661
60010023,659
60019160,657
60031331,656
60021119,654
60011125,654
60028378,649
60078879,648
60006475,646
60007762,644
60001361,643
60021859,639
60032083,638
60013409,636
60025225,635
60012689,635
60029470,631
60000762,631
60006385,630
60011149,629
60015183,627
60011373,627
60004354,627
60108904,624
60028265,623
60026601,621
60009408,619
60021947,617
60018205,616
60032530,610
60027561,610
60005686,610
60028609,608
60008950,607
60012070,607
60015742,605
60014171,602
60009866,601
60030640,600
60032882,600
60014739,599
60102538,598
60009102,597
60004923,597
60012954,597
60030857,596
60026877,596
60102151,591
60016728,591
60015138,590
60005558,588
60002644,588
60021658,586
60121699,585
60024052,585
60082819,583
60024324,583
60006288,582
60027844,581
60015941,579
60016912,577
60029241,577
60012306,575
60013332,575
60019619,574
60018573,573
60014416,573
60029747,573
60023237,572
60027716,572
60025153,570
60021519,570
60102756,569
60104546,566
60002173,565
60026748,564
60032006,562
60029150,560
60025590,558
60014468,558
60025152,558
60028868,556
60033182,553
60020661,552
60030315,551
60031126,551
60098516,551
60011549,550
60007740,550
60000145,549
60032942,546
60000239,546
60000401,545
60018038,544
60024541,544
60022095,544
60021918,542
60016218,542
60015913,542
60021784,541
60005273,538
60026415,538
60011766,536
60010261,536
60023506,534
60031594,534
60023052,533
60030440,532
60003525,531
60005141,530
60085801,530
60001881,529
60025960,525
60079887,524
