aff_id1,aff_id2,occurrence
60002746,60029929,2742
60013314,60069716,2358
60000905,60001422,2189
60007174,60025038,2074
60002746,60016782,1954
60000905,60008134,1941
60001422,60008134,1837
60002746,60030521,1560
60019499,60027363,1502
60001255,60027363,1338
60016849,60030319,1289
60029622,60030280,1209
60003044,60011125,1208
60023146,60023588,1180
60006988,60031941,1155
60000905,60123796,1135
60016782,60032499,1133
60015682,60025272,1086
60020351,60031913,1071
60002746,60014334,1069
60000905,60028950,1041
60023578,60102126,1035
60012256,60073387,1034
60010348,60105037,939
60003625,60015481,920
60005247,60027550,898
60001422,60015622,887
60019793,60033316,871
60012311,60019295,868
60010348,60026108,853
60008134,60102124,832
60026553,60027468,828
60000905,60104653,819
60008134,60027245,788
60001772,60008134,748
60008134,60123796,723
60026553,60033129,710
60027767,60073390,703
60026489,60026553,680
60002173,60028897,680
60013141,60023052,671
60001563,60004518,665
60015574,60024266,661
60025370,60073385,654
60016849,60021600,635
60008134,60102125,633
60011001,60015682,633
60005037,60011766,628
60000656,60021119,628
60002746,60030058,614
60009860,60108904,613
60008134,60031594,608
60015682,60024322,607
60014334,60016782,606
60009102,60026553,601
60025761,60087294,595
60021182,60026383,589
60014468,60016849,589
60000905,60005711,586
60000905,60015622,578
60016849,60085801,574
60000905,60104665,572
60000656,60013682,567
60024252,60103673,564
60003915,60030769,563
60016849,60029150,562
60015765,60016849,551
60003525,60013314,550
60011447,60104653,545
60001001,60029929,545
60000221,60027716,545
60011339,60015023,539
60030612,60079887,536
60000905,60001772,529
60009507,60009657,524
60000905,60027386,524
60019793,60025063,517
60005037,60022119,517
60021255,60105391,516
60016782,60022195,507
60001001,60002746,495
60016648,60025272,491
60002952,60016987,491
60003711,60030118,482
60011549,60027363,475
60002441,60011641,472
60006894,60016849,470
60019722,60024007,470
60000905,60102126,463
60006297,60030118,462
60017483,60027363,453
60068693,60104012,453
60015742,60027363,448
60019778,60025205,445
60031594,60123796,438
60014982,60073386,437
60008134,60104665,437
60004828,60027363,437
60002494,60022165,433
60028084,60032838,427
60016908,60017059,426
60020469,60025111,426
60021564,60102125,424
60012614,60019619,422
60017724,60104665,422
60025778,60033182,421
60017994,60105857,419
60029278,60117873,416
60025063,60070034,416
60000656,60098516,416
60014739,60026695,414
60008134,60028950,413
60013682,60021119,409
60000905,60106017,407
60016433,60021326,407
60005610,60009507,404
60000905,60102125,402
60000905,60103368,401
60008134,60103368,401
60005037,60008870,401
60014416,60027509,399
60005429,60073385,399
60003711,60006297,394
60002194,60019905,393
60002058,60003500,391
60001422,60021567,389
60000905,60027245,386
60016849,60017829,386
60004346,60007249,383
60002952,60104546,380
60022778,60114715,380
60007997,60009343,378
60008724,60113147,377
60018150,60025709,377
60022195,60029929,375
60012981,60014232,375
60012708,60025590,374
60000928,60002339,373
60028950,60030857,369
60000905,60030857,366
60012708,60032838,365
60010348,60068729,362
60023882,60029616,361
60018910,60027363,360
60008134,60102127,360
60007493,60030465,358
60026601,60027363,358
60002441,60008978,354
60019578,60026553,352
60016849,60027016,351
60000445,60104665,350
60014205,60027363,350
60021182,60082502,349
60009102,60026489,348
60010884,60029991,345
60000905,60102127,343
60026877,60028950,343
60000905,60026221,341
60008134,60106017,338
60004156,60084278,337
60009860,60066010,335
60008014,60019578,334
60015481,60031866,332
60005245,60026553,330
60031913,60073391,329
60014773,60027363,327
60027245,60123782,325
60027386,60106017,325
60016849,60017018,325
60026311,60027363,325
60002773,60028333,324
60000905,60023578,323
60001604,60009860,323
60000905,60011447,321
60002414,60015682,320
60017293,60113231,319
60001117,60006183,318
60022773,60028333,317
60010365,60028379,316
60002746,60015527,314
60023691,60105915,314
60030857,60123796,312
60006876,60025765,311
60030318,60114755,311
60023681,60113147,309
60011047,60015682,307
60026877,60123796,306
60024007,60028717,306
60027363,60029608,306
60015682,60016648,306
60017622,60027363,305
60014205,60019499,303
60000905,60021567,302
60016849,60027817,302
60021600,60027817,300
60008768,60016849,299
60012954,60016622,299
60007249,60013435,297
60008760,60011170,296
60003280,60017059,296
60025063,60031069,296
60002746,60022195,294
60017161,60026680,294
60028609,60029278,292
60000445,60000905,291
60012614,60025858,291
60000905,60108488,291
60019163,60028950,290
60002573,60026278,290
60017412,60030440,289
60013625,60027363,289
60007363,60013227,289
60003344,60019578,289
60025029,60031004,289
60001576,60010814,286
60000481,60110942,285
60005247,60016173,285
60019793,60026810,285
60002612,60025858,284
60066010,60108904,284
60018573,60105859,284
60019578,60033409,284
60027363,60027470,284
60026553,60110201,282
60000076,60003500,282
60005857,60025160,280
60009622,60082964,278
60016849,60019991,277
60013305,60023691,277
60010884,60026135,276
60002414,60014256,273
60029306,60080982,272
60010365,60015670,272
60032530,60112090,270
60002746,60032499,269
60005851,60104653,269
60005518,60011520,268
60014077,60029170,268
60006337,60020304,266
60009839,60030835,266
60001801,60028333,266
60023970,60106700,265
60019778,60033316,264
60004437,60025709,263
60023970,60085092,262
60001421,60023222,261
60005830,60102124,260
60085099,60105961,259
60002746,60009982,259
60005247,60105856,259
60008134,60015622,258
60006377,60016849,258
60030929,60031806,258
60023506,60085099,255
60000905,60026040,254
60028435,60031004,254
60013148,60016691,254
60015591,60019160,253
60008134,60024652,253
60001604,60017060,252
60021016,60027363,252
60023691,60025038,250
60003625,60028548,250
60024285,60026680,250
60019163,60123796,250
60016782,60029929,249
60015682,60024621,248
60012357,60102126,248
60006988,60072429,248
60005247,60016081,247
60002494,60028492,247
60000305,60021160,245
60024652,60027386,245
60013551,60087826,244
60000305,60021578,244
60027363,60073523,244
60016849,60111032,244
60026125,60032724,244
60010365,60086967,243
60012662,60022148,242
60014232,60023691,242
60021660,60032350,242
60025709,60026571,242
60027466,60031276,241
60009512,60031564,241
60026040,60028950,241
60028950,60031594,240
60006564,60030840,240
60011605,60027565,240
60017705,60087826,240
60006974,60025709,239
60007067,60030318,239
60026851,60099539,239
60024805,60025641,239
60008134,60030640,239
60027363,60028965,237
60024960,60027245,237
60000905,60102124,236
60014232,60015543,236
60007174,60102796,236
60004135,60008134,234
60023691,60029881,234
60026553,60103600,232
60083600,60108488,232
60011975,60072397,232
60009037,60031581,231
60008435,60015682,230
60017161,60106371,230
60025960,60104012,230
60016521,60073509,230
60019118,60089931,230
60008134,60112045,230
60002573,60016529,229
60024629,60026245,229
60004803,60007740,229
60012937,60019778,228
60008236,60106031,227
60009982,60022195,226
60001422,60009907,225
60001422,60026040,225
60026748,60031828,224
60000481,60073808,224
60007895,60018869,224
60014256,60015682,224
60012357,60023578,224
60020475,60094395,224
60010814,60030315,224
60005248,60006183,224
60000905,60005851,224
60102126,60108294,223
60007774,60016653,223
60007746,60018353,223
60018704,60027363,222
60000905,60031594,222
60003970,60073471,221
60023506,60032942,220
60005037,60015234,220
60011605,60029358,220
60001576,60001602,219
60028218,60114720,219
60009982,60016782,219
60003003,60114762,218
60015941,60027155,218
60010261,60022756,218
60025553,60032179,218
60027086,60105917,217
60000905,60024652,217
60025152,60030440,216
60008134,60032530,216
60025153,60107402,215
60005455,60017994,215
60009507,60022488,214
60008134,60023578,214
60016733,60032702,213
60029358,60030162,213
60023578,60108294,213
60026040,60123796,213
60001604,60011715,212
60002864,60004518,212
60027856,60104285,212
60008134,60104653,212
60005830,60027245,211
60000239,60026285,211
60001576,60030315,210
60028048,60032006,210
60002494,60006558,209
60021947,60024609,209
60020129,60102124,209
60009963,60026405,208
60000245,60104665,207
60000905,60028048,206
60024899,60028690,205
60012937,60013703,205
60028690,60102127,205
60005667,60102126,205
60001422,60014254,204
60021600,60030319,204
60001361,60026906,204
60016638,60032530,204
60023578,60108296,204
60027502,60069716,203
60085092,60106700,203
60000905,60024960,203
60008134,60102126,201
60006297,60014232,201
60007249,60028845,201
60014997,60027245,201
60001522,60026553,201
60015682,60025997,200
60019793,60070023,200
60016782,60030521,200
60018922,60028548,199
60023506,60105961,198
60006337,60024997,198
60001604,60014966,198
60004156,60103361,197
60003237,60016987,197
60013682,60098516,197
60004354,60008023,197
60015183,60020565,197
60016849,60023022,197
60010348,60068728,196
60006899,60019578,196
60002049,60023579,196
60005510,60118451,195
60008693,60016733,195
60000905,60046714,195
60001422,60028950,195
60007816,60008134,194
60002476,60027005,194
60023020,60023506,194
60007567,60013959,194
60001117,60005248,194
60002780,60016849,193
60030713,60031810,193
60014334,60032499,193
60011024,60103368,192
60001361,60015543,192
60000905,60022785,191
60006027,60010023,191
60022084,60029543,191
60015481,60018922,191
60005087,60026553,191
60002946,60012464,190
60015682,60031126,190
60009982,60029929,190
60004518,60032057,189
60002746,60003828,189
60004965,60011828,189
60010571,60089816,188
60006511,60027550,188
60010971,60011666,188
60004935,60011901,188
60019118,60019499,188
60000905,60026877,188
60000905,60018317,188
60021523,60029701,187
60000145,60019778,187
60001576,60002016,187
60009408,60017777,186
60032530,60112195,186
60028868,60113665,186
60079887,60121686,186
60005037,60005681,186
60013255,60029507,186
60027363,60029862,186
60000905,60019163,185
60005455,60105857,185
60023773,60032350,184
60019356,60022195,184
60102124,60112045,184
60002645,60030612,184
60002952,60003237,184
60005384,60032215,183
60017293,60159407,183
60005711,60011675,183
60017018,60085801,182
60012754,60031101,182
60025084,60082819,182
60010337,60017166,182
60002401,60016849,182
60008134,60138276,182
60005711,60022785,182
60021836,60027363,182
60008666,60012553,181
60004179,60007478,181
60006108,60024322,180
60027363,60102074,179
60004603,60032922,179
60014416,60032350,179
60010065,60020301,179
60016728,60016912,178
60000264,60015682,178
60000058,60029238,177
60010884,60030222,176
60027663,60104665,176
60015481,60028548,175
60009452,60018691,175
60022415,60105014,174
60027363,60031150,174
60102125,60106891,174
60014966,60073471,174
60018471,60028897,174
60017161,60030743,174
60029507,60072518,174
60001001,60016782,174
60006977,60010884,173
60000096,60031806,173
60015543,60026906,172
60023955,60031106,172
60001117,60021212,171
60012018,60015543,171
60006588,60027363,171
60021519,60029251,170
60013902,60084278,170
60012486,60023020,170
60025709,60028333,170
60001576,60032907,170
60008970,60024285,170
60027509,60114688,170
60017293,60021199,169
60025702,60028333,169
60009697,60010548,169
60017954,60103735,168
60000305,60018425,168
60025066,60106700,168
60023970,60025066,168
60010348,60011916,168
60023254,60026851,167
60027675,60031699,167
60015682,60103898,167
60028048,60033051,167
60021160,60032732,167
60014232,60025488,167
60005429,60025370,166
60008435,60019207,166
60006337,60020444,166
60026553,60032679,166
60025553,60073942,165
60030612,60086300,165
60001117,60028925,165
60012708,60028084,164
60028548,60031866,164
60106017,60106085,164
60020129,60027245,163
60030506,60030640,163
60014652,60015682,163
60008134,60112090,163
60032619,60079127,163
60015627,60032114,163
60002494,60030616,163
60000905,60027946,163
60020195,60025858,162
60005711,60021374,161
60025778,60105937,161
60020124,60027245,161
60016849,60030951,160
60006121,60069716,160
60016605,60034459,160
60084007,60102127,160
60008134,60108488,160
60001604,60073471,160
60029929,60032499,160
60013430,60018317,159
60002900,60005711,159
60021561,60028717,159
60027565,60030162,159
60001997,60008734,159
60001524,60029857,159
60001576,60104011,159
60020086,60025858,159
60020048,60030835,158
60010365,60011393,158
60000614,60001997,158
60016357,60032907,157
60011447,60016067,157
60031218,60102126,156
60016340,60019778,156
60028265,60088961,156
60016849,60109427,156
60001780,60023578,155
60018084,60108294,155
60009512,60015153,155
60000905,60032215,154
60004718,60009963,154
60002339,60105810,154
60006130,60006762,154
60025898,60031806,154
60011520,60028884,154
60020880,60027363,154
60002092,60012284,154
60019778,60026810,154
60013959,60014232,154
60009189,60015277,153
60000905,60030640,153
60002494,60012270,153
60002494,60018916,153
60018317,60027386,153
60023020,60085101,153
60020859,60032653,153
60005711,60008134,153
60018363,60114764,153
60031773,60108488,153
60000291,60028717,153
60011916,60029622,153
60029507,60117395,153
60008583,60018353,153
60024832,60030495,153
60025258,60031004,152
60015639,60032619,151
60000905,60005667,151
60008693,60032702,151
60000179,60001422,150
60025104,60033317,150
60009788,60024324,150
60029507,60074072,150
60030612,60121548,149
60005246,60016733,149
60021523,60022015,149
60084331,60103674,149
60033021,60102515,149
60138276,60138730,149
60006121,60027767,149
60016067,60104653,149
60000928,60025315,149
60016648,60024322,148
60023020,60032907,148
60012259,60114686,148
60032619,60085217,148
60001422,60123796,148
60026040,60030857,147
60020304,60023053,147
60001604,60026383,147
60026810,60069985,147
60015165,60021519,146
60022785,60123796,146
60012957,60105861,146
60005789,60010365,146
60025597,60117873,146
60021199,60022778,146
60001602,60033320,146
60014277,60027363,146
60005247,60006511,145
60001576,60025847,145
60003208,60031004,145
60018084,60102126,145
60004853,60018429,145
60023691,60028776,145
60019499,60103519,144
60011675,60123796,144
60027245,60102124,144
60005247,60029270,144
60020315,60025758,144
60005708,60015543,144
60009358,60026559,144
60000905,60002900,144
60030318,60030442,144
60007363,60028609,144
60001604,60025761,143
60008155,60011226,143
60007249,60027821,142
60005037,60022851,142
60002494,60111763,142
60000905,60020315,142
60008134,60010578,142
60011605,60030162,142
60024812,60027811,141
60000905,60012357,141
60000905,60011675,141
60009408,60027086,141
60009507,60013278,141
60000905,60032006,140
60109922,60110206,140
60002878,60009507,140
60104665,60107834,140
60001898,60025160,139
60021605,60069716,139
60015682,60025017,139
60027363,60028797,139
60001844,60007267,139
60028897,60085927,138
60020804,60107658,138
60104665,60107808,138
60018084,60023578,138
60014334,60030521,137
60029929,60097350,137
60008134,60026221,137
60017488,60031101,137
60024899,60102127,137
60006475,60024890,137
60024324,60105924,136
60002746,60009470,135
60002049,60026991,135
60024876,60030318,135
60015682,60119339,135
60008134,60008310,135
60024890,60030769,135
60001001,60009982,135
60000905,60021564,135
60004135,60021963,135
60002388,60024099,134
60003915,60024266,134
60085101,60104011,134
60018805,60026553,134
60000076,60032497,134
60022486,60031806,133
60016728,60095571,133
60000291,60024007,133
60029833,60030288,133
60012937,60070023,133
60102125,60106902,132
60004261,60108473,132
60001772,60005711,132
60025709,60029482,132
60003102,60007249,132
60001344,60015849,132
60020044,60027363,132
60001997,60013243,132
60110693,60110695,131
60009507,60031078,131
60011635,60028897,131
60005037,60028236,130
60011520,60029685,130
60011001,60119339,130
60008134,60011447,129
60009512,60031846,129
60024052,60102533,129
60018614,60027363,129
60000905,60032530,128
60007324,60089787,128
60027561,60074459,128
60002339,60025315,128
60008134,60110693,128
60013227,60017031,127
60017060,60073471,127
60021600,60085801,127
60000928,60105810,127
60006564,60013332,127
60015618,60019816,127
60010491,60020462,127
60014739,60092486,127
60007997,60022875,126
60010814,60104561,126
60017777,60027086,126
60005857,60030662,126
60017246,60022653,126
60001590,60007363,126
60102126,60108348,126
60004348,60007249,125
60067083,60083336,125
60015296,60028333,125
60006385,60022386,125
60013409,60024492,125
60002435,60002952,125
60001861,60024144,124
60001001,60014334,124
60014439,60072478,124
60001052,60026553,124
60001576,60085100,124
60025028,60028352,124
60007828,60009084,123
60021199,60030318,123
60028993,60123796,123
60026680,60095034,123
60006475,60030769,123
60033316,60068590,123
60029906,60104201,122
60005429,60113259,122
60001997,60015618,122
60000905,60107808,122
60008134,60032006,122
60016987,60104546,122
60003212,60011533,122
60033182,60105937,122
60028717,60136274,122
60007774,60025310,122
60015331,60026208,121
60008724,60023681,121
60006988,60010037,121
60019499,60022598,121
60017954,60027856,121
60029310,60073471,121
60007008,60079864,121
60019499,60020259,121
60022174,60027767,121
60017161,60024285,120
60001602,60023020,120
60030640,60105765,120
60005273,60025960,120
60000905,60004689,120
60019953,60030943,120
60012306,60114687,120
60000260,60028333,120
60027946,60032215,120
60026245,60030619,119
60000905,60001861,119
60007249,60020432,119
60102125,60106839,119
60023020,60028462,119
60015682,60019207,118
60032907,60032942,118
60024144,60102127,118
60029411,60030318,118
60008658,60024025,118
60008134,60028690,118
60032942,60085099,118
60027245,60112045,118
60006156,60027056,118
60015150,60020416,118
60027452,60030521,118
60032006,60105569,118
60006463,60024541,117
60008800,60009647,117
60010987,60020486,117
60009022,60009507,117
60027452,60029929,117
60102126,60108296,117
60028717,60029010,117
60029622,60117116,117
60019499,60025084,117
60012310,60019499,117
60001602,60026796,116
60029621,60123796,116
60006221,60026415,116
60008134,60016067,116
60012553,60013099,116
60026695,60092486,116
60003302,60019499,115
60021199,60032350,115
60015150,60111785,115
60003915,60006475,115
60016605,60045994,115
60001576,60102755,115
60003742,60015543,115
60032063,60032838,115
60009861,60025778,115
60006988,60017511,115
60022430,60031155,114
60022598,60027363,114
60030315,60085100,114
60027363,60028423,114
60000179,60008134,114
60025111,60025488,114
60017246,60084331,114
60004518,60009264,114
60016261,60022482,114
60001001,60022195,114
60031101,60121115,114
60024245,60106047,114
60006385,60018701,114
60010365,60027009,113
60001576,60011805,113
60008134,60020315,113
60009445,60012772,113
60012256,60072386,113
60014222,60016005,113
60009697,60014191,113
60002476,60014232,113
60020315,60102124,113
60025703,60032962,113
60032350,60084996,113
60001604,60031031,113
60027386,60106085,113
60102127,60107039,112
60013829,60024322,112
60001255,60019499,112
60005711,60005915,112
60025703,60053227,112
60013305,60031741,112
60032179,60073942,112
60017161,60095034,112
60014441,60023588,112
60013402,60014014,112
60007249,60036740,112
60007895,60070744,112
60000905,60009907,112
60015913,60025341,111
60008134,60105781,111
60016529,60024516,111
60021918,60030846,111
60000964,60016829,111
60000905,60017969,111
60006288,60017951,111
60029937,60106085,111
60009512,60033173,111
60004689,60008134,111
60027363,60117406,110
60000905,60031810,110
60018869,60070744,110
60001422,60105758,110
60005884,60019578,110
60001604,60019533,110
60005547,60027090,110
60019674,60022386,110
60021523,60033235,110
60019578,60031004,110
60008134,60105569,110
60001001,60032499,110
60008134,60024899,110
60006646,60030318,110
60001576,60078879,110
60014232,60030769,110
60016218,60031471,110
60019544,60105847,109
60003335,60029937,109
60002306,60007140,109
60005248,60028925,109
60008134,60032215,109
60002900,60123796,109
60000765,60029931,109
60015183,60029311,109
60016253,60102126,109
60006022,60029961,109
60000905,60005384,109
60017705,60032203,109
60007514,60032724,109
60002014,60003858,109
60008134,60019163,109
60002173,60085927,109
60073471,60073697,109
60001422,60004689,108
60017161,60031198,108
60027550,60101299,108
60010365,60012171,108
60008134,60104289,108
60000905,60031276,108
60000245,60000905,107
60003915,60010138,107
60004518,60005497,107
60005429,60092849,107
60010365,60083641,107
60004923,60025111,107
60003500,60090016,107
60000905,60031773,107
60002246,60027363,107
60013845,60030506,107
60072386,60073387,107
60017018,60021600,107
60013255,60032882,107
60014232,60016782,107
60014966,60103141,106
60017815,60033316,106
60011460,60017777,106
60019118,60026316,106
60015199,60030840,106
60005037,60029655,106
60000762,60026245,106
60000245,60000445,106
60028287,60074270,106
60000245,60017724,106
60006723,60007903,106
60001602,60026312,106
60030506,60105765,106
60019953,60022148,105
60002746,60027452,105
60027565,60029358,105
60004518,60021056,105
60001604,60018038,105
60005248,60021212,105
60000762,60025182,105
60020407,60021947,105
60002746,60003872,105
60008134,60101845,105
60009448,60104665,105
60024652,60106085,105
60006240,60032624,105
60017969,60103368,105
60002441,60015023,105
60022632,60031004,104
60016782,60105918,104
60002016,60085101,104
60032489,60033320,104
60004803,60011951,104
60009470,60022195,104
60015543,60029883,104
60007278,60105938,104
60019595,60033199,104
60016660,60025778,104
60016987,60020766,104
60017161,60106367,104
60002746,60014232,104
60018869,60026125,104
60012259,60070526,104
60003915,60024890,104
60002494,60009507,104
60000905,60010578,104
60020606,60104289,104
60028061,60028333,104
60002414,60014652,104
60009982,60020680,104
60005429,60025340,104
60008134,60017969,104
60028218,60029091,103
60007278,60010861,103
60027381,60032530,103
60007989,60015205,103
60025234,60069744,103
60011170,60110656,103
60024285,60095034,103
60022417,60068696,103
60002952,60032398,103
