aff_id,occurrence
60000905,8295
60027363,8117
60008134,5750
60015682,5531
60002746,5200
60016849,4806
60026553,3094
60014232,3028
60019499,3011
60025272,2895
60029929,2781
60001422,2745
60016782,2737
60123796,2257
60025038,2209
60001604,2155
60015481,2043
60027245,2009
60025709,2002
60010365,1963
60023691,1938
60010348,1934
60022195,1772
60025778,1688
60031004,1650
60069716,1650
60030612,1586
60026851,1579
60007174,1567
60002494,1562
60012311,1560
60025063,1559
60028333,1546
60104665,1540
60011001,1504
60004518,1504
60009507,1493
60030521,1491
60102125,1491
60025858,1489
60023578,1484
60031101,1483
60005247,1479
60015150,1474
60027550,1466
60022148,1463
60006297,1432
60032499,1429
60016648,1399
60024322,1392
60005037,1386
60013682,1380
60002952,1377
60013314,1340
60102126,1335
60001576,1334
60015543,1329
60028717,1328
60017161,1327
60014966,1312
60033316,1307
60014439,1296
60030318,1295
60019578,1295
60012708,1290
60106017,1287
60003970,1271
60029622,1269
60025278,1227
60021199,1208
60002441,1189
60016908,1187
60025084,1182
60032350,1178
60003500,1167
60009982,1155
60009860,1155
60031806,1118
60008435,1080
60005429,1076
60026245,1045
60004156,1038
60029445,1035
60009512,1034
60030835,1032
60032179,1032
60013959,1027
60025111,1022
60005248,1022
60030162,1017
60017994,991
60024621,986
60102124,980
60023020,977
60010884,976
60032838,972
60032114,964
60030840,964
60001255,961
60104653,958
60027509,954
60019793,951
60021182,947
60030319,938
60003771,932
60028897,926
60001117,924
60011520,920
60007249,915
60005455,913
60018869,909
60029170,903
60012614,896
60033100,890
60008724,880
60016605,873
60113147,867
60032724,859
60014334,855
60013141,849
60003858,845
60000481,827
60020304,825
60031913,822
60000745,814
60017293,810
60019295,807
60015023,804
60010065,796
60007363,790
60108488,789
60020351,781
60019118,779
60012981,779
60000928,775
60000221,774
60001997,771
60029278,766
60001602,764
60012256,760
60001439,759
60085099,750
60007776,747
60002414,745
60025488,743
60028218,741
60028186,739
60029616,739
60014256,731
60032619,730
60012937,727
60021600,726
60009470,718
60031581,718
60017060,715
60003625,714
60025761,711
60019616,710
60019674,709
60007278,708
60006027,707
60014652,704
60028950,701
60002573,698
60008734,697
60002306,697
60019722,692
60000656,691
60007774,688
60031126,686
60016529,686
60003711,686
60007493,684
60006337,682
60027272,681
60002483,681
60002014,677
60031031,676
60001563,673
60073385,672
60018308,668
60030280,667
60000305,665
60009839,659
60022778,656
60029507,654
60015622,653
60020486,652
60019702,646
60073387,646
60007711,645
60006183,645
60017246,642
60016987,641
60027086,638
60103368,638
60014416,638
60031514,636
60011047,636
60025641,635
60000765,633
60004538,632
60085101,630
60002339,628
60009697,626
60029306,625
60007989,624
60009408,614
60001772,612
60021859,609
60003915,607
60000264,607
60016653,604
60024007,601
60026108,600
60015618,600
60005244,600
60020547,599
60031828,598
60032882,597
60026796,596
60013551,594
60022756,593
60006988,591
60030718,585
60007997,584
60013227,582
60013372,582
60011605,580
60002049,577
60017059,574
60006385,572
60024266,572
60138276,572
60073652,572
60007457,569
60024025,567
60104546,565
60029311,565
60018353,556
60012259,555
60102127,555
60103673,554
60029241,554
60015574,553
60003269,552
60028378,547
60027767,542
60004718,539
60015742,537
60019647,536
60023588,535
60028548,535
60021160,533
60006876,532
60026601,531
60009254,531
60000356,530
60013409,530
60020650,530
60032907,529
60006288,527
60017705,524
60031707,524
60001361,522
60026877,522
60016521,521
60009343,519
60005681,515
60030058,515
60025988,514
60026695,512
60014468,512
60021255,511
60014739,509
60014982,508
60021523,508
60027386,507
60016912,507
60012689,507
60004828,507
60028868,506
60002388,504
60021947,502
60027561,501
60000401,500
60028265,499
60001157,498
60025370,498
60114715,498
60001001,496
60006577,495
60023237,494
60079887,493
60011125,489
60010023,488
60002644,488
60021918,485
60010146,484
60015183,484
60031331,484
60004354,484
60021119,483
60019533,482
60009102,481
60021784,479
60003044,478
60011394,478
60012070,478
60017777,477
60021567,476
60027282,476
60007740,474
60016733,474
60030118,473
60004923,468
60008950,465
60006173,464
60007762,464
60012954,463
60019595,463
60026489,463
60025225,459
60011373,459
60029747,457
60019619,457
60012306,457
60032083,456
60025153,456
60031941,454
60018038,453
60003892,452
60017622,452
60031216,450
60009866,450
60006762,449
60010261,448
60005686,448
60082819,447
60102756,446
60024542,446
60018363,445
60024052,444
60018029,444
60007103,444
60085100,441
60026748,439
60003525,435
60017412,434
60018205,433
60024324,430
60031594,430
60001490,429
60026680,427
60021519,427
60007903,425
60013243,425
60102538,425
60019778,422
60031040,421
60027565,420
60024541,420
60029358,417
60015138,417
60068729,415
60002173,414
60003003,414
60018573,412
60078879,410
60011549,409
60029470,408
60026810,408
60033182,407
60011460,407
60023222,405
60016437,404
60119141,404
60019953,403
60009796,403
60002194,402
60000964,402
60012370,400
60005141,396
60070034,396
60082964,396
60030640,395
60087826,395
60104201,393
60006564,391
60025997,390
60030315,390
60022119,389
60015913,389
60015941,389
60024609,388
60005558,388
60022095,388
60011149,387
60009037,386
60005273,386
60032530,386
60001881,386
60023052,385
60009358,384
60029150,383
60105857,383
60032942,383
60073390,383
60023380,382
60026415,381
60017018,381
60008155,380
60016809,378
60032006,378
60015197,377
60020661,376
60084278,375
60025152,375
60001524,374
60022386,374
60018150,373
60019160,372
60025590,371
60024652,370
60030440,370
60027675,369
60020195,368
60030857,365
60098516,364
60011604,364
60103653,363
60014171,361
60023882,360
60030769,360
60005322,359
60002476,358
60032356,358
60023813,356
60008760,355
60013332,354
60028609,354
60017483,353
60015849,351
60025960,351
60000762,350
60025310,350
60000239,350
60021121,350
60016728,350
60010432,350
60012553,346
60027716,345
60011447,344
60031041,344
60105856,344
60015765,343
60020680,342
60019905,342
60027271,342
60000145,341
60005510,341
60014205,340
60033129,339
60000874,339
60025066,338
60023681,338
60006164,336
60005286,336
60028421,336
60102151,335
60018273,334
60026040,334
60005711,334
60085801,334
60016005,334
60105915,333
60021660,332
60003303,332
60033021,332
60008042,332
60012820,332
60027631,332
60027161,332
60016218,332
60011766,330
60020337,329
60104012,327
60021658,327
60113665,326
60010586,325
60032144,324
60002634,323
60005036,323
60028084,322
60012957,321
60013756,321
60073471,321
60000297,320
60007324,319
60009963,319
60026827,318
60013791,318
60110693,318
60009226,318
60019163,317
60027165,317
60027152,316
60014653,316
60018491,316
60021561,314
60015658,313
60031226,312
60002787,311
60031106,310
60114764,310
60105037,309
60025160,308
60014313,307
60031810,307
60027856,306
60025553,306
60017311,306
60001873,306
60004956,305
60020599,304
60002838,304
60023053,303
60023998,303
60012357,303
60015527,303
60011641,302
60009424,302
60026125,301
60019207,301
60014264,299
60020469,299
60082502,299
60012018,299
60027090,298
60027950,298
60002058,297
60110201,296
60017134,296
60091945,295
60007895,295
60023256,295
60007267,295
60024997,294
60018362,293
60022659,293
60023143,292
60028048,292
60012345,292
60023695,292
60017511,290
60030931,290
60011339,289
60005837,289
60012556,289
60027314,288
60027811,288
60023970,287
60000986,286
60010037,286
60021763,286
60028229,285
60009657,285
60020044,285
60025234,285
60102755,285
60015356,284
60032442,284
60011019,283
60016835,283
60024885,281
60014569,280
60020475,280
60010814,280
60029738,279
60015277,279
60023004,279
60026571,277
60018319,276
60015875,276
60114762,276
60007746,275
60029896,275
60006121,275
60017724,275
60010571,274
60030553,274
60023506,274
60027817,274
60019984,273
60012227,273
60029681,273
60078684,273
60085102,272
60018701,272
60012486,271
60025029,271
60027470,271
60007592,270
60024045,270
60014773,269
60012662,269
60027512,269
60028900,269
60013789,268
60121686,268
60015186,267
60021902,267
60011226,267
60013255,266
60026175,266
60013983,266
60011664,265
60021200,265
60023579,265
60006019,264
60005610,264
60023009,263
60026906,263
60089931,263
60030807,263
60002092,262
60029991,262
60000990,261
60004803,261
60011069,261
60008928,260
60027016,260
60006475,260
60029543,259
60008088,259
60110942,259
60008023,259
60016173,258
60018429,258
60009788,258
60019816,257
60009622,256
60070172,256
60001565,256
60010307,256
60033051,256
60017829,256
60105391,255
60005465,254
60012464,254
60018208,254
60010953,253
60003122,253
60031699,252
60024941,252
60027844,252
60002769,252
60006222,252
60001861,251
60033420,251
60021016,251
60033125,250
60031863,250
60068856,249
60021326,249
60022422,249
60007566,248
60016433,248
60007511,248
60015815,248
60019544,248
60022403,248
60030788,247
60009999,247
60006894,247
60029251,247
60019870,247
60031069,246
60020633,245
60068693,245
60024812,245
60023955,245
60029937,245
60028965,244
60025703,244
60016418,243
60022785,243
60030398,242
60013402,242
60031866,242
60002773,242
60009415,242
60023462,242
60020828,241
60010719,241
60032955,241
60008014,241
60121699,241
60014059,240
60024252,240
60006925,240
60031150,240
60007995,240
60013625,239
60014077,239
60032633,239
60000445,239
60003156,238
60023254,237
60003828,236
60029242,236
60031846,235
60073509,235
60004346,234
60008073,233
60018310,233
60029526,232
60024629,232
60020129,232
60006130,232
60010499,232
60017697,232
60011715,232
60003088,231
60032987,230
60121115,230
60032702,229
60023146,229
60021564,229
60029857,229
60018704,229
60020829,229
60005517,229
60025187,228
60026135,227
60001801,227
