aff_id1,aff_id2,occurrence
60002746,60029929,1109
60007174,60025038,945
60002746,60016782,790
60015682,60025272,756
60016849,60030319,697
60013314,60069716,665
60016782,60032499,598
60015682,60024322,553
60002746,60014334,486
60005037,60011766,480
60002746,60030521,477
60015574,60024266,471
60005247,60027550,448
60003625,60015481,442
60002746,60030058,421
60011001,60015682,394
60010884,60029991,394
60015682,60024621,340
60005037,60022119,337
60030612,60079887,331
60012311,60019295,330
60025370,60073385,313
60023691,60105915,304
60005558,60026829,302
60026489,60026553,295
60025778,60033182,290
60003711,60006297,288
60005247,60105856,281
60002194,60019905,281
60006894,60016849,280
60016849,60021600,271
60016849,60029150,270
60013682,60021119,269
60017622,60027363,266
60014739,60026695,260
60002441,60011641,258
60000656,60021119,258
60007363,60013227,256
60029622,60030280,251
60014334,60016782,246
60025063,60070034,244
60002952,60016987,243
60014468,60016849,240
60019499,60027363,240
60015682,60031126,239
60003525,60013314,237
60009866,60028421,231
60008768,60016849,230
60024621,60025272,229
60014416,60027509,223
60015765,60016849,222
60002952,60104546,222
60000264,60015682,219
60001117,60005248,218
60020469,60025111,216
60003711,60030118,213
60005037,60008870,212
60002058,60003500,209
60001255,60027363,208
60002746,60032499,207
60008435,60015682,207
60026601,60027363,206
60014652,60015682,206
60024252,60103673,202
60026553,60110201,200
60000656,60013682,198
60011605,60029358,198
60028084,60032838,198
60010365,60015670,195
60021947,60024609,195
60006321,60028116,194
60011605,60030162,191
60015481,60031866,191
60005455,60017994,186
60017412,60030440,185
60002573,60016529,184
60018150,60025709,184
60010365,60027009,183
60005248,60006183,183
60005247,60016173,181
60016849,60023022,180
60016849,60027016,180
60016849,60017018,178
60002173,60028897,178
60020351,60031913,177
60006027,60010023,177
60004346,60007249,176
60008760,60014090,174
60016733,60032702,174
60005247,60016081,173
60007567,60013959,170
60026748,60031828,168
60011339,60015023,167
60007895,60018869,166
60001524,60029857,166
60006977,60010884,166
60012708,60032838,166
60025709,60026571,165
60023681,60113147,164
60002494,60022165,163
60014232,60015543,163
60010884,60030222,163
60001801,60028333,163
60005037,60015234,162
60015543,60026906,161
60006297,60030118,161
60002746,60015527,160
60010971,60011666,157
60008724,60113147,157
60019118,60089931,155
60010348,60026108,153
60011047,60015682,153
60017293,60113231,153
60016908,60017059,152
60029358,60030162,151
60015481,60028548,151
