aff_id,occurrence
60015682,6033
60002746,4202
60016849,3622
60025272,3141
60014232,2999
60015481,2114
60016782,2093
60025038,1984
60005037,1756
60008134,1745
60000905,1723
60030612,1712
60023691,1698
60024621,1682
60029929,1608
60027550,1585
60005247,1585
60012708,1544
60026851,1538
60026553,1510
60011001,1483
60031101,1482
60014439,1455
60024322,1454
60010365,1440
60019499,1427
60002494,1419
60022195,1412
60022148,1406
60025778,1390
60005248,1350
60006297,1319
60002952,1288
60025709,1275
60007174,1265
60030162,1260
60032350,1235
60032179,1234
60015543,1227
60015150,1208
60032499,1195
60008435,1181
60002441,1178
60021199,1170
60010065,1166
60007776,1156
60012311,1098
60016648,1097
60029445,1093
60025858,1046
60031004,1045
60013959,1045
60069716,1036
60003500,1019
60009507,1012
60025111,1008
60005455,1006
60001117,988
60000745,972
60006577,940
60017161,936
60032838,928
60013682,924
60028717,916
60009982,885
60014652,880
60000221,871
60013314,855
60030835,850
60028333,842
60011264,821
60017994,817
60025063,816
60113147,815
60031126,812
60029278,812
60003625,799
60011047,788
60030319,786
60030521,786
60011605,785
60031581,770
60014334,763
60010884,758
60020304,756
60003711,756
60011520,754
60004518,753
60030318,747
60016908,747
60001439,747
60029170,737
60027363,734
60005429,732
60007363,725
60000305,722
60003970,719
60004156,718
60022756,715
60019578,712
60009512,712
60024324,709
60007103,706
60024266,698
60000264,685
60013372,684
60027561,682
60017293,681
60019778,674
60021600,673
60015574,671
60014966,671
60033182,671
60029311,670
60020547,663
60031806,662
60006337,658
60003771,658
60013409,656
60003269,656
60012937,652
60003858,650
60025488,647
60029747,636
60007278,633
60019674,632
60019295,627
60000928,625
60009866,623
60010348,615
60009470,614
60008724,605
60019118,603
60030058,603
60026245,603
60016605,601
60028218,595
60002306,593
60025988,592
60014256,590
60032114,586
60009254,582
60027086,582
60001563,582
60005681,581
60005558,579
60033100,573
60006183,572
60021784,571
60027509,571
60025278,564
60000762,564
60015023,562
60025084,560
60019647,557
60002414,555
60021523,555
60002388,554
60020650,547
60017246,547
60026695,546
60028421,546
60016987,545
60028548,544
60008950,542
60031707,540
60024541,538
60007997,537
60031828,536
60028868,533
60016733,533
60021947,531
60032619,529
60019722,527
60007493,525
60001576,524
60001490,523
60015183,523
60004923,521
60003915,521
60012981,516
60014739,514
60019702,513
60027272,512
60011766,510
60007989,506
60021918,500
60013227,499
60029616,498
60006164,496
60000481,493
60001881,488
60007249,487
60001157,485
60001422,482
60032724,482
60007457,480
60021658,479
60009839,478
60002339,476
60021116,471
60026415,469
60079887,468
60021859,467
60012614,466
60030718,463
60002194,462
60011373,460
60006385,458
60009697,458
60030840,458
60026175,457
60002483,456
60001997,456
60007774,455
60015941,453
60025153,453
60027716,450
60008734,446
60028897,445
60033316,444
60025641,442
60032083,440
60006876,439
60018363,438
60021119,437
60006989,436
60025152,436
60021121,434
60012689,432
60103673,432
60009343,427
60000765,427
60020315,426
60016529,426
60030118,425
60023053,424
60001361,423
60031031,422
60012070,420
60012553,417
60004718,417
60000401,416
60007903,416
60031514,414
60019905,413
60002014,411
60026796,411
60073385,410
60009408,409
60004354,407
60028609,406
60024652,405
60001989,402
60016437,402
60028186,401
60024025,400
60014653,400
60006173,399
60010261,393
60022403,391
60012259,390
60022659,389
60021160,388
60022119,386
60018869,385
60023578,382
60029358,381
60029622,380
60011460,380
60032442,380
60015618,379
60015913,376
60015138,376
60032882,374
60019984,372
60028378,371
60025225,370
60009788,369
60010023,368
60000656,367
60014416,367
60013756,367
60000964,366
60009860,366
60006222,365
60026748,364
60104546,364
60103898,363
60015197,363
60005322,362
60020680,362
60003892,361
60031216,360
60026827,360
60025310,357
60020486,357
60015849,356
60013402,356
60023020,355
60006894,351
60023588,351
60012957,350
60017777,350
60031040,348
60007566,348
60014569,347
60029241,347
60015622,347
60026601,346
60000239,345
