aff_id1,aff_id2,occurrence
60002746,60030058,299
60002746,60029929,275
60002746,60016782,259
60016849,60030319,259
60007174,60025038,242
60016849,60023022,196
60002194,60019905,184
60002746,60014334,179
60005247,60027550,177
60016782,60032499,177
60015574,60024266,147
60023691,60105915,145
60003625,60015481,145
60002746,60030521,134
60005455,60017994,126
60012311,60019295,124
60009866,60028421,124
60000221,60027716,123
60013314,60069716,122
60002746,60032499,114
60001157,60002483,112
60015765,60016849,109
60020469,60025111,105
60028084,60032838,102
60005037,60011766,102
60002746,60015527,100
60014739,60026695,99
60005037,60022119,99
60016849,60029150,97
60008724,60113147,97
60001097,60016653,95
60022265,60032114,92
60001117,60005248,90
60002441,60011641,88
60002442,60006337,87
60006577,60013409,87
60000928,60002339,86
60006894,60016849,85
60002494,60022165,85
60030612,60079887,85
60015481,60028548,85
60011605,60030162,85
60010884,60030222,85
60021947,60024609,83
60001576,60030315,82
60012018,60015543,77
60017994,60105857,75
60030318,60082964,74
60002494,60014054,74
60014232,60027550,72
60010971,60011666,72
60014077,60029170,70
60000762,60026245,69
60021918,60029418,69
60021116,60025272,69
60000305,60021578,68
60002494,60085312,67
60010884,60029991,66
60025370,60073385,66
60006297,60030118,66
60015277,60032420,65
60005455,60105857,65
60023681,60113147,63
60016849,60021600,63
60025778,60033182,62
60008693,60016733,60
60005248,60006183,60
60001344,60015849,60
60025038,60026175,60
60007997,60009343,59
60007200,60025778,59
60029411,60030318,58
60001555,60003443,58
60012981,60014232,58
60012708,60032838,58
60000291,60028717,57
60002952,60016987,57
60023691,60031970,57
60025063,60031069,57
60003858,60015216,56
60021519,60029251,56
60003915,60006475,56
60003711,60006297,56
60006455,60024324,55
60012708,60028084,55
60015543,60026906,55
60010261,60022756,55
60007567,60013959,54
60005247,60014232,54
60007363,60013227,54
60016437,60031699,54
60010365,60015670,54
60012937,60080790,53
60015615,60032838,53
60003915,60030769,53
60029358,60030162,53
60003711,60030118,52
60002388,60024099,52
60014232,60029445,52
60007103,60030612,51
60006130,60006762,51
60023868,60027561,50
60015941,60027155,50
60011605,60029358,50
60008772,60029445,50
60008768,60016849,50
60025153,60107402,50
60033100,60073598,50
60008760,60014090,50
60005247,60016173,49
60027161,60030184,49
60028717,60029010,49
60010758,60080790,48
60006297,60138417,48
60017488,60031101,47
60005415,60032151,47
60013959,60014789,47
60001361,60015543,47
60001555,60005248,47
60004280,60007774,47
60005037,60022851,47
60016667,60022756,47
60016849,60027016,46
60007067,60030318,46
60029833,60030288,46
60011460,60017866,46
60028897,60085927,46
60001563,60004518,46
60005558,60026829,46
60027550,60101299,45
60009415,60014739,45
60003625,60028548,45
60023064,60029896,45
60010758,60012937,44
60002494,60009507,44
60006577,60008438,44
60021658,60024623,44
60001439,60104660,43
60015618,60019816,43
60025555,60097093,42
60007774,60030612,42
60006094,60006337,42
60012553,60105860,42
60010348,60026108,42
60000764,60012981,42
60020195,60025858,41
60027086,60105917,41
60006929,60032179,41
60006577,60017336,41
60002878,60009507,41
60000483,60009866,41
60025038,60030612,41
60013901,60026175,41
60012957,60014653,41
60024266,60030612,41
60006564,60030840,40
60000483,60028421,40
60012831,60027165,40
60009788,60024324,40
60004280,60030612,40
60023359,60032350,40
60004280,60024266,40
60023691,60025038,40
60007774,60029419,40
60007774,60024266,40
60001212,60015481,40
60024266,60029419,40
60029419,60030612,40
60004280,60029419,40
60031101,60121115,39
60003214,60023691,39
60005708,60015543,39
60010365,60027009,39
60016782,60030521,39
60015481,60025038,39
60002746,60003872,38
60006263,60022756,38
60013959,60014232,38
60002746,60003828,38
60011001,60015682,38
60003858,60022068,38
60015183,60029311,38
60025553,60032179,38
60007174,60014439,38
60011605,60014211,38
60000305,60031833,38
60023621,60029445,37
60024805,60025641,37
60006577,60013780,37
60005281,60006577,37
60006027,60010023,37
60011394,60025988,36
60018150,60025709,36
60014232,60015543,36
60000540,60015913,36
60015183,60020565,36
60014416,60027509,36
60001344,60023143,36
60002194,60105922,36
60006876,60025765,35
60000964,60016829,35
60018573,60105859,35
60001117,60001555,35
60000305,60006404,35
60009507,60009657,35
60079887,60121686,35
60011605,60026273,35
60005037,60015234,35
60010065,60020301,35
60000305,60018425,35
60026245,60030718,35
60013227,60017031,35
60007363,60028609,35
60012708,60025038,35
60018363,60114764,35
60026748,60031828,35
60005518,60011520,35
60000762,60024629,34
60014521,60029627,34
60017293,60113231,34
60002494,60018916,34
60011001,60025272,34
60006297,60014232,34
60008134,60019615,33
60009697,60022341,33
60014232,60028421,33
60009500,60031576,33
60021523,60028586,33
60009866,60010307,33
60015197,60026556,33
60006455,60009788,33
60002306,60009175,33
60009415,60026695,33
60006577,60017777,33
60019953,60020416,33
60006385,60019674,33
100348426,60018140,33
60005099,60015941,32
60006475,60014232,32
60003381,60097093,32
60029418,60030846,32
60016782,60030058,32
60012831,60024746,32
60025038,60029241,32
60015481,60031866,32
60026489,60026553,32
60021378,60026638,31
60006385,60014232,31
60010374,60014232,31
60026415,60101642,31
60002494,60012270,31
60002476,60010374,31
60003915,60014232,31
60032179,60073942,31
60017412,60025152,31
60008134,60106017,31
60004091,60011047,31
60002746,60014232,31
60005037,60022209,30
60020588,60027271,30
60008197,60031828,30
60005246,60016733,30
60009796,60017866,30
60024746,60027165,30
60004437,60025709,30
60014378,60030318,30
60010365,60028379,30
60002441,60014933,30
60011765,60021947,30
60021160,60113147,30
60002746,60022195,29
60007989,60032724,29
60002494,60002878,29
60015682,60024322,29
60016849,60031144,29
60000765,60029931,29
60005087,60026553,29
60021605,60069716,29
60031126,60097093,29
60014232,60030612,29
60005037,60008870,29
60000905,60017724,28
60016561,60032882,28
60023882,60029616,28
60015112,60031804,28
60007278,60105938,28
60022148,60029950,28
60012954,60016622,28
60023955,60031106,28
60010401,60020547,28
60003525,60013314,28
60005245,60026553,28
60012445,60025488,28
60015112,60025818,28
60009189,60015277,28
60013223,60029445,28
60021918,60030846,28
60020633,60022286,28
60012281,60024885,27
60021199,60028218,27
60021378,60022195,27
60015574,60026875,27
60001422,60008134,27
