aff_id1,aff_id2,occurrence
60002746,60029929,493
60007174,60025038,452
60016849,60030319,426
60002746,60016782,377
60015574,60024266,348
60015682,60025272,340
60002746,60030058,324
60003625,60015481,308
60005247,60027550,284
60016782,60032499,277
60013314,60069716,265
60002746,60030521,259
60012311,60019295,246
60008435,60015682,241
60005037,60011766,235
60015682,60024322,234
60002194,60019905,226
60002746,60014334,217
60009866,60028421,207
60010884,60029991,205
60017994,60105857,202
60005037,60022119,200
60002049,60023579,197
60011001,60015682,185
60006894,60016849,185
60001117,60005248,176
60014739,60026695,174
60030612,60079887,172
60023691,60105915,165
60007103,60030612,162
60005429,60025340,150
60002441,60011641,149
60025778,60033182,146
60015765,60016849,142
60016849,60023022,142
60008760,60014090,139
60012937,60080790,138
60007067,60030318,135
60014334,60016782,133
60024252,60103673,130
60010971,60011666,130
60005037,60022851,129
60010884,60030222,127
60006577,60013409,127
60016849,60029150,127
60020469,60025111,121
60028084,60032838,121
60015481,60028548,118
60000762,60026245,118
60007278,60105938,116
60003711,60030118,116
60002746,60015527,115
60002746,60032499,115
60023773,60032350,112
60016849,60021600,112
60001344,60015849,111
60025153,60107402,110
60022265,60032114,109
60011605,60029358,107
60016849,60027016,107
60011047,60015682,107
60016782,60029929,104
60003214,60023691,103
60000928,60002339,103
60015615,60032838,102
60005247,60014232,102
60006130,60006762,101
60016849,60030835,97
60023955,60031106,96
60014416,60027509,95
60000483,60028421,94
60000291,60028717,92
60016437,60031699,92
60014652,60015682,92
60006337,60020304,91
60002058,60003500,91
60000221,60027716,91
60003711,60006297,89
60020351,60031913,89
60008724,60113147,88
60021519,60029251,88
60005455,60017994,87
60002494,60022165,87
60000305,60021578,87
60001117,60001555,87
60014232,60027550,85
60011605,60030162,85
60002746,60003828,84
60013829,60015682,84
60022756,60032619,84
60005247,60105856,84
60010365,60015670,84
60019356,60022195,83
60007997,60009343,83
60014232,60029445,83
60023681,60113147,83
60016849,60017018,82
60017018,60030318,82
60014232,60015543,81
60007363,60013227,81
60007774,60025310,81
60025063,60031069,81
60003625,60028548,81
60002441,60008978,81
60027550,60105856,80
60001576,60030315,80
60009697,60030835,80
60003525,60013314,79
60010758,60012937,79
60010758,60080790,79
60000905,60015622,78
60019369,60025778,78
60029358,60030162,78
60026748,60031828,77
60021947,60024609,77
60025063,60070034,77
60012708,60032838,77
60005518,60011520,77
60015112,60031804,76
60021918,60029418,76
60032259,60083728,76
60002952,60016987,76
60002494,60014054,75
60001555,60003443,75
60029418,60030846,75
60003993,60091863,75
60002388,60020481,74
60007200,60033182,74
60012281,60024885,74
60025370,60073385,73
60008693,60032702,73
60014232,60017412,73
60011418,60025272,73
60004260,60028333,72
60006974,60025709,72
60009697,60016849,72
60017018,60021600,72
60000731,60030835,72
60018150,60025709,71
60002388,60024099,71
60008768,60016849,71
60010884,60026135,70
60005281,60006577,70
60008693,60016733,70
60005037,60005681,69
60010365,60027009,69
60000483,60009866,69
60021600,60030319,69
60021121,60029445,69
60007174,60014439,68
60000656,60021119,68
60029411,60030318,68
60001512,60070174,68
60002952,60104546,67
60005037,60015234,67
60012553,60105860,67
60006297,60014232,67
60027550,60101299,67
60025272,60103895,66
60018573,60105859,66
60002494,60085312,66
60010348,60026108,66
60005248,60006183,65
60021523,60028586,65
60016733,60032702,65
60017161,60030743,65
60012018,60015543,65
60006221,60007174,64
60005091,60012259,64
60005208,60014232,64
60015682,60031126,64
60023064,60029896,64
60016782,60030521,63
60002494,60009507,63
60025988,60026929,63
60021116,60025272,63
60020547,60022756,63
60002401,60016849,63
60021121,60022756,63
60005037,60008870,63
60021121,60032619,62
60020547,60029445,62
60022756,60029445,62
60005247,60016173,62
60011394,60025988,62
60002494,60016849,62
60002330,60014569,62
60021199,60030318,62
60010365,60015913,62
60020547,60021121,62
60029445,60032619,62
60020547,60032619,62
60014754,60030612,61
60005246,60016733,61
60023691,60031970,61
60006297,60030118,60
60010365,60016849,60
60000731,60009507,60
60008772,60029445,60
60007567,60013959,60
60009740,60015682,60
60002494,60027213,59
60002339,60105810,59
60012981,60014232,59
60030929,60031806,59
60030318,60082964,59
60008435,60016416,59
60000945,60014232,59
60014256,60015682,59
60017293,60026777,59
60002952,60003237,58
60016667,60022756,58
60006876,60025765,58
60009507,60013278,58
60006876,60104546,58
60001157,60002483,58
60021600,60030318,58
60025038,60026175,58
60013682,60021119,58
60015682,60019207,58
60014468,60016849,58
60009512,60015153,57
60022195,60029929,57
60005610,60009507,57
60015103,60016326,57
60023691,60025038,57
60009408,60017777,57
60005890,60032179,57
60012957,60014653,56
60006385,60014232,56
60009408,60019595,56
60004346,60007249,56
60001563,60004518,56
60002414,60015682,55
60006221,60030162,55
60016849,60031828,55
60016173,60027550,55
60008435,60091863,55
60002173,60028897,55
60103673,60104546,55
60002306,60010884,55
60007567,60014232,54
60025272,60070969,54
60023621,60029445,54
60000305,60021160,54
60000656,60013682,54
60031004,60093234,54
60005558,60026829,54
60001361,60015543,54
60007257,60024629,53
60002306,60030835,53
60004091,60011047,53
60005455,60105857,53
60002306,60010365,53
60007174,60027950,53
60004437,60025709,53
60015682,60021880,53
60016416,60019579,53
60000204,60029445,53
60016849,60027817,53
60022756,60029607,53
60006221,60027950,52
60027950,60029653,52
60007174,60019616,52
60009254,60019616,52
60005686,60006221,52
60007174,60029653,52
60010365,60010884,52
60009254,60027950,52
60005686,60007174,52
60000177,60021658,52
60021235,60022756,52
60005686,60027950,52
60005686,60029653,52
60019616,60030162,52
60007174,60009254,52
60029653,60030162,52
60009254,60029653,52
60027950,60030162,52
60005686,60019616,52
60016653,60023091,52
60005686,60030162,52
60006221,60009254,52
60019616,60027950,52
60006221,60019616,52
60019616,60029653,52
60005686,60009254,52
60006221,60029653,52
60009254,60030162,52
60007174,60030162,52
60001555,60005248,52
60006297,60010803,52
60001997,60008734,52
60002306,60015913,51
60006221,60026415,51
60007895,60018869,51
60014205,60019499,51
60015481,60031866,51
60001421,60023222,51
60029622,60030280,51
60015543,60028131,51
60009657,60085312,51
60004354,60008023,51
60022756,60024978,50
60011460,60017866,50
60022148,60029950,50
60010884,60015913,50
60009982,60020680,50
60014077,60029170,50
60006577,60017336,49
60026245,60030718,49
60023882,60029616,49
60012708,60028084,49
60014439,60026175,49
60001396,60006121,49
60029275,60031040,49
60021199,60032350,49
60009408,60013682,49
60009507,60009657,49
60008323,60026851,49
60006795,60020852,48
60009343,60030162,48
60021918,60030846,48
60015881,60030318,48
60004803,60011951,48
60001844,60007267,48
